STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
119101A,Barratta Creek at Northcote,2011-2012,1/8/2011 9:50,35.24617931,1.547112046,40756.40972,0
119101A,Barratta Creek at Northcote,2011-2012,5/10/2011 13:27,61.52845445,1.789076006,40821.56042,65.15069444
119101A,Barratta Creek at Northcote,2011-2012,10/10/2011 10:55,36.02858937,1.556647258,40826.45486,70.04513889
119101A,Barratta Creek at Northcote,2011-2012,18/10/2011 10:00,45.23359981,1.655461151,40834.41667,78.00694444
119101A,Barratta Creek at Northcote,2011-2012,8/11/2011 17:20,63.21074885,1.800790935,40855.72222,99.3125
119101A,Barratta Creek at Northcote,2011-2012,5/12/2011 15:30,1.00E-11,-11,40882.64583,126.2361111
119101A,Barratta Creek at Northcote,2011-2012,19/12/2011 15:15,35.20863406,1.546649177,40896.63542,140.2256944
119101A,Barratta Creek at Northcote,2011-2012,29/12/2011 9:35,52.26834134,1.718238719,40906.39931,149.9895833
119101A,Barratta Creek at Northcote,2011-2012,29/12/2011 12:35,56.94911942,1.755487013,40906.52431,150.1145833
119101A,Barratta Creek at Northcote,2011-2012,29/12/2011 16:15,55.32003458,1.742882443,40906.67708,150.2673611
119101A,Barratta Creek at Northcote,2011-2012,30/12/2011 9:25,52.86281062,1.72315025,40907.39236,150.9826389
119101A,Barratta Creek at Northcote,2011-2012,30/12/2011 12:45,44.91846157,1.652424873,40907.53125,151.1215278
119101A,Barratta Creek at Northcote,2011-2012,31/12/2011 9:40,43.76887947,1.641165428,40908.40278,151.9930556
119101A,Barratta Creek at Northcote,2011-2012,3/1/2012 12:25,30.51756196,1.484549835,40911.51736,155.1076389
119101A,Barratta Creek at Northcote,2011-2012,4/1/2012 12:45,25.2619726,1.40246726,40912.53125,156.1215278
119101A,Barratta Creek at Northcote,2011-2012,5/1/2012 11:10,21.4105898,1.330628631,40913.46528,157.0555556
119101A,Barratta Creek at Northcote,2011-2012,12/1/2012 12:27,38.33433928,1.583587982,40920.51875,164.1090278
119101A,Barratta Creek at Northcote,2011-2012,16/1/2012 10:45,16.71471327,1.223098931,40924.44792,168.0381944
119101A,Barratta Creek at Northcote,2011-2012,16/1/2012 14:00,18.54469181,1.26821962,40924.58333,168.1736111
119101A,Barratta Creek at Northcote,2011-2012,16/1/2012 17:10,20.70417667,1.316057965,40924.71528,168.3055556
119101A,Barratta Creek at Northcote,2011-2012,17/1/2012 9:15,30.78127251,1.48828657,40925.38542,168.9756944
119101A,Barratta Creek at Northcote,2011-2012,17/1/2012 14:10,26.94555652,1.430487158,40925.59028,169.1805556
119101A,Barratta Creek at Northcote,2011-2012,18/1/2012 9:50,35.09758307,1.545277211,40926.40972,170
119101A,Barratta Creek at Northcote,2011-2012,19/1/2012 10:50,26.52752937,1.423696804,40927.45139,171.0416667
119101A,Barratta Creek at Northcote,2011-2012,20/1/2012 10:40,21.24861223,1.327330571,40928.44444,172.0347222
119101A,Barratta Creek at Northcote,2011-2012,23/1/2012 10:40,12.08561571,1.082268781,40931.44444,175.0347222
119101A,Barratta Creek at Northcote,2011-2012,25/1/2012 11:30,13.79605679,1.139754973,40933.47917,177.0694444
119101A,Barratta Creek at Northcote,2011-2012,27/1/2012 9:50,11.41247571,1.057379866,40935.40972,179
119101A,Barratta Creek at Northcote,2011-2012,30/1/2012 15:35,8.647126148,0.936871795,40938.64931,182.2395833
119101A,Barratta Creek at Northcote,2011-2012,31/1/2012 13:40,8.971885034,0.9528837,40939.56944,183.1597222
119101A,Barratta Creek at Northcote,2011-2012,1/2/2012 9:45,13.23229564,1.121635196,40940.40625,183.9965278
119101A,Barratta Creek at Northcote,2011-2012,2/2/2012 11:08,10.30137512,1.012895202,40941.46389,185.0541667
119101A,Barratta Creek at Northcote,2011-2012,3/2/2012 9:40,9.682707284,0.985996803,40942.40278,185.9930556
119101A,Barratta Creek at Northcote,2011-2012,3/2/2012 17:30,13.10032323,1.117282011,40942.72917,186.3194444
119101A,Barratta Creek at Northcote,2011-2012,4/2/2012 9:10,10.4761919,1.020203445,40943.38194,186.9722222
119101A,Barratta Creek at Northcote,2011-2012,4/2/2012 13:00,11.15192536,1.047349854,40943.54167,187.1319444
119101A,Barratta Creek at Northcote,2011-2012,6/2/2012 11:55,4.626629294,0.665264703,40945.49653,189.0868056
119101A,Barratta Creek at Northcote,2011-2012,8/2/2012 10:55,3.339047953,0.523622656,40947.45486,191.0451389
119101A,Barratta Creek at Northcote,2011-2012,8/2/2012 15:35,5.970449673,0.776007042,40947.64931,191.2395833
119101A,Barratta Creek at Northcote,2011-2012,9/2/2012 8:40,0.716579859,-0.144735403,40948.36111,191.9513889
119101A,Barratta Creek at Northcote,2011-2012,9/2/2012 14:55,1.541436351,0.187925597,40948.62153,192.2118056
119101A,Barratta Creek at Northcote,2011-2012,10/2/2012 11:20,2.776974409,0.443571878,40949.47222,193.0625
119101A,Barratta Creek at Northcote,2011-2012,14/2/2012 14:40,2.796198281,0.446567964,40953.61111,197.2013889
119101A,Barratta Creek at Northcote,2011-2012,15/2/2012 10:30,0.907159304,-0.042316441,40954.4375,198.0277778
119101A,Barratta Creek at Northcote,2011-2012,15/2/2012 13:00,2.366306978,0.374071084,40954.54167,198.1319444
119101A,Barratta Creek at Northcote,2011-2012,16/2/2012 9:35,3.355301812,0.525731591,40955.39931,198.9895833
119101A,Barratta Creek at Northcote,2011-2012,17/2/2012 13:15,4.505316376,0.653725294,40956.55208,200.1423611
119101A,Barratta Creek at Northcote,2011-2012,20/2/2012 15:20,4.018140301,0.604025097,40959.63889,203.2291667
119101A,Barratta Creek at Northcote,2011-2012,21/2/2012 15:05,4.640218725,0.666538452,40960.62847,204.21875
119101A,Barratta Creek at Northcote,2011-2012,22/2/2012 11:25,3.594838941,0.555679437,40961.47569,205.0659722
119101A,Barratta Creek at Northcote,2011-2012,23/2/2012 11:10,4.592938147,0.662090597,40962.46528,206.0555556
