STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,5/10/2011 8:50,0.328369663,-0.483636973,40821.36806,0
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,19/12/2011 14:25,0.192476065,-0.715623268,40896.60069,75.23263889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,30/12/2011 10:50,0.492489382,-0.307603128,40907.45139,86.08333333
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,5/1/2012 12:00,3.600052337,0.556308814,40913.5,92.13194444
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,16/1/2012 16:05,0.125720647,-0.900593392,40924.67014,103.3020833
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,17/1/2012 10:05,2.530594577,0.403222573,40925.42014,104.0520833
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,17/1/2012 15:15,2.475217808,0.393613421,40925.63542,104.2673611
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,18/1/2012 10:45,2.588882429,0.413112328,40926.44792,105.0798611
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,19/1/2012 11:35,1.640587642,0.214999436,40927.48264,106.1145833
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,20/1/2012 9:55,0.093298686,-1.030124471,40928.41319,107.0451389
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,24/1/2012 13:00,0.044826333,-1.348466786,40932.54167,111.1736111
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,27/1/2012 10:40,0.044826333,-1.348466786,40935.44444,114.0763889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,31/1/2012 14:15,0.022644178,-1.645043431,40939.59375,118.2256944
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,3/2/2012 10:25,0.416578717,-0.380302921,40942.43403,121.0659722
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,6/2/2012 12:50,0.01231855,-1.909440412,40945.53472,124.1666667
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,7/2/2012 11:45,0.012302979,-1.909989714,40946.48958,125.1215278
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,8/2/2012 11:35,0.012302979,-1.909989714,40947.48264,126.1145833
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,9/2/2012 15:40,0.012302979,-1.909989714,40948.65278,127.2847222
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,13/2/2012 11:40,0.012316503,-1.909512594,40952.48611,131.1180556
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,15/2/2012 13:35,0.012316503,-1.909512594,40954.56597,133.1979167
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,17/2/2012 14:00,0.012320733,-1.909363438,40956.58333,135.2152778
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,21/2/2012 16:00,0.012325506,-1.909195253,40960.66667,139.2986111
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,24/2/2012 14:38,0.087037606,-1.060293063,40963.60972,142.2416667
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,27/2/2012 13:08,0.106125081,-0.974181965,40966.54722,145.1791667
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,1/3/2012 12:25,0.042637358,-1.370209717,40969.51736,148.1493056
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,6/3/2012 11:30,0.012428808,-1.90557051,40974.47917,153.1111111
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,8/3/2012 15:10,0.13925991,-0.856173889,40976.63194,155.2638889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,9/3/2012 11:10,0.08407461,-1.075335137,40977.46528,156.0972222
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,12/3/2012 10:40,0.012478284,-1.903845136,40980.44444,159.0763889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,15/3/2012 9:50,0.012377997,-1.907349609,40983.40972,162.0416667
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,16/3/2012 13:55,0.080855269,-1.092291675,40984.57986,163.2118056
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,19/3/2012 9:55,0.012357283,-1.908077004,40987.41319,166.0451389
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,20/3/2012 9:55,0.051010443,-1.292340901,40988.41319,167.0451389
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,20/3/2012 13:40,0.045414746,-1.342803115,40988.56944,167.2013889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,20/3/2012 16:05,0.042616017,-1.370427139,40988.67014,167.3020833
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,21/3/2012 9:40,0.012302979,-1.909989714,40989.40278,168.0347222
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,21/3/2012 15:00,0.012302979,-1.909989714,40989.625,168.2569444
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,22/3/2012 11:55,0.012302979,-1.909989714,40990.49653,169.1284722
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,23/3/2012 11:25,0.012302979,-1.909989714,40991.47569,170.1076389
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,24/3/2012 14:40,0.012323052,-1.909281708,40992.61111,171.2430556
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,25/3/2012 13:20,0.012349889,-1.908336956,40993.55556,172.1875
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,26/3/2012 12:15,0.012382519,-1.907190998,40994.51042,173.1423611
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,28/3/2012 15:10,0.012339764,-1.908693144,40996.63194,175.2638889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,30/3/2012 11:10,0.012330813,-1.909008292,40998.46528,177.0972222
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,5/4/2012 12:10,0.099689691,-1.001349749,41004.50694,183.1388889
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,11/4/2012 10:20,1.323056643,0.121578438,41010.43056,189.0625
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,17/4/2012 11:00,0.096486919,-1.015531562,41016.45833,195.0902778
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,26/4/2012 12:15,1.254986209,0.098638954,41025.51042,204.1423611
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,1/5/2012 12:30,0.071586595,-1.145168293,41030.52083,209.1527778
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,22/5/2012 11:40,1.264832221,0.10203292,41051.48611,230.1180556
120001A,Burdekin River at Home Hill Inkerman Bridge,2011-2012,28/6/2012 12:35,1.420051632,0.152304135,41088.52431,267.15625
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,13/7/2012 9:20,3.665109737,0.564086982,41103.38889,282.0208333
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,16/7/2012 13:10,1.415598659,0.150940143,41106.54861,285.1805556
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,17/7/2012 12:45,1.322090662,0.121261238,41107.53125,286.1631944
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,2/11/2012 9:20,0.167894258,-0.774964155,41215.38889,394.0208333
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,22/11/2012 18:25,0.135474456,-0.868142583,41235.76736,414.3993056
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,18/1/2013 16:00,0.271909373,-0.565575822,41292.66667,471.2986111
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,24/1/2013 14:00,6.963029795,0.842798254,41298.58333,477.2152778
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,25/1/2013 9:00,3.365428344,0.527040348,41299.375,478.0069444
120001A,Burdekin River at Home Hill Inkerman Bridge,2012-2013,25/1/2013 17:30,1.746887545,0.242264948,41299.72917,478.3611111
