STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
130504B,Comet River at Comet Weir,2011-2012,22/11/2011 9:00,0.192542301,-0.715473843,40869.375,0
130504B,Comet River at Comet Weir,2011-2012,5/12/2011 16:00,0.010571298,-1.975871674,40882.66667,13.29166667
130504B,Comet River at Comet Weir,2011-2012,12/12/2011 9:30,0.000404174,-3.393431494,40889.39583,20.02083333
130504B,Comet River at Comet Weir,2011-2012,13/12/2011 9:30,1.513973939,0.1801184,40890.39583,21.02083333
130504B,Comet River at Comet Weir,2011-2012,15/12/2011 9:30,2.655018925,0.424067621,40892.39583,23.02083333
130504B,Comet River at Comet Weir,2011-2012,16/12/2011 11:00,3.541792547,0.54922312,40893.45833,24.08333333
130504B,Comet River at Comet Weir,2011-2012,1/2/2012 15:00,7.081473996,0.850123665,40940.625,71.25
130504B,Comet River at Comet Weir,2011-2012,6/2/2012 12:00,2.267197296,0.355489315,40945.5,76.125
130504B,Comet River at Comet Weir,2011-2012,14/2/2012 9:30,4.022959691,0.604545681,40953.39583,84.02083333
130504B,Comet River at Comet Weir,2011-2012,24/2/2012 16:15,1.938511192,0.287468313,40963.67708,94.30208333
130504B,Comet River at Comet Weir,2011-2012,28/2/2012 9:45,12.54605668,1.098507245,40967.40625,98.03125
130504B,Comet River at Comet Weir,2011-2012,23/3/2012 9:55,3.055197402,0.485039276,40991.41319,122.0381944
130504B,Comet River at Comet Weir,2011-2012,26/3/2012 13:15,2.782303367,0.444404481,40994.55208,125.1770833
130504B,Comet River at Comet Weir,2011-2012,29/3/2012 10:00,1.727542745,0.237428802,40997.41667,128.0416667
130504B,Comet River at Comet Weir,2012-2013,29/1/2013 9:30,0.002214314,-2.654760849,41303.39583,434.0208333
130504B,Comet River at Comet Weir,2012-2013,30/1/2013 8:45,5.103863657,0.707899064,41304.36458,434.9895833
130504B,Comet River at Comet Weir,2012-2013,31/1/2013 8:45,9.686269718,0.986156558,41305.36458,435.9895833
130504B,Comet River at Comet Weir,2012-2013,1/2/2013 8:45,5.854922499,0.767521151,41306.36458,436.9895833
130504B,Comet River at Comet Weir,2012-2013,5/3/2013 14:15,5.881252444,0.769469821,41338.59375,469.21875
130504B,Comet River at Comet Weir,2012-2013,6/3/2013 11:45,7.602456732,0.880953957,41339.48958,470.1145833
130504B,Comet River at Comet Weir,2012-2013,7/3/2013 11:40,2.99545298,0.476462507,41340.48611,471.1111111
130504B,Comet River at Comet Weir,2012-2013,11/3/2013 11:45,1.752982709,0.243777632,41344.48958,475.1145833
130504B,Comet River at Comet Weir,2014-2015,21/1/2015 17:00,5.345032389,0.727950341,42025.70833,1156.333333
130504B,Comet River at Comet Weir,2014-2015,26/1/2015 10:30,6.263428416,0.796812118,42030.4375,1161.0625
130504B,Comet River at Comet Weir,2014-2015,27/1/2015 15:40,5.407142402,0.732967807,42031.65278,1162.277778
130504B,Comet River at Comet Weir,2014-2015,29/1/2015 14:30,26.94891723,1.430541321,42033.60417,1164.229167
130504B,Comet River at Comet Weir,2014-2015,30/1/2015 11:00,13.71893355,1.137320353,42034.45833,1165.083333
130504B,Comet River at Comet Weir,2014-2015,31/1/2015 12:00,6.050114162,0.78176357,42035.5,1166.125
130504B,Comet River at Comet Weir,2014-2015,2/2/2015 11:15,6.027842951,0.780161929,42037.46875,1168.09375
130504B,Comet River at Comet Weir,2014-2015,4/2/2015 11:00,9.016781046,0.955051524,42039.45833,1170.083333
130504B,Comet River at Comet Weir,2014-2015,5/2/2015 17:00,17.94906904,1.254041928,42040.70833,1171.333333
130504B,Comet River at Comet Weir,2014-2015,6/2/2015 17:00,22.2656575,1.347635524,42041.70833,1172.333333
130504B,Comet River at Comet Weir,2014-2015,7/2/2015 17:00,13.95209156,1.144639318,42042.70833,1173.333333
130504B,Comet River at Comet Weir,2014-2015,9/2/2015 17:00,12.61502912,1.100888257,42044.70833,1175.333333
130504B,Comet River at Comet Weir,2014-2015,11/2/2015 11:00,7.93455727,0.899522699,42046.45833,1177.083333
130504B,Comet River at Comet Weir,2014-2015,13/2/2015 12:15,6.942721511,0.841529745,42048.51042,1179.135417
130504B,Comet River at Comet Weir,2014-2015,23/4/2015 11:30,2.737873206,0.437413332,42117.47917,1248.104167
130504B,Comet River at Comet Weir,2014-2015,18/6/2015 11:00,3.947018416,0.596269153,42173.45833,1304.083333
130504B,Comet River at Comet Weir,2015-2016,24/7/2015 11:20,1.231841384,0.09055479,42209.47222,1340.097222
130504B,Comet River at Comet Weir,2015-2016,29/8/2015 11:00,0.230549525,-0.637235767,42245.45833,1376.083333
130504B,Comet River at Comet Weir,2015-2016,29/9/2015 10:40,0.286396416,-0.543032421,42276.44444,1407.069444
