STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
1110056,Mulgrave River at Deeral,2013-2014,25/11/2013 18:00,0.974280377,-0.011316044,41603.75,0
1110056,Mulgrave River at Deeral,2013-2014,10/1/2014 16:00,0.113236624,-0.946013087,41649.66667,45.91666667
1110056,Mulgrave River at Deeral,2013-2014,13/1/2014 12:00,18.79964891,1.274149739,41652.5,48.75
1110056,Mulgrave River at Deeral,2013-2014,23/1/2014 9:10,0.123505123,-0.908315028,41662.38194,58.63194444
1110056,Mulgrave River at Deeral,2013-2014,24/1/2014 14:43,17.03556227,1.231356472,41663.61319,59.86319444
1110056,Mulgrave River at Deeral,2013-2014,28/1/2014 10:43,0.624513731,-0.204458009,41667.44653,63.69652778
1110056,Mulgrave River at Deeral,2013-2014,29/1/2014 10:40,0.411818895,-0.385293731,41668.44444,64.69444444
1110056,Mulgrave River at Deeral,2013-2014,30/1/2014 8:51,1.444705934,0.159779457,41669.36875,65.61875
1110056,Mulgrave River at Deeral,2013-2014,31/1/2014 11:20,0.059134773,-1.228157063,41670.47222,66.72222222
1110056,Mulgrave River at Deeral,2013-2014,3/2/2014 9:28,44.22256364,1.645643916,41673.39444,69.64444444
1110056,Mulgrave River at Deeral,2013-2014,3/2/2014 12:32,17.27537883,1.23742758,41673.52222,69.77222222
1110056,Mulgrave River at Deeral,2013-2014,4/2/2014 8:40,1.281719038,0.107792835,41674.36111,70.61111111
1110056,Mulgrave River at Deeral,2013-2014,4/2/2014 11:30,2.460635623,0.391047307,41674.47917,70.72916667
1110056,Mulgrave River at Deeral,2013-2014,6/2/2014 8:43,0.822598595,-0.084812037,41676.36319,72.61319444
1110056,Mulgrave River at Deeral,2013-2014,7/2/2014 15:45,0.123516656,-0.908274474,41677.65625,73.90625
1110056,Mulgrave River at Deeral,2013-2014,10/2/2014 11:30,0.145676448,-0.836610657,41680.47917,76.72916667
1110056,Mulgrave River at Deeral,2013-2014,11/2/2014 13:20,0.069482688,-1.158123387,41681.55556,77.80555556
1110056,Mulgrave River at Deeral,2013-2014,12/2/2014 13:42,0.069482688,-1.158123387,41682.57083,78.82083333
1110056,Mulgrave River at Deeral,2013-2014,24/2/2014 13:22,1.648980833,0.217215608,41694.55694,90.80694444
1110056,Mulgrave River at Deeral,2013-2014,27/2/2014 11:15,0.059146332,-1.228072185,41697.46875,93.71875
