STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
122013A,Proserpine River at Glen Isla,2016-2017,16/12/2016 15:10,0.921061808,-0.035711225,42720.63194,0
122013A,Proserpine River at Glen Isla,2016-2017,23/12/2016 12:20,6.647154246,0.822635757,42727.51389,6.881944444
122013A,Proserpine River at Glen Isla,2016-2017,30/12/2016 13:10,1.92174346,0.283695412,42734.54861,13.91666667
122013A,Proserpine River at Glen Isla,2016-2017,6/1/2017 8:18,87.55368294,1.942274419,42741.34583,20.71388889
122013A,Proserpine River at Glen Isla,2016-2017,6/1/2017 14:02,82.99470424,1.919050382,42741.58472,20.95277778
122013A,Proserpine River at Glen Isla,2016-2017,7/1/2017 2:32,76.07598894,1.881247607,42742.10556,21.47361111
122013A,Proserpine River at Glen Isla,2016-2017,7/1/2017 15:02,64.93404564,1.812472462,42742.62639,21.99444444
122013A,Proserpine River at Glen Isla,2016-2017,8/1/2017 3:32,58.32853251,1.76588105,42743.14722,22.51527778
122013A,Proserpine River at Glen Isla,2016-2017,8/1/2017 16:02,58.2429563,1.765243411,42743.66806,23.03611111
122013A,Proserpine River at Glen Isla,2016-2017,9/1/2017 10:12,58.32850115,1.765880817,42744.425,23.79305556
122013A,Proserpine River at Glen Isla,2016-2017,13/1/2017 15:41,47.19233206,1.673871439,42748.65347,28.02152778
122013A,Proserpine River at Glen Isla,2016-2017,21/1/2017 9:45,33.95354772,1.530885159,42756.40625,35.77430556
122013A,Proserpine River at Glen Isla,2016-2017,27/1/2017 14:15,25.09293607,1.39955148,42762.59375,41.96180556
122013A,Proserpine River at Glen Isla,2016-2017,31/1/2017 11:02,44.68506725,1.650162416,42766.45972,45.82777778
122013A,Proserpine River at Glen Isla,2016-2017,31/1/2017 11:25,46.1520013,1.664190538,42766.47569,45.84375
122013A,Proserpine River at Glen Isla,2016-2017,31/1/2017 12:45,60.92965769,1.784828738,42766.53125,45.89930556
122013A,Proserpine River at Glen Isla,2016-2017,31/1/2017 16:35,62.59157685,1.796515893,42766.69097,46.05902778
122013A,Proserpine River at Glen Isla,2016-2017,1/2/2017 0:45,56.63590256,1.753091826,42767.03125,46.39930556
122013A,Proserpine River at Glen Isla,2016-2017,1/2/2017 6:25,61.21290306,1.786842977,42767.26736,46.63541667
122013A,Proserpine River at Glen Isla,2016-2017,1/2/2017 12:15,61.87901408,1.791543385,42767.51042,46.87847222
122013A,Proserpine River at Glen Isla,2016-2017,1/2/2017 17:55,64.45569908,1.809261323,42767.74653,47.11458333
122013A,Proserpine River at Glen Isla,2016-2017,2/2/2017 3:15,56.38903379,1.751194653,42768.13542,47.50347222
122013A,Proserpine River at Glen Isla,2016-2017,2/2/2017 5:45,55.33395292,1.742991696,42768.23958,47.60763889
122013A,Proserpine River at Glen Isla,2016-2017,2/2/2017 14:05,50.51683525,1.703436135,42768.58681,47.95486111
122013A,Proserpine River at Glen Isla,2016-2017,2/2/2017 15:30,51.14188136,1.7087767,42768.64583,48.01388889
122013A,Proserpine River at Glen Isla,2016-2017,3/2/2017 8:30,47.60090957,1.677615251,42769.35417,48.72222222
122013A,Proserpine River at Glen Isla,2016-2017,10/2/2017 12:40,14.71354663,1.16771737,42776.52778,55.89583333
122013A,Proserpine River at Glen Isla,2016-2017,17/2/2017 10:40,6.968521427,0.84314064,42783.44444,62.8125
122013A,Proserpine River at Glen Isla,2016-2017,23/2/2017 14:40,7.186353776,0.856508593,42789.61111,68.97916667
122013A,Proserpine River at Glen Isla,2016-2017,2/3/2017 15:30,4.898066185,0.690024649,42796.64583,76.01388889
122013A,Proserpine River at Glen Isla,2016-2017,20/3/2017 10:20,4.485106034,0.651772715,42814.43056,93.79861111
122013A,Proserpine River at Glen Isla,2016-2017,20/3/2017 18:25,25.20115037,1.401420366,42814.76736,94.13541667
122013A,Proserpine River at Glen Isla,2016-2017,23/3/2017 6:57,30.02671695,1.47750785,42817.28958,96.65763889
122013A,Proserpine River at Glen Isla,2016-2017,23/3/2017 18:12,35.07069518,1.544944375,42817.75833,97.12638889
122013A,Proserpine River at Glen Isla,2016-2017,24/3/2017 6:12,30.87557931,1.489615115,42818.25833,97.62638889
122013A,Proserpine River at Glen Isla,2016-2017,24/3/2017 11:52,29.29244785,1.466755665,42818.49444,97.8625
122013A,Proserpine River at Glen Isla,2016-2017,27/3/2017 16:11,10.96211394,1.039894312,42821.67431,101.0423611
122013A,Proserpine River at Glen Isla,2016-2017,28/3/2017 4:24,9.363141774,0.971421599,42822.18333,101.5513889
122013A,Proserpine River at Glen Isla,2016-2017,28/3/2017 13:24,4.508385162,0.654021012,42822.55833,101.9263889
122013A,Proserpine River at Glen Isla,2016-2017,29/3/2017 6:04,11.3288229,1.054184788,42823.25278,102.6208333
122013A,Proserpine River at Glen Isla,2016-2017,30/3/2017 6:24,15.09775281,1.17891231,42824.26667,103.6347222
122013A,Proserpine River at Glen Isla,2016-2017,31/3/2017 6:44,9.715812523,0.987479126,42825.28056,104.6486111
122013A,Proserpine River at Glen Isla,2016-2017,31/3/2017 18:54,9.47467137,0.976564155,42825.7875,105.1555556
122013A,Proserpine River at Glen Isla,2016-2017,2/4/2017 0:24,10.81375953,1.033976708,42827.01667,106.3847222
122013A,Proserpine River at Glen Isla,2016-2017,3/4/2017 10:51,7.600626638,0.880849399,42828.45208,107.8201389
122013A,Proserpine River at Glen Isla,2016-2017,5/4/2017 14:20,3.578511345,0.553702398,42830.59722,109.9652778
122013A,Proserpine River at Glen Isla,2016-2017,10/4/2017 14:30,3.054608551,0.484955563,42835.60417,114.9722222
122013A,Proserpine River at Glen Isla,2016-2017,13/4/2017 17:00,2.502177986,0.398318199,42838.70833,118.0763889
122013A,Proserpine River at Glen Isla,2016-2017,28/4/2017 7:35,4.053264848,0.607804982,42853.31597,132.6840278
122013A,Proserpine River at Glen Isla,2016-2017,18/5/2017 23:12,20.68071676,1.315565587,42873.96667,153.3347222
122013A,Proserpine River at Glen Isla,2016-2017,19/5/2017 5:22,25.54705452,1.407340835,42874.22361,153.5916667
122013A,Proserpine River at Glen Isla,2016-2017,19/5/2017 11:32,16.41704059,1.215294872,42874.48056,153.8486111
122013A,Proserpine River at Glen Isla,2016-2017,19/5/2017 17:42,11.06121304,1.043802757,42874.7375,154.1055556
122013A,Proserpine River at Glen Isla,2016-2017,19/5/2017 23:52,23.04878958,1.362648123,42874.99444,154.3625
122013A,Proserpine River at Glen Isla,2016-2017,20/5/2017 6:02,19.84691315,1.297692969,42875.25139,154.6194444
122013A,Proserpine River at Glen Isla,2016-2017,20/5/2017 12:12,21.06312763,1.323522859,42875.50833,154.8763889
122013A,Proserpine River at Glen Isla,2016-2017,21/5/2017 4:32,23.73682848,1.375422692,42876.18889,155.5569444
122013A,Proserpine River at Glen Isla,2016-2017,16/6/2017 8:40,2.49155619,0.396470686,42902.36111,181.7291667
