STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
126001A,Sandy Creek at Homebush,2011-2012,29/9/2011 8:50,0.113236624,-0.946013087,40815.36806,0
126001A,Sandy Creek at Homebush,2011-2012,1/11/2011 9:10,6.738464262,0.828560929,40848.38194,33.01388889
126001A,Sandy Creek at Homebush,2011-2012,2/12/2011 11:30,0.427371619,-0.369194322,40879.47917,64.11111111
126001A,Sandy Creek at Homebush,2011-2012,7/12/2011 9:30,62.47103215,1.795678681,40884.39583,69.02777778
126001A,Sandy Creek at Homebush,2011-2012,3/1/2012 9:15,58.49987945,1.767154971,40911.38542,96.01736111
126001A,Sandy Creek at Homebush,2011-2012,16/1/2012 9:30,30.17334339,1.479623435,40924.39583,109.0277778
126001A,Sandy Creek at Homebush,2011-2012,17/1/2012 9:00,26.68438845,1.426257254,40925.375,110.0069444
126001A,Sandy Creek at Homebush,2011-2012,30/1/2012 10:00,13.7058668,1.136906507,40938.41667,123.0486111
126001A,Sandy Creek at Homebush,2011-2012,31/1/2012 9:30,15.78080937,1.198129274,40939.39583,124.0277778
126001A,Sandy Creek at Homebush,2011-2012,2/2/2012 8:15,14.65919237,1.166110044,40941.34375,125.9756944
126001A,Sandy Creek at Homebush,2011-2012,2/2/2012 14:00,10.12530892,1.005408282,40941.58333,126.2152778
126001A,Sandy Creek at Homebush,2011-2012,3/2/2012 9:45,9.940243667,0.99739703,40942.40625,127.0381944
126001A,Sandy Creek at Homebush,2011-2012,3/2/2012 15:20,9.309565701,0.968929421,40942.63889,127.2708333
126001A,Sandy Creek at Homebush,2011-2012,6/2/2012 8:30,13.43796344,1.128333455,40945.35417,129.9861111
126001A,Sandy Creek at Homebush,2011-2012,24/2/2012 11:50,17.0851128,1.23261785,40963.49306,148.125
126001A,Sandy Creek at Homebush,2011-2012,27/2/2012 10:40,8.530081828,0.930953197,40966.44444,151.0763889
126001A,Sandy Creek at Homebush,2011-2012,28/2/2012 9:40,9.205192146,0.964032858,40967.40278,152.0347222
126001A,Sandy Creek at Homebush,2011-2012,2/3/2012 9:30,10.75485987,1.031604756,40970.39583,155.0277778
126001A,Sandy Creek at Homebush,2011-2012,16/3/2012 8:40,7.750810525,0.88934712,40984.36111,168.9930556
126001A,Sandy Creek at Homebush,2011-2012,19/3/2012 8:15,3.686703932,0.566638262,40987.34375,171.9756944
126001A,Sandy Creek at Homebush,2011-2012,20/3/2012 10:00,14.03099362,1.147088427,40988.41667,173.0486111
126001A,Sandy Creek at Homebush,2011-2012,21/3/2012 9:30,0.738519189,-0.131638216,40989.39583,174.0277778
126001A,Sandy Creek at Homebush,2011-2012,22/3/2012 8:30,1.440977019,0.158657055,40990.35417,174.9861111
126001A,Sandy Creek at Homebush,2011-2012,23/3/2012 8:45,0.907357897,-0.042221377,40991.36458,175.9965278
