STATION,SITENAME,Sampling.Year,DATE,Daily.Ave.PAF,logVALUE,timecon,time
113006A,Tully River at Euramo,2011-2012,19/10/2011 15:50,0.351458405,-0.454126066,40835.65972,0
113006A,Tully River at Euramo,2011-2012,20/10/2011 9:03,0.753631372,-0.122841031,40836.37708,0.717361111
113006A,Tully River at Euramo,2011-2012,20/10/2011 17:05,0.943847635,-0.025098108,40836.71181,1.052083333
113006A,Tully River at Euramo,2011-2012,24/10/2011 18:26,0.523907094,-0.280745721,40840.76806,5.108333333
113006A,Tully River at Euramo,2011-2012,25/10/2011 16:50,0.022292267,-1.651845767,40841.70139,6.041666667
113006A,Tully River at Euramo,2011-2012,29/10/2011 15:02,0.000100775,-3.996646491,40845.62639,9.966666667
113006A,Tully River at Euramo,2011-2012,25/11/2011 16:50,26.72603828,1.426934586,40872.70139,37.04166667
113006A,Tully River at Euramo,2011-2012,27/11/2011 17:14,1.706297987,0.232054879,40874.71806,39.05833333
113006A,Tully River at Euramo,2011-2012,29/11/2011 10:06,2.539991641,0.404832287,40876.42083,40.76111111
113006A,Tully River at Euramo,2011-2012,30/11/2011 18:06,4.192714665,0.622495307,40877.75417,42.09444444
113006A,Tully River at Euramo,2011-2012,1/12/2011 16:42,2.286920408,0.35925105,40878.69583,43.03611111
113006A,Tully River at Euramo,2011-2012,2/12/2011 17:12,0.707199044,-0.150458335,40879.71667,44.05694444
113006A,Tully River at Euramo,2011-2012,19/1/2012 13:52,4.383342761,0.641805432,40927.57778,91.91805556
113006A,Tully River at Euramo,2011-2012,24/1/2012 17:46,0.075036443,-1.124727758,40932.74028,97.08055556
113006A,Tully River at Euramo,2011-2012,27/1/2012 15:03,0.075036443,-1.124727758,40935.62708,99.96736111
113006A,Tully River at Euramo,2011-2012,2/2/2012 13:41,3.279019857,0.515744047,40941.57014,105.9104167
113006A,Tully River at Euramo,2011-2012,3/2/2012 17:22,1.224053791,0.087800503,40942.72361,107.0638889
113006A,Tully River at Euramo,2011-2012,4/2/2012 11:21,1.769942583,0.247959178,40943.47292,107.8131944
113006A,Tully River at Euramo,2011-2012,4/2/2012 17:58,1.47559396,0.168966869,40943.74861,108.0888889
113006A,Tully River at Euramo,2011-2012,5/2/2012 17:12,1.445315282,0.159962595,40944.71667,109.0569444
