Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
119101A,Barratta Creek at Northcote,1/8/2011 9:50,,<0.01,7,<0.1,0.73,<0.1,,,<0.01,,,,,<0.01,<0.1,,<0.1,<0.01,0.02,<0.01,<0.1,
119101A,Barratta Creek at Northcote,5/10/2011 13:27,,0.06,9.1,,3.7,,,,<0.01,,,,,0.79,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,10/10/2011 10:55,,0.06,3.2,<0.1,1.2,<0.1,,,<0.01,,,,,0.1,<0.1,,<0.1,<0.01,<0.01,<0.01,<0.1,
119101A,Barratta Creek at Northcote,18/10/2011 10:00,,0.03,3.1,,2.6,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,8/11/2011 17:20,,0.11,5.2,,6.8,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,5/12/2011 15:30,,,,,,,,,,,,,,,,,,,,,,
119101A,Barratta Creek at Northcote,19/12/2011 15:15,,0.05,3.2,,1.3,,,,0.02,,,,,<0.01,,,,<0.01,0.01,<0.01,,
119101A,Barratta Creek at Northcote,29/12/2011 9:35,,0.03,11,,1.9,,,,0.02,,,,,<0.01,,,,<0.01,0.05,<0.01,,
119101A,Barratta Creek at Northcote,29/12/2011 12:35,,0.03,10,,2.9,,,,0.03,,,,,0.01,,,,<0.01,0.04,<0.01,,
119101A,Barratta Creek at Northcote,29/12/2011 16:15,,0.02,8.2,,3.1,,,,0.1,,,,,<0.01,,,,<0.01,0.03,<0.01,,
119101A,Barratta Creek at Northcote,30/12/2011 9:25,,0.02,7.3,,2.8,,,,0.13,,,,,<0.01,,,,<0.01,0.02,<0.01,,
119101A,Barratta Creek at Northcote,30/12/2011 12:45,,0.02,5.1,,2,,,,0.12,,,,,<0.01,,,,<0.01,0.02,<0.01,,
119101A,Barratta Creek at Northcote,31/12/2011 9:40,,0.02,5.3,,1.8,,,,0.09,,,,,<0.01,,,,<0.01,0.01,<0.01,,
119101A,Barratta Creek at Northcote,3/1/2012 12:25,,0.04,2.3,,1.1,,,,0.05,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,4/1/2012 12:45,,0.04,1.6,,0.87,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,5/1/2012 11:10,,0.03,1.1,,0.74,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,12/1/2012 12:27,,0.03,9.98,,0.6,,,,0.01,,,,,<0.01,,,,<0.01,0.02,<0.01,,
119101A,Barratta Creek at Northcote,16/1/2012 10:45,,<0.01,1.2,,0.5,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,16/1/2012 14:00,,0.01,0.75,,0.6,,,,<0.01,,,,,0.02,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,16/1/2012 17:10,,0.01,1.3,,0.63,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,17/1/2012 9:15,,0.01,2.5,,1.1,,,,0.12,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,17/1/2012 14:10,,0.01,2.5,,0.83,,,,0.11,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,18/1/2012 9:50,,0.02,2.8,,1.4,,,,0.21,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,19/1/2012 10:50,,0.03,1.8,,0.92,,,,0.16,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,20/1/2012 10:40,,0.01,1.8,,0.62,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,23/1/2012 10:40,,0.01,0.81,,0.36,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,25/1/2012 11:30,,0.034,1,,0.39,,,,0.024,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,27/1/2012 9:50,,0.03,0.71,,0.34,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,30/1/2012 15:35,,0.03,0.48,,0.27,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,31/1/2012 13:40,,0.01,0.55,,0.28,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,1/2/2012 9:45,,0.013,1.2,,0.33,,,,0.024,,0.043,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,2/2/2012 11:08,,0.011,0.84,,0.28,,,,0.025,,0.032,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,3/2/2012 9:40,,<0.01,0.89,,0.26,,,,0.018,,0.02,,,<0.01,,,,<0.01,<0.01,<0.01,,
119101A,Barratta Creek at Northcote,3/2/2012 17:30,0.6,<0.01,2.2,,0.21,,<0.1,<0.1,0.022,,0.017,,<0.1,<0.01,,,,<0.01,0.011,<0.01,,<0.1
119101A,Barratta Creek at Northcote,4/2/2012 9:10,0.1,<0.01,0.64,,0.32,,<0.1,<0.1,0.021,,0.025,,<0.1,<0.01,,,,<0.01,<0.01,<0.01,,<0.1
119101A,Barratta Creek at Northcote,4/2/2012 13:00,0.1,<0.01,0.69,,0.34,,<0.1,<0.1,0.021,,0.021,,<0.1,<0.01,,,,<0.01,<0.01,<0.01,,<0.1
119101A,Barratta Creek at Northcote,6/2/2012 11:55,<0.1,<0.01,0.52,,0.13,,<0.1,<0.1,0.011,,0.02,,<0.1,<0.01,,,,<0.01,<0.01,<0.01,,<0.1
119101A,Barratta Creek at Northcote,8/2/2012 10:55,<0.1,<0.01,0.35,,0.11,,<0.1,<0.1,<0.01,,0.01,,<0.1,<0.01,,,,<0.01,<0.01,<0.01,,<0.1
