Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
120001A,Burdekin River at Home Hill Inkerman Bridge,5/10/2011 8:50,,<0.01,0.1,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,19/12/2011 14:25,,<0.01,0.06,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,30/12/2011 10:50,,<0.01,0.14,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,5/1/2012 12:00,,<0.01,0.35,,0.03,,,,<0.01,,,,,0.05,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,16/1/2012 16:05,,<0.01,0.04,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,17/1/2012 10:05,,<0.01,0.52,,0.05,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,17/1/2012 15:15,,<0.01,0.29,,0.04,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,18/1/2012 10:45,,0.02,0.32,,0.02,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,19/1/2012 11:35,,<0.01,0.14,,0.02,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,20/1/2012 9:55,,<0.01,0.03,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,24/1/2012 13:00,,<0.01,0.01,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,27/1/2012 10:40,,<0.01,0.01,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,31/1/2012 14:15,,<0.01,<0.01,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,3/2/2012 10:25,,<0.01,0.12,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,6/2/2012 12:50,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,0.014,,
120001A,Burdekin River at Home Hill Inkerman Bridge,7/2/2012 11:45,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,8/2/2012 11:35,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
120001A,Burdekin River at Home Hill Inkerman Bridge,9/2/2012 15:40,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
