Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
130504B,Comet River at Comet Weir,22/11/2011 9:00,,<0.01,0.06,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,0.03,,
130504B,Comet River at Comet Weir,5/12/2011 16:00,,<0.01,<0.01,,0.01,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
130504B,Comet River at Comet Weir,12/12/2011 9:30,,<0.01,<0.01,,<0.01,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,0.05,,
130504B,Comet River at Comet Weir,13/12/2011 9:30,,<0.01,0.02,,<0.01,,,,<0.01,,,,,0.02,,,,<0.01,0.06,<0.01,,
130504B,Comet River at Comet Weir,15/12/2011 9:30,,<0.01,0.11,,<0.01,,,,<0.01,,,,,0.06,,,,<0.01,0.04,0.05,,
130504B,Comet River at Comet Weir,16/12/2011 11:00,,<0.01,0.47,,<0.01,,,,<0.01,,,,,0.03,,,,<0.01,0.02,0.03,,
130504B,Comet River at Comet Weir,1/2/2012 15:00,,<0.01,0.38,,0.011,,,,<0.01,,<0.01,,,0.55,,,,<0.01,0.017,0.056,,
130504B,Comet River at Comet Weir,6/2/2012 12:00,,<0.01,0.035,,<0.01,,,,<0.01,,<0.01,,,0.052,,,,<0.01,<0.01,0.32,,
130504B,Comet River at Comet Weir,14/2/2012 9:30,,<0.01,0.44,,<0.01,,,,0.02,,<0.01,,,0.063,,,,<0.01,<0.01,0.15,,
130504B,Comet River at Comet Weir,24/2/2012 16:15,,<0.01,0.11,,<0.01,,,,0.017,,<0.01,,,0.024,,,,<0.01,<0.01,0.055,,
130504B,Comet River at Comet Weir,28/2/2012 9:45,,<0.01,2.4,,<0.01,,,,<0.01,,<0.01,,,0.18,,,,<0.01,0.017,0.017,,
130504B,Comet River at Comet Weir,23/3/2012 9:55,,<0.01,0.13,,<0.01,,,,<0.01,,<0.01,,,0.083,,,,<0.01,0.012,0.014,,
130504B,Comet River at Comet Weir,26/3/2012 13:15,,<0.01,0.023,,<0.01,,,,<0.01,,<0.01,,,0.091,,,,<0.01,0.043,0.021,,
130504B,Comet River at Comet Weir,29/3/2012 10:00,,<0.01,0.019,,<0.01,,,,0.013,,<0.01,,,0.028,,,,<0.01,0.011,0.011,,
130504B,Comet River at Comet Weir,29/1/2013 9:30,<0.01,<0.01,<0.01,,<0.01,,,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
130504B,Comet River at Comet Weir,30/1/2013 8:45,0.02,<0.01,0.56,,<0.01,,,<0.01,<0.01,,<0.01,<0.01,<0.01,0.11,,<0.01,,<0.01,0.01,<0.01,<0.01,<0.01
130504B,Comet River at Comet Weir,31/1/2013 8:45,0.02,<0.01,0.91,,<0.01,,,0.01,<0.01,,<0.01,<0.01,<0.01,0.69,,<0.01,,<0.01,0.02,0.06,<0.01,<0.01
