Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
1160119,Herbert River at John Row Bridge,14/7/2011 15:00,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,10/8/2011 8:30,,<0.01,<0.01,<0.1,<0.01,<0.1,,,<0.01,,,,,<0.01,<0.1,,<0.1,<0.01,<0.01,<0.01,<0.1,
1160119,Herbert River at John Row Bridge,13/10/2011 8:30,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,19/10/2011 8:50,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,19/10/2011 16:45,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,20/10/2011 10:15,,<0.01,<0.01,,0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,21/10/2011 8:30,,<0.01,0.03,,0.02,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,22/10/2011 8:30,,<0.01,0.02,,0.02,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,23/10/2011 9:15,,<0.01,0.02,,0.02,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,31/10/2011 9:00,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,24/11/2011 9:00,,0.03,0.14,,1.3,,,,0.26,,,,,0.16,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,26/11/2011 14:00,,0.01,0.07,,0.24,,,,0.07,,,,,0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,28/11/2011 17:05,,<0.01,0.03,,0.07,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,25/1/2012 15:30,,<0.01,0.068,,0.17,,,,0.065,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,26/1/2012 10:00,,<0.01,0.024,,0.038,,,,0.017,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,27/1/2012 14:00,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,28/1/2012 13:00,,<0.01,<0.01,,0.026,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,29/1/2012 13:30,,<0.01,0.011,,0.018,,,,0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,30/1/2012 17:30,,<0.01,0.012,,0.018,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,31/1/2012 13:30,,<0.01,<0.01,,0.011,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,1/2/2012 11:00,,<0.01,0.011,,0.066,,,,0.03,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,2/2/2012 10:00,,<0.01,0.01,,0.039,,,,0.022,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,4/2/2012 11:00,,<0.01,<0.01,,0.051,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,4/2/2012 18:00,,<0.01,<0.01,,0.044,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,5/2/2012 9:00,,<0.01,0.014,,0.059,,,,0.019,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,6/2/2012 10:15,,<0.01,<0.01,,0.03,,,,0.011,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,7/2/2012 9:00,,<0.01,<0.01,,0.011,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,9/2/2012 8:30,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,11/2/2012 9:30,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,13/2/2012 8:30,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,15/2/2012 8:00,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,16/2/2012 8:00,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,21/2/2012 8:15,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,22/2/2012 10:00,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,24/2/2012 15:00,,<0.01,0.015,,0.15,,,,0.055,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,25/2/2012 16:00,,<0.01,<0.01,,0.14,,,,0.066,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,26/2/2012 13:20,,<0.01,<0.01,,0.1,,,,0.057,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,27/2/2012 9:15,,<0.01,0.013,,0.18,,,,0.076,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,28/2/2012 9:00,,<0.01,<0.01,,0.068,,,,0.026,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,29/2/2012 17:00,,<0.01,<0.01,,0.054,,,,0.022,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,1/3/2012 15:00,,<0.01,<0.01,,0.042,,,,0.015,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,2/3/2012 17:30,,<0.01,<0.01,,0.028,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,3/3/2012 12:30,,<0.01,<0.01,,0.016,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,5/3/2012 8:30,,<0.01,<0.01,,<0.01,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
1160119,Herbert River at John Row Bridge,21/11/2012 11:00,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
