Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
1120054,Johnstone River at Coquette Point,20/10/2015 13:30,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,13/11/2015 9:10,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,21/12/2015 12:30,<0.01,<0.01,<0.01,,0.03,,<0.01,<0.01,0.01,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,0.02,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,1/1/2016 18:22,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,1/1/2016 21:51,<0.01,<0.01,<0.01,,0.02,,<0.01,<0.01,0.01,<0.01,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,2/1/2016 3:21,<0.01,<0.01,<0.01,,0.02,,<0.01,<0.01,0.02,<0.01,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,2/1/2016 8:51,<0.01,<0.01,<0.01,,0.02,,<0.01,<0.01,0.02,<0.01,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,2/1/2016 14:21,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,2/1/2016 19:51,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,2/1/2016 22:51,<0.01,<0.01,<0.01,,0.01,,<0.01,<0.01,0.01,<0.01,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,3/1/2016 4:21,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,3/1/2016 9:51,<0.01,<0.01,<0.01,,0.01,,<0.01,<0.01,<0.01,<0.01,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,3/1/2016 20:04,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/1/2016 4:24,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/1/2016 15:24,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/1/2016 23:54,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,5/1/2016 6:44,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,5/1/2016 22:14,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,1/2/2016 9:00,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,3/3/2016 21:57,0.07,<0.01,0.01,,0.08,,<0.01,0.01,0.02,<0.01,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,0.03,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/3/2016 2:45,0.13,<0.01,0.04,,0.1,,<0.01,0.03,0.04,<0.01,0.04,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,0.01
1120054,Johnstone River at Coquette Point,4/3/2016 6:15,0.1,<0.01,0.03,,0.08,,<0.01,0.03,0.03,<0.01,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/3/2016 12:15,0.16,<0.01,0.06,,0.23,,<0.01,0.02,0.06,<0.01,0.07,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/3/2016 18:15,0.13,<0.01,0.04,,0.24,,<0.01,0.02,0.07,<0.01,0.07,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,4/3/2016 23:55,0.1,<0.01,0.04,,0.22,,<0.01,0.02,0.07,<0.01,0.07,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1120054,Johnstone River at Coquette Point,5/3/2016 4:55,0.01,<0.01,<0.01,,0.03,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
