Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
1110056,Mulgrave River at Deeral,25/11/2013 18:00,0.01,<0.01,0.03,,0.07,,<0.03,<0.01,0.03,,<0.01,,,<0.01,<0.01,,,<0.01,<0.01,<0.01,,
1110056,Mulgrave River at Deeral,10/1/2014 16:00,0.03,<0.01,0.02,,0.02,,<0.03,<0.01,<0.01,,<0.01,,,<0.01,<0.01,,,<0.01,<0.01,<0.01,,
1110056,Mulgrave River at Deeral,13/1/2014 12:00,0.03,<0.01,0.31,,0.58,,0.06,<0.01,0.07,,0.07,0.03,0.01,0.02,0.1,<0.01,,0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,23/1/2014 9:10,0.02,<0.01,<0.01,,0.02,,,<0.01,0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/1/2014 14:43,0.21,<0.01,0.33,,0.57,,,<0.01,0.06,,0.05,0.03,0.03,<0.01,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,28/1/2014 10:43,<0.01,<0.01,0.02,,0.05,,,<0.01,0.02,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,29/1/2014 10:40,<0.01,<0.01,0.02,,0.04,,,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,30/1/2014 8:51,<0.01,<0.01,0.03,,0.08,,,<0.01,0.01,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,31/1/2014 11:20,<0.01,<0.01,<0.01,,<0.01,,,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,3/2/2014 9:28,0.51,<0.01,0.04,,1.4,,,<0.01,0.27,,0.56,<0.01,<0.01,<0.01,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,3/2/2014 12:32,0.05,0.03,0.33,,0.52,,,<0.01,0.03,,0.06,<0.01,0.12,<0.01,0.05,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,4/2/2014 8:40,0.01,<0.01,0.02,,0.08,,,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,4/2/2014 11:30,0.01,<0.01,0.03,,0.11,,,<0.01,0.02,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,6/2/2014 8:43,<0.01,<0.01,0.02,,0.04,,,<0.01,0.02,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,7/2/2014 15:45,<0.01,<0.01,<0.01,,0.02,,,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,10/2/2014 11:30,<0.01,<0.01,0.01,,0.02,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,11/2/2014 13:20,<0.01,<0.01,<0.01,,0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,12/2/2014 13:42,<0.01,<0.01,<0.01,,0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/2/2014 13:22,<0.01,<0.01,0.02,,0.08,,<0.03,<0.01,0.01,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,27/2/2014 11:15,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,7/3/2014 13:30,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,13/3/2014 9:37,<0.01,<0.01,<0.01,,0.02,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,20/3/2014 11:40,0.59,<0.01,0.18,,0.07,,0.16,<0.01,0.01,,0.02,<0.01,0.14,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,0.07
1110056,Mulgrave River at Deeral,20/3/2014 12:00,0.62,<0.01,0.2,,0.07,,0.25,<0.01,0.01,,0.02,<0.01,0.15,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,0.09
1110056,Mulgrave River at Deeral,20/3/2014 14:16,0.24,<0.01,0.15,,0.07,,0.09,<0.01,0.02,,0.02,<0.01,0.16,<0.01,0.09,<0.01,,<0.01,<0.01,<0.01,<0.01,0.03
1110056,Mulgrave River at Deeral,20/3/2014 17:35,0.14,<0.01,0.08,,0.06,,0.09,<0.01,0.01,,0.02,<0.01,0.07,<0.01,0.05,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,20/3/2014 23:10,0.03,<0.01,0.02,,0.03,,<0.03,<0.01,<0.01,,<0.01,<0.01,0.02,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 4:45,<0.01,<0.01,<0.01,,0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 9:30,0.03,<0.01,0.1,,0.09,,<0.03,<0.01,<0.01,,0.03,<0.01,0.02,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 10:20,<0.01,<0.01,0.01,,0.02,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 10:58,0.03,<0.01,0.09,,0.08,,<0.03,<0.01,<0.01,,0.03,<0.01,0.02,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 15:55,0.03,<0.01,0.08,,0.08,,<0.03,<0.01,<0.01,,0.03,<0.01,0.02,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 18:05,0.01,<0.01,0.03,,0.03,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,21/3/2014 21:30,0.02,<0.01,0.03,,0.04,,<0.03,<0.01,<0.01,,0.02,<0.01,0.02,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 3:05,0.02,<0.01,0.03,,0.04,,<0.03,<0.01,<0.01,,0.02,<0.01,0.02,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 8:40,0.02,<0.01,0.04,,0.06,,0.03,<0.01,<0.01,,0.02,<0.01,0.03,<0.01,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 9:40,0.02,<0.01,0.04,,0.05,,<0.03,<0.01,<0.01,,0.02,<0.01,0.04,<0.01,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 12:30,<0.01,<0.01,<0.01,,0.03,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 15:26,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 16:24,<0.01,<0.01,0.03,,0.03,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,22/3/2014 23:01,0.01,<0.01,0.03,,0.03,,<0.03,<0.01,<0.01,,0.02,<0.01,0.01,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,23/3/2014 4:36,0.02,<0.01,0.07,,0.05,,<0.03,<0.01,0.01,,0.04,<0.01,0.02,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,23/3/2014 9:55,0.01,<0.01,0.05,,0.04,,<0.03,<0.01,<0.01,,0.03,<0.01,0.01,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,23/3/2014 10:11,0.02,<0.01,0.05,,0.04,,<0.03,<0.01,<0.01,,0.02,<0.01,0.01,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,23/3/2014 15:00,0.01,<0.01,0.03,,0.03,,<0.03,<0.01,<0.01,,0.02,<0.01,0.01,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,23/3/2014 20:53,<0.01,<0.01,0.03,,0.03,,<0.03,<0.01,<0.01,,0.02,<0.01,0.01,<0.01,0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/3/2014 2:28,<0.01,<0.01,0.02,,0.03,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/3/2014 8:03,<0.01,<0.01,0.02,,0.02,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/3/2014 8:58,<0.01,<0.01,0.02,,0.02,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/3/2014 13:38,<0.01,<0.01,0.01,,0.01,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,24/3/2014 19:13,0.04,<0.01,0.02,,0.02,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,25/3/2014 10:06,<0.01,<0.01,0.01,,0.02,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,29/3/2014 10:25,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,11/4/2014 23:34,0.02,<0.01,<0.01,,0.02,,<0.03,<0.01,0.01,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,12/4/2014 1:11,0.01,<0.01,<0.01,,0.01,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,12/4/2014 7:12,0.03,<0.01,<0.01,,0.03,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,12/4/2014 12:47,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,12/4/2014 17:21,0.01,<0.01,<0.01,,0.05,,<0.03,<0.01,0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,12/4/2014 22:56,0.01,<0.01,0.01,,0.04,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,13/4/2014 4:31,0.02,<0.01,0.01,,0.05,,<0.03,<0.01,<0.01,,<0.01,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,13/4/2014 10:06,0.01,<0.01,0.01,,0.04,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,13/4/2014 15:41,0.01,<0.01,<0.01,,0.03,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,13/4/2014 21:16,0.01,<0.01,<0.01,,0.03,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,14/4/2014 2:51,0.02,<0.01,0.01,,0.03,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,14/4/2014 8:26,0.01,<0.01,0.02,,0.03,,<0.03,<0.01,<0.01,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1110056,Mulgrave River at Deeral,14/4/2014 12:55,<0.01,<0.01,0.01,,0.02,,<0.03,<0.01,<0.01,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
