Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
1120049,North Johnstone River at Goondi,29/2/2012 14:12,,<0.01,<0.01,,0.012,,,,<0.01,,0.063,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,6/3/2012 12:52,,<0.01,<0.01,,0.014,,,,<0.01,,0.1,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,10/3/2012 17:01,,<0.01,<0.01,,<0.01,,,,<0.01,,0.079,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,13/3/2012 15:45,,<0.01,<0.01,,<0.01,,,,<0.01,,0.052,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,14/3/2012 9:18,,<0.01,<0.01,,<0.01,,,,<0.01,,0.059,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,16/3/2012 10:15,,<0.01,<0.01,,<0.01,,,,<0.01,,0.052,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,18/3/2012 9:46,,<0.01,<0.01,,<0.01,,,,<0.01,,0.11,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,18/3/2012 13:12,,<0.01,0.018,,0.012,,,,<0.01,,0.12,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,18/3/2012 15:28,,<0.01,<0.01,,<0.01,,,,<0.01,,0.1,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,19/3/2012 11:12,,<0.01,<0.01,,<0.01,,,,<0.01,,0.067,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,20/3/2012 10:00,,<0.01,<0.01,,<0.01,,,,<0.01,,0.037,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,21/3/2012 12:09,,<0.01,<0.01,,<0.01,,,,<0.01,,0.1,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,23/3/2012 13:31,,<0.01,<0.01,,<0.01,,,,<0.01,,0.1,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,26/3/2012 11:22,,<0.01,0.036,,0.015,,,,<0.01,,0.07,,,<0.01,,,,<0.01,<0.01,<0.01,,
1120049,North Johnstone River at Goondi,26/3/2012 16:54,,<0.01,<0.01,,0.016,,,,<0.01,,0.035,,,<0.01,,,,<0.01,<0.01,<0.01,,
