Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
1240062,O'Connell River at Caravan Park,9/8/2013 9:00,<0.01,<0.01,<0.01,,<0.01,,,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
1240062,O'Connell River at Caravan Park,8/1/2014 14:50,0.01,<0.01,0.05,,0.03,,<0.03,<0.01,0.07,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,10/1/2014 16:30,0.23,0.01,0.18,,0.36,,<0.03,<0.01,0.2,,0.05,0.01,0.05,<0.01,0.06,<0.01,,<0.01,<0.01,0.23,<0.01,<0.02
1240062,O'Connell River at Caravan Park,30/1/2014 12:30,0.46,<0.01,0.17,,0.45,,,<0.01,0.16,,0.06,0.09,<0.01,<0.01,0.47,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,30/1/2014 19:00,0.18,<0.01,0.1,,0.31,,,<0.01,0.12,,0.06,0.11,<0.01,<0.01,0.64,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,30/1/2014 22:00,0.13,<0.01,0.06,,0.39,,,<0.01,0.18,,0.18,0.13,<0.01,<0.01,0.54,<0.01,,<0.01,<0.01,0.06,<0.01,<0.02
1240062,O'Connell River at Caravan Park,31/1/2014 2:00,0.13,<0.01,0.05,,0.32,,,<0.01,0.12,,0.16,0.07,<0.01,<0.01,0.34,<0.01,,<0.01,<0.01,0.07,<0.01,<0.02
1240062,O'Connell River at Caravan Park,31/1/2014 7:00,0.08,<0.01,0.05,,0.32,,,<0.01,0.14,,0.15,0.04,<0.01,<0.01,0.26,<0.01,,<0.01,<0.01,0.12,<0.01,0.04
1240062,O'Connell River at Caravan Park,31/1/2014 13:00,0.04,<0.01,0.02,,0.2,,,<0.01,0.09,,0.1,0.03,<0.01,<0.01,0.15,<0.01,,<0.01,<0.01,0.04,<0.01,<0.02
1240062,O'Connell River at Caravan Park,31/1/2014 17:00,0.03,<0.01,0.01,,0.12,,,<0.01,0.05,,0.05,0.02,<0.01,<0.01,0.11,<0.01,,<0.01,<0.01,0.02,<0.01,<0.02
1240062,O'Connell River at Caravan Park,31/1/2014 21:00,0.03,<0.01,0.02,,0.13,,,<0.01,0.07,,0.06,0.02,<0.01,<0.01,0.12,<0.01,,<0.01,<0.01,0.04,<0.01,<0.02
1240062,O'Connell River at Caravan Park,1/2/2014 8:00,0.02,<0.01,0.03,,0.17,,,<0.01,0.07,,0.06,0.02,<0.01,<0.01,0.13,<0.01,,<0.01,<0.01,0.05,<0.01,<0.02
1240062,O'Connell River at Caravan Park,9/2/2014 22:21,0.02,<0.01,0.02,,0.09,,,<0.01,0.03,,0.05,0.01,<0.01,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,10/2/2014 12:30,0.03,<0.01,0.02,,0.1,,,<0.01,0.04,,0.07,<0.01,<0.01,<0.01,0.03,<0.01,,<0.01,<0.01,0.04,<0.01,<0.02
1240062,O'Connell River at Caravan Park,19/2/2014 9:45,0.04,<0.01,<0.01,,0.02,,<0.03,<0.01,0.02,,0.03,<0.01,<0.01,<0.01,0.01,<0.01,,<0.01,<0.01,0.03,<0.01,<0.02
1240062,O'Connell River at Caravan Park,19/2/2014 10:01,0.05,<0.01,<0.01,,0.03,,<0.03,<0.01,0.02,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.05,<0.01,<0.02
1240062,O'Connell River at Caravan Park,19/2/2014 11:01,0.11,<0.01,<0.01,,0.05,,<0.03,<0.01,0.03,,0.07,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.03,<0.01,<0.02
1240062,O'Connell River at Caravan Park,19/2/2014 15:21,0.19,<0.01,0.01,,0.05,,<0.03,<0.01,0.03,,0.09,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.03,<0.01,<0.02
1240062,O'Connell River at Caravan Park,19/2/2014 17:31,0.23,<0.01,0.02,,0.05,,<0.03,<0.01,0.03,,0.07,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.04,<0.01,<0.02
1240062,O'Connell River at Caravan Park,19/2/2014 20:31,0.15,<0.01,0.02,,0.04,,<0.03,<0.01,0.03,,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.04,<0.01,<0.02
1240062,O'Connell River at Caravan Park,20/2/2014 9:31,0.06,<0.01,0.02,,0.02,,<0.03,<0.01,0.01,,0.04,<0.01,<0.01,<0.01,0.01,<0.01,,<0.01,<0.01,0.02,<0.01,<0.02
1240062,O'Connell River at Caravan Park,27/3/2014 20:31,0.07,<0.01,<0.01,,0.06,,0.04,<0.01,0.03,,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,27/3/2014 20:53,0.07,<0.01,<0.01,,0.06,,0.03,<0.01,0.03,,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,28/3/2014 2:31,0.05,<0.01,<0.01,,0.04,,<0.03,<0.01,0.02,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 17:31,0.03,<0.01,<0.01,,0.01,,0.09,<0.01,0.02,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 18:01,0.06,<0.01,<0.01,,0.02,,0.13,<0.01,0.02,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 18:31,0.07,<0.01,<0.01,,0.03,,0.11,<0.01,0.03,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 19:01,0.07,<0.01,<0.01,,0.03,,0.11,<0.01,0.03,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 19:31,0.08,<0.01,<0.01,,0.03,,0.1,<0.01,0.03,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.02,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 20:01,0.08,<0.01,<0.01,,0.04,,0.11,<0.01,0.03,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.09,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 21:01,0.08,<0.01,<0.01,,0.04,,0.1,<0.01,0.03,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.12,<0.01,<0.02
1240062,O'Connell River at Caravan Park,13/4/2014 23:01,0.07,<0.01,<0.01,,0.04,,0.08,<0.01,0.02,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.09,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/4/2014 0:31,0.08,<0.01,<0.01,,0.04,,0.07,<0.01,0.03,,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.08,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/4/2014 1:59,0.08,<0.01,<0.01,,0.02,,0.12,<0.01,0.02,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/4/2014 3:29,0.09,<0.01,<0.01,,0.03,,0.11,<0.01,0.03,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.02,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/4/2014 4:59,0.09,<0.01,<0.01,,0.04,,0.08,<0.01,0.02,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.09,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/4/2014 6:59,0.08,<0.01,<0.01,,0.04,,0.07,<0.01,0.03,,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.08,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/4/2014 15:17,0.02,<0.01,0.01,,0.03,,<0.03,<0.01,0.02,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,0.07,<0.01,<0.02
1240062,O'Connell River at Caravan Park,14/5/2014 14:50,0.15,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,17/6/2014 15:10,0.05,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,28/7/2014 17:15,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1240062,O'Connell River at Caravan Park,21/8/2014 16:24,<0.01,<0.01,<0.01,,<0.01,,<0.03,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
