Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
125013A,Pioneer River at Dumbleton Pump Station Headwater,9/9/2011 14:00,,<0.01,<0.01,<0.1,<0.01,<0.1,,,<0.01,,,,,<0.01,<0.1,,<0.1,<0.01,<0.01,<0.01,<0.1,
125013A,Pioneer River at Dumbleton Pump Station Headwater,15/9/2011 9:00,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,23/9/2011 9:30,,<0.01,0.04,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/9/2011 9:45,,<0.01,0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/9/2011 13:45,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,12/10/2011 9:00,,<0.01,<0.01,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,20/10/2011 9:10,,<0.01,<0.01,<0.1,<0.01,<0.1,,,<0.01,,,,,<0.01,<0.1,,<0.1,<0.01,<0.01,<0.01,<0.1,
125013A,Pioneer River at Dumbleton Pump Station Headwater,1/11/2011 9:50,,<0.01,0.05,,<0.01,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,10/11/2011 9:10,,<0.01,0.2,,0.01,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,18/11/2011 9:15,,<0.01,0.2,,0.02,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,23/11/2011 10:10,,<0.01,0.15,,0.01,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,2/12/2011 10:45,,<0.01,0.15,,0.02,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,14/12/2011 9:45,,0.01,0.51,,0.5,,,,0.1,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,19/12/2011 9:15,,0.09,0.76,,0.56,,,,0.16,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,28/12/2011 19:30,,0.14,1.2,,0.71,,,,0.17,,,,,0.06,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/12/2011 1:30,,0.08,1.2,,0.76,,,,0.14,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/12/2011 7:30,,0.07,2.8,,2.7,,,,0.27,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/12/2011 13:30,,0.05,1.6,,1.9,,,,0.17,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/12/2011 19:30,,0.11,1.4,,1.5,,,,0.23,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,3/1/2012 8:16,,0.24,1.9,,2.1,,,,0.52,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,4/1/2012 10:30,,0.26,2.5,,2.7,,,,0.48,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,5/1/2012 10:59,,0.21,2.2,,2.4,,,,0.44,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,6/1/2012 11:29,,0.17,2,,2.2,,,,0.4,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,7/1/2012 11:59,,0.14,2,,2.1,,,,0.45,,,,,0.05,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,8/1/2012 11:29,,0.14,1.9,,2,,,,0.44,,,,,0.05,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,9/1/2012 7:29,,0.13,1.9,,2,,,,0.47,,,,,0.05,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,10/1/2012 7:00,,0.11,1.1,,1.3,,,,0.42,,,,,0.05,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,11/1/2012 6:30,,0.12,1.3,,1.4,,,,0.45,,,,,0.06,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,12/1/2012 6:30,,0.11,1,,1.1,,,,0.37,,,,,0.04,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,13/1/2012 7:00,,0.11,1,,1.1,,,,0.37,,,,,0.04,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,14/1/2012 7:30,,0.11,0.84,,1.1,,,,0.36,,,,,0.04,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,15/1/2012 8:00,,0.12,0.74,,1.3,,,,0.39,,,,,0.04,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,15/1/2012 20:30,,0.1,0.68,,0.94,,,,0.3,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/1/2012 2:30,,0.1,0.64,,0.93,,,,0.29,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/1/2012 8:30,,0.09,0.56,,0.77,,,,0.27,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/1/2012 14:30,,0.03,0.38,,0.53,,,,0.13,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/1/2012 0:30,,0.03,0.31,,0.4,,,,0.09,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/1/2012 6:30,,0.02,0.29,,0.4,,,,0.1,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/1/2012 12:30,,0.02,0.19,,0.29,,,,0.06,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,18/1/2012 7:30,,0.02,0.2,,0.29,,,,0.06,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,19/1/2012 7:30,,0.02,0.27,,0.38,,,,0.09,,,,,0.04,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,20/1/2012 7:30,,0.02,0.26,,0.36,,,,0.09,,,,,0.04,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,21/1/2012 7:30,,0.02,0.21,,0.31,,,,0.09,,,,,0.03,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,22/1/2012 7:30,,0.04,0.47,,0.64,,,,0.19,,,,,0.06,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,23/1/2012 7:30,,0.03,0.42,,0.59,,,,0.18,,,,,0.05,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,24/1/2012 3:00,,0.01,0.16,,0.24,,,,0.07,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,25/1/2012 7:30,,0.02,0.17,,0.25,,,,0.08,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,26/1/2012 7:30,,0.02,0.26,,0.31,,,,0.07,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/1/2012 7:30,,0.02,0.34,,0.3,,,,0.07,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/1/2012 16:30,,0.02,0.31,,0.26,,,,0.07,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/1/2012 22:30,,0.02,0.2,,0.14,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,28/1/2012 4:30,,0.06,0.59,,0.46,,,,0.17,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,28/1/2012 22:30,,0.02,0.16,,0.2,,,,0.07,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/1/2012 4:30,,0.03,0.32,,0.38,,,,0.14,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/1/2012 10:30,,0.03,0.3,,0.4,,,,0.15,,,,,0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/1/2012 16:30,,0.02,0.24,,0.34,,,,0.11,,,,,0.02,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/1/2012 22:30,,<0.01,0.1,,0.14,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,30/1/2012 4:30,,0.02,0.21,,0.27,,,,0.08,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,30/1/2012 10:30,,0.02,0.21,,0.27,,,,0.09,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,30/1/2012 16:30,,0.02,0.24,,0.36,,,,0.11,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,30/1/2012 22:30,,0.02,0.23,,0.36,,,,0.11,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,31/1/2012 4:30,,0.03,0.24,,0.36,,,,0.12,,,,,<0.01,,,,<0.01,<0.01,0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,31/1/2012 10:30,,0.02,0.2,,0.3,,,,0.09,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,1/2/2012 7:30,,0.02,0.19,,0.26,,,,0.06,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,2/2/2012 13:00,,0.05,0.38,,0.38,,,,0.14,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,2/2/2012 19:00,,0.02,0.22,,0.29,,,,0.1,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,3/2/2012 1:00,,0.02,0.18,,0.24,,,,0.08,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,3/2/2012 7:00,,0.03,0.19,,0.27,,,,0.08,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,3/2/2012 13:00,,0.02,0.2,,0.32,,,,0.08,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,3/2/2012 19:00,,<0.01,1.1,,0.44,,,,<0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,4/2/2012 1:00,,<0.01,0.04,,0.06,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,4/2/2012 7:00,,0.01,0.09,,0.16,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,4/2/2012 13:00,,0.01,0.21,,0.15,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,4/2/2012 19:00,,0.01,0.07,,0.13,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,7/2/2012 10:40,,<0.01,0.04,,0.06,,,,0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,8/2/2012 7:30,,<0.01,0.044,,0.063,,,,0.013,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,9/2/2012 7:30,,<0.01,0.044,,0.061,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,10/2/2012 7:30,,<0.01,0.045,,0.063,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,11/2/2012 7:30,,<0.01,0.034,,0.05,,,,0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,12/2/2012 7:30,,<0.01,0.038,,0.057,,,,0.011,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,13/2/2012 7:30,,<0.01,0.037,,0.056,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,14/2/2012 7:30,,<0.01,0.035,,0.054,,,,0.011,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,15/2/2012 7:30,,<0.01,0.034,,0.054,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/2/2012 7:30,,<0.01,0.037,,0.058,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/2/2012 7:30,,<0.01,0.035,,0.053,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,18/2/2012 7:30,,<0.01,0.034,,0.053,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,19/2/2012 7:30,,<0.01,0.034,,0.053,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,20/2/2012 7:30,,<0.01,0.031,,0.049,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,21/2/2012 7:30,,<0.01,0.028,,0.046,,,,0.011,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,22/2/2012 7:30,,<0.01,0.028,,0.042,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,23/2/2012 7:30,,<0.01,0.031,,0.047,,,,0.011,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,24/2/2012 3:30,,<0.01,0.028,,0.045,,,,0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,24/2/2012 7:30,,<0.01,0.02,,0.038,,,,0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,24/2/2012 13:30,,<0.01,0.021,,0.034,,,,<0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,24/2/2012 19:30,,<0.01,0.021,,0.035,,,,0.01,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,25/2/2012 1:30,,<0.01,0.021,,0.039,,,,0.012,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,25/2/2012 7:30,,<0.01,0.025,,0.067,,,,0.023,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,25/2/2012 13:30,,<0.01,0.032,,0.15,,,,0.018,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,25/2/2012 19:30,,<0.01,0.037,,0.084,,,,0.021,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,26/2/2012 1:30,,0.022,0.11,,0.14,,,,0.026,,0.035,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,26/2/2012 7:30,,0.1,0.35,,0.29,,,,0.063,,0.047,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,26/2/2012 13:30,,0.075,0.5,,0.33,,,,0.066,,0.049,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,26/2/2012 19:30,,0.048,0.23,,0.2,,,,0.059,,0.035,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/2/2012 1:30,,0.029,0.15,,0.18,,,,0.046,,0.027,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/2/2012 7:30,,0.016,0.15,,0.17,,,,0.044,,0.05,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/2/2012 13:30,,0.046,0.21,,0.26,,,,0.062,,0.055,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,27/2/2012 19:30,,0.034,0.15,,0.21,,,,0.053,,0.037,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,28/2/2012 1:30,,0.032,0.15,,0.21,,,,0.051,,0.037,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,28/2/2012 7:30,,0.018,0.13,,0.19,,,,0.049,,0.045,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,28/2/2012 13:30,,0.01,2.9,,0.16,,,,0.042,,0.042,,,<0.01,,,,<0.01,0.02,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,29/2/2012 3:00,,0.023,1.5,,0.33,,,,0.039,,0.029,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,1/3/2012 7:30,,0.012,0.3,,0.14,,,,0.029,,0.031,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,2/3/2012 7:30,,0.015,0.25,,0.15,,,,0.032,,0.023,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,7/3/2012 4:30,,<0.01,0.11,,0.055,,,,0.013,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,15/3/2012 17:00,,<0.01,0.047,,0.057,,,,0.021,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,15/3/2012 23:00,,<0.01,0.038,,0.06,,,,0.019,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/3/2012 5:00,,<0.01,0.038,,0.06,,,,0.016,,0.015,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/3/2012 11:00,,<0.01,0.15,,0.12,,,,0.029,,0.026,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/3/2012 17:00,,<0.01,0.22,,0.08,,,,0.027,,0.036,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,16/3/2012 23:00,,<0.01,0.098,,0.088,,,,0.028,,0.038,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/3/2012 5:00,,<0.01,0.079,,0.08,,,,0.029,,0.031,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/3/2012 11:00,,<0.01,0.49,,0.077,,,,0.021,,0.026,,,<0.01,,,,<0.01,<0.01,<0.01,,
125013A,Pioneer River at Dumbleton Pump Station Headwater,17/3/2012 17:00,,<0.01,0.08,,0.066,,,,0.019,,0.025,,,<0.01,,,,<0.01,<0.01,<0.01,,
