Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
122013A,Proserpine River at Glen Isla,16/12/2016 15:10,0.0007,0.0011,0.022,<0.02,0.0047,<0.0002,<0.0001,<0.0001,0.041,0.014,0.0015,0.0099,<0.0002,0.0012,0.0018,0.0001,<0.02,<0.0001,0.0002,0.0001,<0.0001,<0.0002
122013A,Proserpine River at Glen Isla,23/12/2016 12:20,0.011,0.0034,0.34,<0.02,0.12,<0.0002,<0.0001,0.001,0.44,0.069,0.029,0.022,0.0033,0.0089,0.015,<0.0001,<0.02,<0.0001,0.0017,0.0001,<0.0001,0.0003
122013A,Proserpine River at Glen Isla,30/12/2016 13:10,0.0018,0.0018,0.076,<0.02,0.013,<0.0002,<0.0001,<0.0001,0.1,0.02,0.0057,0.019,0.0005,0.0034,<0.0001,<0.0001,<0.02,<0.0001,0.0004,0.0001,<0.0001,<0.0002
122013A,Proserpine River at Glen Isla,6/1/2017 8:18,0.9,0.0067,3.5,<0.02,4,<0.0002,<0.0001,0.031,6.6,0.82,2,0.26,0.46,0.21,0.063,0.0029,<0.02,<0.0001,0.026,<0.0001,<0.0001,0.012
122013A,Proserpine River at Glen Isla,6/1/2017 14:02,0.42,<0.01,2.6,<0.05,3,<0.02,<0.02,<0.02,5.1,0.7,2.1,0.22,0.27,0.31,0.05,<0.02,<0.02,<0.02,0.02,<0.005,<0.01,<0.05
122013A,Proserpine River at Glen Isla,7/1/2017 2:32,0.22,0.02,1.3,<0.05,2.2,<0.02,<0.02,<0.02,4.1,0.55,1.8,0.1,0.18,0.22,<0.02,<0.02,<0.02,<0.02,<0.01,<0.005,<0.01,<0.05
122013A,Proserpine River at Glen Isla,7/1/2017 15:02,0.19,<0.01,1.2,<0.05,1.6,<0.02,<0.02,<0.02,2.6,0.32,1.3,0.1,0.11,0.24,<0.02,<0.02,<0.02,<0.02,<0.01,<0.02,<0.01,<0.05
122013A,Proserpine River at Glen Isla,8/1/2017 3:32,0.14,<0.01,1.1,<0.05,1.5,<0.02,<0.02,<0.02,1.5,0.19,1,0.05,0.06,0.19,<0.02,<0.02,<0.02,<0.02,<0.01,<0.005,<0.01,<0.05
122013A,Proserpine River at Glen Isla,8/1/2017 16:02,0.11,<0.01,1.2,<0.05,1.5,<0.02,<0.02,<0.02,1.3,0.22,0.98,0.04,0.06,0.17,<0.02,<0.02,<0.02,<0.02,<0.01,<0.005,<0.01,<0.05
122013A,Proserpine River at Glen Isla,9/1/2017 10:12,0.098,0.0037,1.1,<0.02,1.5,0.0007,<0.0001,0.0039,1.7,0.32,0.95,0.041,0.042,0.16,0.0032,<0.001,<0.02,<0.0001,0.005,0.0014,<0.0001,0.0021
122013A,Proserpine River at Glen Isla,13/1/2017 15:41,0.077,0.0032,0.85,<0.02,0.8,0.0012,0.012,0.0085,1.2,0.32,0.69,0.041,0.019,0.1,0.0062,<0.0006,<0.02,<0.0001,0.0025,0.036,<0.0001,0.003
122013A,Proserpine River at Glen Isla,21/1/2017 9:45,0.04,<0.01,0.25,<0.02,0.42,<0.02,0.05,<0.02,0.51,0.19,0.48,0.03,0.02,0.05,<0.02,<0.02,<0.05,<0.02,<0.01,<0.01,<0.01,<0.05
