Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
1111019,Russell River at East Russell,4/1/2014 12:00,0.02,<0.01,<0.01,,0.05,,<0.03,<0.01,0.03,,0.01,,,<0.01,<0.01,,,<0.01,<0.01,<0.01,,
1111019,Russell River at East Russell,23/1/2014 8:05,0.01,<0.01,<0.01,,0.04,,,<0.01,0.04,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,24/1/2014 15:35,0.08,<0.01,0.04,,0.24,,,<0.01,0.13,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,28/1/2014 9:55,<0.01,<0.01,0.01,,0.12,,,<0.01,0.06,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,29/1/2014 9:58,0.23,<0.01,1.7,,1.4,,,<0.01,0.09,,0.05,0.15,0.23,0.02,0.08,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,30/1/2014 10:04,0.03,<0.01,0.01,,0.31,,,<0.01,0.14,,0.04,<0.01,<0.01,<0.01,0.03,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,31/1/2014 12:30,0.02,<0.01,<0.01,,0.16,,,<0.01,0.07,,0.04,<0.01,<0.01,<0.01,0.04,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,3/2/2014 11:22,0.04,<0.01,0.03,,0.45,,,<0.01,0.06,,0.07,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,3/2/2014 14:40,0.02,<0.01,0.01,,0.31,,,<0.01,0.05,,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,4/2/2014 10:15,<0.01,<0.01,<0.01,,0.11,,,<0.01,0.05,,0.12,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,4/2/2014 13:00,<0.01,<0.01,<0.01,,0.08,,,<0.01,0.03,,0.09,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,6/2/2014 9:52,<0.01,<0.01,<0.01,,0.04,,,<0.01,0.03,,0.06,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,11/2/2014 12:25,<0.01,<0.01,<0.01,,0.1,,<0.03,<0.01,0.04,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,12/2/2014 13:05,<0.01,<0.01,<0.01,,0.08,,<0.03,<0.01,0.04,,0.05,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,24/2/2014 14:30,0.02,<0.01,<0.01,,0.03,,<0.03,<0.01,0.03,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,27/2/2014 10:15,<0.01,<0.01,<0.01,,0.03,,<0.03,<0.01,0.04,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,13/3/2014 11:32,0.01,<0.01,0.09,,0.06,,<0.03,<0.01,0.05,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,20/3/2014 11:01,0.12,<0.01,0.01,,0.57,,<0.03,<0.01,0.06,,0.02,<0.01,<0.01,<0.01,<0.01,0.02,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,20/3/2014 11:59,0.1,<0.01,<0.01,,0.11,,<0.03,<0.01,0.03,,0.03,<0.01,0.03,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,20/3/2014 15:00,0.05,<0.01,0.03,,0.26,,<0.03,<0.01,0.04,,0.02,<0.01,<0.01,<0.01,<0.01,0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,21/3/2014 8:33,<0.01,<0.01,0.06,,0.1,,<0.03,<0.01,0.02,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,21/3/2014 9:09,0.01,<0.01,0.05,,0.08,,<0.03,<0.01,0.02,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,21/3/2014 11:30,0.02,<0.01,0.03,,0.09,,<0.03,<0.01,0.03,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,21/3/2014 14:44,0.03,<0.01,0.05,,0.12,,<0.03,<0.01,0.03,,0.01,<0.01,0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,21/3/2014 17:14,<0.01,<0.01,0.06,,0.09,,<0.03,<0.01,0.02,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,21/3/2014 20:19,0.02,<0.01,0.05,,0.12,,<0.03,<0.01,0.03,,0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 1:54,0.02,<0.01,0.05,,0.15,,<0.03,<0.01,0.03,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 7:29,0.02,<0.01,0.05,,0.12,,<0.03,<0.01,0.04,,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 8:47,<0.01,<0.01,0.02,,0.04,,<0.03,<0.01,0.01,,0.04,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 10:15,0.02,<0.01,0.05,,0.09,,<0.03,<0.01,0.03,,0.02,<0.01,<0.01,<0.01,0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 13:04,0.03,<0.01,0.07,,0.11,,0.03,<0.01,0.04,,0.03,<0.01,0.01,<0.01,0.02,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 17:05,<0.01,<0.01,0.04,,0.05,,<0.03,<0.01,0.01,,0.03,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
1111019,Russell River at East Russell,22/3/2014 18:39,0.03,<0.01,0.08,,0.11,,0.04,<0.01,0.04,,0.03,<0.01,0.01,<0.01,0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.02
