Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
126001A,Sandy Creek at Homebush,29/9/2011 8:50,,<0.01,0.02,,0.02,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,1/11/2011 9:10,,0.01,0.34,,0.16,,,,0.06,,,,,0.05,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,2/12/2011 11:30,,<0.01,0.08,,0.03,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,7/12/2011 9:30,,0.46,4.5,,5.7,,,,0.84,,,,,0.06,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,3/1/2012 9:15,,0.51,6.2,,3.1,,,,1.1,,,,,0.53,,,,<0.01,0.02,<0.01,,
126001A,Sandy Creek at Homebush,16/1/2012 9:30,,0.13,1.4,,1,,,,0.38,,,,,0.19,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,17/1/2012 9:00,,0.06,1.3,,0.89,,,,0.25,,,,,0.07,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,30/1/2012 10:00,,0.02,0.56,,0.39,,,,0.16,,,,,0.04,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,31/1/2012 9:30,,0.03,0.52,,0.48,,,,0.16,,,,,0.04,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,2/2/2012 8:15,,0.04,0.23,,0.49,,,,0.14,,,,,0.02,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,2/2/2012 14:00,,0.03,0.17,,0.31,,,,0.13,,,,,0.03,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,3/2/2012 9:45,,0.02,0.15,,0.31,,,,0.11,,,,,0.03,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,3/2/2012 15:20,,0.02,0.2,,0.28,,,,0.09,,,,,0.03,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,6/2/2012 8:30,,0.02,0.34,,0.43,,,,0.14,,,,,0.02,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,24/2/2012 11:50,,0.042,0.58,,0.5,,,,0.14,,0.041,,,0.049,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,27/2/2012 10:40,,<0.01,0.17,,0.27,,,,0.075,,0.031,,,0.016,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,28/2/2012 9:40,,0.01,0.19,,0.29,,,,0.077,,0.032,,,0.014,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,2/3/2012 9:30,,0.02,0.17,,0.34,,,,0.098,,0.04,,,0.014,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,16/3/2012 8:40,,<0.01,0.12,,0.19,,,,0.073,,0.078,,,0.016,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,19/3/2012 8:15,,<0.01,0.047,,0.056,,,,0.016,,0.071,,,0.017,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,20/3/2012 10:00,,<0.01,<0.01,,<0.01,,,,<0.01,,0.27,,,0.048,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,21/3/2012 9:30,,<0.01,0.028,,0.052,,,,<0.01,,0.028,,,<0.01,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,22/3/2012 8:30,,<0.01,0.051,,0.081,,,,0.019,,0.027,,,<0.01,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,23/3/2012 8:45,,<0.01,0.064,,0.06,,,,0.018,,0.018,,,<0.01,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,8/5/2012 9:15,,<0.01,0.012,,0.058,,,,0.058,,<0.01,,,<0.01,,,,<0.01,<0.01,<0.01,,
126001A,Sandy Creek at Homebush,5/6/2012 8:45,,<0.01,0.2,,0.24,,,,0.036,,0.028,,,0.088,,,,<0.01,<0.01,0.015,,
126001A,Sandy Creek at Homebush,11/7/2012 13:30,0.15,0.012,0.03,,0.051,,<0.03,<0.01,0.026,,<0.01,0.24,0.02,<0.01,,,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,13/7/2012 9:30,0.47,<0.01,0.36,,0.34,,<0.03,<0.01,0.094,,0.03,0.41,0.05,0.043,,,,<0.01,<0.01,<0.01,<0.01,0.02
126001A,Sandy Creek at Homebush,16/7/2012 9:20,0.04,<0.01,0.14,,0.24,,<0.03,<0.01,0.074,,0.021,0.17,0.04,0.022,,,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,18/7/2012 7:45,0.02,<0.01,0.13,,0.15,,<0.03,<0.01,0.051,,0.018,0.1,0.02,0.012,,,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,3/8/2012 9:45,<0.01,<0.01,0.045,,0.036,,<0.03,<0.01,0.017,,<0.01,0.03,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,31/8/2012 9:25,<0.01,<0.01,0.02,,0.03,,<0.03,<0.01,0.02,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,10/10/2012 9:05,<0.01,<0.01,0.02,,0.02,,<0.03,<0.01,0.01,,<0.01,0.05,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,6/11/2012 10:00,<0.01,<0.01,0.02,,0.02,,<0.03,<0.01,0.01,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,10/12/2012 8:45,<0.01,0.01,0.03,,0.07,,<0.03,<0.01,0.03,,<0.01,0.01,0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,7/1/2013 9:10,0.28,0.18,2.31,,3.02,,<0.03,<0.01,0.75,,0.21,0.2,0.12,0.26,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,25/1/2013 11:25,0.53,0.19,4.41,,5.56,,<0.03,<0.01,0.94,,0.12,0.18,0.19,0.29,,<0.01,,<0.01,<0.01,<0.01,<0.01,0.01
126001A,Sandy Creek at Homebush,5/2/2013 9:00,0.08,0.03,2.11,,2.44,,<0.03,<0.01,0.21,,0.04,0.08,0.05,0.05,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,18/2/2013 8:20,0.21,0.1,1.1,,1.11,,,<0.01,0.32,,0.16,0.09,0.06,0.12,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,19/2/2013 8:10,0.21,0.08,1.31,,1.21,,,<0.01,0.3,,0.08,0.05,0.04,0.33,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,21/2/2013 12:30,0.15,0.09,1.31,,1.3,,,<0.01,0.29,,0.08,0.05,0.03,0.26,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,27/2/2013 10:00,0.55,0.05,0.36,,0.51,,,<0.01,0.17,,0.1,0.05,0.05,0.07,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,1/3/2013 10:00,0.14,0.02,0.31,,0.38,,,<0.01,0.09,,0.05,0.03,0.04,0.06,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,4/3/2013 10:15,0.07,<0.01,0.09,,0.2,,,<0.01,0.03,,0.06,<0.01,0.01,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,5/3/2013 8:00,0.08,<0.01,0.13,,0.22,,,<0.01,0.03,,0.04,0.01,0.02,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,6/3/2013 10:10,0.06,0.01,0.13,,0.21,,,<0.01,0.04,,0.04,<0.01,0.02,0.04,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,8/3/2013 9:45,0.04,<0.01,0.15,,0.18,,,<0.01,0.05,,0.03,<0.01,0.01,0.03,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,27/3/2013 9:15,0.06,0.02,0.07,,0.09,,,<0.01,0.05,,0.04,0.01,0.01,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,12/4/2013 8:10,0.14,<0.01,0.1,,0.15,,,<0.01,0.05,,0.04,<0.01,0.04,0.03,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,15/4/2013 9:25,0.04,<0.01,0.1,,0.12,,,<0.01,0.05,,0.03,<0.01,0.01,0.02,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,7/5/2013 8:00,<0.01,<0.01,0.02,,0.05,,,<0.01,0.03,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,3/6/2013 10:15,<0.01,<0.01,0.04,,0.07,,,<0.01,0.05,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,10/7/2013 9:30,<0.01,<0.01,0.12,,0.03,,,<0.01,0.05,,<0.01,<0.01,<0.01,<0.01,,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,8/8/2013 17:00,<0.01,<0.01,0.01,,0.03,,,<0.01,0.03,,<0.01,<0.01,<0.01,0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,16/9/2013 9:30,<0.01,<0.01,0.02,,0.02,,<0.03,<0.01,0.01,,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,17/11/2013 1:08,<0.01,<0.01,0.05,,0.03,,<0.03,<0.01,0.01,,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
126001A,Sandy Creek at Homebush,18/11/2013 4:18,0.39,0.03,0.39,,0.4,,<0.03,<0.01,0.2,,0.93,0.31,0.04,1.1,0.14,<0.01,,<0.01,<0.01,<0.01,<0.01,<0.01
