Site.Code,Site.Name,Date.Time,X2.4.D,Ametryn,Atrazine,Chlorpyrifos,Diuron,Fipronil,Fluroxypyr,Haloxyfop..acid.,Hexazinone,Imazapic,Imidacloprid,Isoxaflutole.metabolite..DKN.,MCPA..Monochlorophenoxyacetic.acid.,Metolachlor,Metribuzin,Metsulfuron.methyl,Pendimethalin,Prometryn,Simazine,Tebuthiuron,Terbuthylazine,Triclopyr
113006A,Tully River at Euramo,19/10/2011 15:50,,<0.01,0.02,,0.04,,,,0.01,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,20/10/2011 9:03,,<0.01,0.03,,0.06,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,20/10/2011 17:05,,<0.01,0.02,,0.07,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,24/10/2011 18:26,,<0.01,0.02,,0.05,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,25/10/2011 16:50,,<0.01,0.01,,,,,,,,,,,,<0.1,,<0.1,<0.01,<0.01,,<0.1,
113006A,Tully River at Euramo,29/10/2011 15:02,,,,,<0.01,,,,,,,,,,<0.1,,<0.1,<0.01,,<0.01,<0.1,
113006A,Tully River at Euramo,25/11/2011 16:50,,0.08,0.43,,1.2,,,,0.27,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,27/11/2011 17:14,,<0.01,0.17,,0.01,,,,<0.01,,,,,0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,29/11/2011 10:06,,<0.01,0.02,,0.13,,,,0.06,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,30/11/2011 18:06,,0.01,0.05,,0.18,,,,0.06,,,,,<0.01,,,,<0.01,0.03,<0.01,,
113006A,Tully River at Euramo,1/12/2011 16:42,,<0.01,0.03,,0.12,,,,0.06,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,2/12/2011 17:12,,<0.01,0.01,,0.06,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,19/1/2012 13:52,,<0.01,0.083,,0.15,,,,0.082,,0.059,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,24/1/2012 17:46,,<0.01,<0.01,,0.02,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,27/1/2012 15:03,,<0.01,<0.01,,0.02,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,2/2/2012 13:41,,<0.01,0.07,,0.15,,,,0.06,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,3/2/2012 17:22,,<0.01,0.03,,0.08,,,,0.05,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,4/2/2012 11:21,,<0.01,0.04,,0.1,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,4/2/2012 17:58,,<0.01,0.03,,0.09,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,5/2/2012 17:12,,<0.01,0.02,,0.09,,,,0.04,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,6/2/2012 14:02,,<0.01,0.02,,0.05,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,7/2/2012 9:46,,<0.01,0.01,,0.04,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,8/2/2012 12:46,,<0.01,<0.01,,0.03,,,,0.03,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,10/2/2012 18:25,,<0.01,<0.01,,0.01,,,,0.02,,,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,14/2/2012 10:18,,<0.01,<0.01,,<0.01,,,,0.018,,0.064,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,17/2/2012 10:04,,<0.01,0.063,,0.15,,,,0.077,,0.084,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,18/2/2012 17:36,,<0.01,0.011,,0.028,,,,0.035,,0.065,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,27/2/2012 14:23,,<0.01,0.26,,0.2,,,,0.11,,0.091,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,28/2/2012 15:54,,<0.01,0.065,,0.1,,,,0.059,,0.12,,,<0.01,,,,<0.01,<0.01,<0.01,,
113006A,Tully River at Euramo,29/2/2012 17:14,,<0.01,0.045,,0.076,,,,0.045,,0.11,,,<0.01,,,,<0.01,<0.01,<0.01,,
