"STATION","SITENAME","Sampling.Year","DATE.TIME.SAMPLED","Chlorpyrifos","Fipronil","Imidacloprid","Haloxyfop","Imazapic","Metsulfuron","Pendimethalin","Metolachlor","'2,4-D'","MCPA","Fluroxypyr","Triclopyr","Isoxaflutole","Ametryn","Atrazine","Prometryn","Terbuthylazine","Tebuthiuron","Simazine","Diuron","Hexazinone","Metribuzin"
"119101A","Barratta Creek at Northcote","2011-2012",2011-08-01 09:50:00,"0.00000000001","0.00000000001","","","","","0.00000000001","0.00000000001","","","","","","0.00000000001","7","0.00000000001","0.00000000001","0.00000000001","0.02","0.73","0.00000000001","0.00000000001"
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-05 13:27:00,"","","","","","","","0.79","","","","","","0.06","9.1","0.00000000001","","0.00000000001","0.00051769031","3.7","0.00000000001",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-10 10:55:00,"9.459e-08","4.776e-07","","","","","1.1788e-05","0.1","","","","","","0.06","3.2","0.00000000001","0.0001336659","0.00000000001","0.00051769031","1.2","0.00000000001","0.0005731504"
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-18 10:00:00,"","","","","","","","1.73108e-07","","","","","","0.03","3.1","0.00000000001","","0.00000000001","0.00051769031","2.6","0.00000000001",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-11-08 17:20:00,"","","","","","","","0.01","","","","","","0.11","5.2","0.00000000001","","0.00000000001","0.00051769031","6.8","0.00000000001",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-05 15:30:00,"","","","","","","","","","","","","","","","","","","","","",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-19 15:15:00,"","","","","","","","1.73108e-07","","","","","","0.05","3.2","2.26446e-06","","0.00012641533","0.01","1.3","0.02",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 09:35:00,"","","","","","","","1.73108e-07","","","","","","0.03","11","2.26446e-06","","0.00012641533","0.05","1.9","0.02",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 12:35:00,"","","","","","","","0.01","","","","","","0.03","10","2.26446e-06","","0.00012641533","0.04","2.9","0.03",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 16:15:00,"","","","","","","","1.73108e-07","","","","","","0.02","8.2","2.26446e-06","","0.00012641533","0.03","3.1","0.1",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 09:25:00,"","","","","","","","1.73108e-07","","","","","","0.02","7.3","2.26446e-06","","0.00012641533","0.02","2.8","0.13",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 12:45:00,"","","","","","","","1.73108e-07","","","","","","0.02","5.1","2.26446e-06","","0.00012641533","0.02","2","0.12",""
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-31 09:40:00,"","","","","","","","1.73108e-07","","","","","","0.02","5.3","2.26446e-06","","0.00012641533","0.01","1.8","0.09",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-03 12:25:00,"","","","","","","","1.73108e-07","","","","","","0.04","2.3","2.26446e-06","","0.00012641533","0.00051769031","1.1","0.05",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-04 12:45:00,"","","","","","","","1.73108e-07","","","","","","0.04","1.6","2.26446e-06","","0.00012641533","0.00051769031","0.87","0.03",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-05 11:10:00,"","","","","","","","1.73108e-07","","","","","","0.03","1.1","2.26446e-06","","0.00012641533","0.00051769031","0.74","0.02",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-12 12:27:00,"","","","","","","","1.73108e-07","","","","","","0.03","9.98","2.26446e-06","","0.00012641533","0.02","0.6","0.01",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 10:45:00,"","","","","","","","1.73108e-07","","","","","","2.13405e-06","1.2","2.26446e-06","","0.00012641533","0.00051769031","0.5","4.380853e-05",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 14:00:00,"","","","","","","","0.02","","","","","","0.01","0.75","2.26446e-06","","0.00012641533","0.00051769031","0.6","4.380853e-05",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 17:10:00,"","","","","","","","0.01","","","","","","0.01","1.3","2.26446e-06","","0.00012641533","0.00051769031","0.63","4.380853e-05",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 09:15:00,"","","","","","","","1.73108e-07","","","","","","0.01","2.5","2.26446e-06","","0.00012641533","0.00051769031","1.1","0.12",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 14:10:00,"","","","","","","","1.73108e-07","","","","","","0.01","2.5","2.26446e-06","","0.00012641533","0.00051769031","0.83","0.11",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-18 09:50:00,"","","","","","","","1.73108e-07","","","","","","0.02","2.8","2.26446e-06","","0.00012641533","0.00051769031","1.4","0.21",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-19 10:50:00,"","","","","","","","1.73108e-07","","","","","","0.03","1.8","2.26446e-06","","0.00012641533","0.00051769031","0.92","0.16",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-20 10:40:00,"","","","","","","","1.73108e-07","","","","","","0.01","1.8","2.26446e-06","","0.00012641533","0.00051769031","0.62","0.04",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-23 10:40:00,"","","","","","","","1.73108e-07","","","","","","0.01","0.81","2.26446e-06","","0.00012641533","0.00051769031","0.36","0.03",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-25 11:30:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","0.034","1","2.26446e-06","","0.00012641533","0.00051769031","0.39","0.024",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-27 09:50:00,"","","","","","","","1.73108e-07","","","","","","0.03","0.71","2.26446e-06","","0.00012641533","0.00051769031","0.34","0.02",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-30 15:35:00,"","","","","","","","1.73108e-07","","","","","","0.03","0.48","2.26446e-06","","0.00012641533","0.00051769031","0.27","4.380853e-05",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-31 13:40:00,"","","","","","","","1.73108e-07","","","","","","0.01","0.55","2.26446e-06","","0.00012641533","0.00051769031","0.28","0.04",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-01 09:45:00,"","","0.043","","","","","1.73108e-07","","","","","","0.013","1.2","2.26446e-06","","0.00012641533","0.00051769031","0.33","0.024",""
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-02 11:08:00,"","","0.032","","","","","1.73108e-07","","","","","","0.011","0.84","2.26446e-06","","0.00012641533","0.00051769031","0.28","0.025",""
