"STATION","SITENAME","Sampling.Year","DATE.TIME.SAMPLED","Chlorpyrifos","Fipronil","Imidacloprid","Haloxyfop","Imazapic","Metsulfuron","Pendimethalin","Metolachlor","'2,4-D'","MCPA","Fluroxypyr","Triclopyr","Isoxaflutole","Ametryn","Atrazine","Prometryn","Terbuthylazine","Tebuthiuron","Simazine","Diuron","Hexazinone","Metribuzin"
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-10-05 08:50:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.1","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-19 14:25:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.06","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-30 10:50:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.14","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-05 12:00:00,"","","","","","","","0.05","","","","","","0.00000000001","0.35","0.00000000001","","0.00000000001","0.00000000001","0.03","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-16 16:05:00,"","","","","","","","1.73108e-07","","","","","","0.00000000001","0.04","0.00000000001","","0.00000000001","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 10:05:00,"","","","","","","","1.73108e-07","","","","","","0.00000000001","0.52","0.00000000001","","0.00000000001","0.00000000001","0.05","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 15:15:00,"","","","","","","","0.01","","","","","","0.00000000001","0.29","0.00000000001","","0.00000000001","0.00000000001","0.04","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-18 10:45:00,"","","","","","","","0.01","","","","","","0.02","0.32","0.00000000001","","0.00000000001","0.00000000001","0.02","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-19 11:35:00,"","","","","","","","0.01","","","","","","2.13405e-06","0.14","0.00000000001","","0.00000000001","0.00000000001","0.02","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-20 09:55:00,"","","","","","","","1.73108e-07","","","","","","2.13405e-06","0.03","0.00000000001","","0.00000000001","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-24 13:00:00,"","","","","","","","1.73108e-07","","","","","","2.13405e-06","0.01","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-27 10:40:00,"","","","","","","","1.73108e-07","","","","","","2.13405e-06","0.01","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-31 14:15:00,"","","","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-03 10:25:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","0.12","0.00000000001","","0.00000000001","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-06 12:50:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.014","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-07 11:45:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.00012641533","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-08 11:35:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.00012641533","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-09 15:40:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.00012641533","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-13 11:40:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.013","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-15 13:35:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.013","0.00000000001","1.97592e-06","0.00000000001",""
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-17 14:00:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.015","0.00000000001","1.97592e-06","0.00000000001",""
