"STATION","SITENAME","Sampling.Year","DATE.TIME.SAMPLED","Chlorpyrifos","Fipronil","Imidacloprid","Haloxyfop","Imazapic","Metsulfuron","Pendimethalin","Metolachlor","'2,4-D'","MCPA","Fluroxypyr","Triclopyr","Isoxaflutole","Ametryn","Atrazine","Prometryn","Terbuthylazine","Tebuthiuron","Simazine","Diuron","Hexazinone","Metribuzin"
"130504B","Comet River at Comet Weir","2011-2012",2011-11-22 09:00:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.06","0.00000000001","","0.03","0.00000000001","0.01","0.00000000001",""
"130504B","Comet River at Comet Weir","2011-2012",2011-12-05 16:00:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","7.68738e-06","0.00000000001","","0.00012641533","0.00000000001","0.01","0.02",""
"130504B","Comet River at Comet Weir","2011-2012",2011-12-12 09:30:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","7.68738e-06","0.00000000001","","0.05","0.00000000001","1.97592e-06","0.02",""
"130504B","Comet River at Comet Weir","2011-2012",2011-12-13 09:30:00,"","","","","","","","0.02","","","","","","0.00000000001","0.02","0.00000000001","","0.00012641533","0.06","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2011-12-15 09:30:00,"","","","","","","","0.06","","","","","","0.00000000001","0.11","0.00000000001","","0.05","0.04","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2011-12-16 11:00:00,"","","","","","","","0.03","","","","","","0.00000000001","0.47","0.00000000001","","0.03","0.02","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2012-02-01 15:00:00,"","","1.36913e-06","","","","","0.55","","","","","","0.00000000001","0.38","0.00000000001","","0.056","0.017","0.011","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2012-02-06 12:00:00,"","","1.36913e-06","","","","","0.052","","","","","","0.00000000001","0.035","0.00000000001","","0.32","0.00051769031","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2012-02-14 09:30:00,"","","1.36913e-06","","","","","0.063","","","","","","0.00000000001","0.44","0.00000000001","","0.15","0.00051769031","1.97592e-06","0.02",""
"130504B","Comet River at Comet Weir","2011-2012",2012-02-24 16:15:00,"","","1.36913e-06","","","","","0.024","","","","","","0.00000000001","0.11","0.00000000001","","0.055","0.00051769031","1.97592e-06","0.017",""
"130504B","Comet River at Comet Weir","2011-2012",2012-02-28 09:45:00,"","","1.36913e-06","","","","","0.18","","","","","","0.00000000001","2.4","0.00000000001","","0.017","0.017","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2012-03-23 09:55:00,"","","1.36913e-06","","","","","0.083","","","","","","0.00000000001","0.13","0.00000000001","","0.014","0.012","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2012-03-26 13:15:00,"","","1.36913e-06","","","","","0.091","","","","","","0.00000000001","0.023","0.00000000001","","0.021","0.043","1.97592e-06","4.380853e-05",""
"130504B","Comet River at Comet Weir","2011-2012",2012-03-29 10:00:00,"","","1.36913e-06","","","","","0.028","","","","","","0.00000000001","0.019","0.00000000001","","0.011","0.011","1.97592e-06","0.013",""
"130504B","Comet River at Comet Weir","2012-2013",2013-01-29 09:30:00,"","","0.00000000001","0.00000000001","","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"130504B","Comet River at Comet Weir","2012-2013",2013-01-30 08:45:00,"","","0.00000000001","0.00000000001","","0.00000000001","","0.11","0.02","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.56","0.00000000001","0.00000000001","0.00000000001","0.01","0.00000000001","0.00000000001",""
"130504B","Comet River at Comet Weir","2012-2013",2013-01-31 08:45:00,"","","0.00000000001","0.01","","0.00000000001","","0.69","0.02","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.91","0.00000000001","0.00000000001","0.06","0.02","0.00000000001","0.00000000001",""
