"STATION","SITENAME","Sampling.Year","DATE.TIME.SAMPLED","Chlorpyrifos","Fipronil","Imidacloprid","Haloxyfop","Imazapic","Metsulfuron","Pendimethalin","Metolachlor","'2,4-D'","MCPA","Fluroxypyr","Triclopyr","Isoxaflutole","Ametryn","Atrazine","Prometryn","Terbuthylazine","Tebuthiuron","Simazine","Diuron","Hexazinone","Metribuzin"
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-09 14:00:00,"0.00000000001","0.00000000001","","","","","0.00000000001","0.00000000001","","","","","","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.00000000001"
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-15 09:00:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.00000000001","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-23 09:30:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.04","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 09:45:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.01","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 13:45:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","7.68738e-06","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-12 09:00:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","7.68738e-06","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-20 09:10:00,"9.459e-08","4.776e-07","","","","","1.1788e-05","0.00000000001","","","","","","0.00000000001","7.68738e-06","0.00000000001","0.0001336659","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.0005731504"
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-01 09:50:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.05","0.00000000001","","0.00000000001","0.00000000001","0.00000000001","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-10 09:10:00,"","","","","","","","0.01","","","","","","0.00000000001","0.2","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-18 09:15:00,"","","","","","","","0.01","","","","","","0.00000000001","0.2","0.00000000001","","0.00000000001","0.00000000001","0.02","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-23 10:10:00,"","","","","","","","0.01","","","","","","0.00000000001","0.15","0.00000000001","","0.00000000001","0.00000000001","0.01","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-02 10:45:00,"","","","","","","","1.73108e-07","","","","","","0.00000000001","0.15","0.00000000001","","0.00000000001","0.00000000001","0.02","0.00000000001",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-14 09:45:00,"","","","","","","","1.73108e-07","","","","","","0.01","0.51","0.00000000001","","0.00000000001","0.00000000001","0.5","0.1",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-19 09:15:00,"","","","","","","","0.03","","","","","","0.09","0.76","0.00000000001","","0.00000000001","0.00000000001","0.56","0.16",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-28 19:30:00,"","","","","","","","0.06","","","","","","0.14","1.2","0.00000000001","","0.00000000001","0.00000000001","0.71","0.17",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 01:30:00,"","","","","","","","0.03","","","","","","0.08","1.2","0.00000000001","","0.00000000001","0.00000000001","0.76","0.14",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 07:30:00,"","","","","","","","0.02","","","","","","0.07","2.8","0.00000000001","","0.00000000001","0.00000000001","2.7","0.27",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 13:30:00,"","","","","","","","0.02","","","","","","0.05","1.6","0.00000000001","","0.00000000001","0.00000000001","1.9","0.17",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 19:30:00,"","","","","","","","0.01","","","","","","0.11","1.4","0.00000000001","","0.00000000001","0.00000000001","1.5","0.23",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-03 08:16:00,"","","","","","","","0.03","","","","","","0.24","1.9","0.00000000001","","0.00000000001","0.00000000001","2.1","0.52",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-04 10:30:00,"","","","","","","","0.03","","","","","","0.26","2.5","0.00000000001","","0.00000000001","0.00000000001","2.7","0.48",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-05 10:59:00,"","","","","","","","0.03","","","","","","0.21","2.2","0.00000000001","","0.00000000001","0.00000000001","2.4","0.44",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-06 11:29:00,"","","","","","","","0.03","","","","","","0.17","2","0.00000000001","","0.00000000001","0.00000000001","2.2","0.4",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-07 11:59:00,"","","","","","","","0.05","","","","","","0.14","2","0.00000000001","","0.00000000001","0.00000000001","2.1","0.45",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-08 11:29:00,"","","","","","","","0.05","","","","","","0.14","1.9","0.00000000001","","0.00000000001","0.00000000001","2","0.44",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-09 07:29:00,"","","","","","","","0.05","","","","","","0.13","1.9","0.00000000001","","0.00000000001","0.00000000001","2","0.47",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-10 07:00:00,"","","","","","","","0.05","","","","","","0.11","1.1","0.00000000001","","0.00000000001","0.00000000001","1.3","0.42",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-11 06:30:00,"","","","","","","","0.06","","","","","","0.12","1.3","0.00000000001","","0.00000000001","0.00000000001","1.4","0.45",""
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-12 06:30:00,"","","","","","","","0.04","","","","","","0.11","1","0.00000000001","","0.00000000001","0.00000000001","1.1","0.37",""
