"STATION","SITENAME","Sampling.Year","DATE.TIME.SAMPLED","Chlorpyrifos","Fipronil","Imidacloprid","Haloxyfop","Imazapic","Metsulfuron","Pendimethalin","Metolachlor","'2,4-D'","MCPA","Fluroxypyr","Triclopyr","Isoxaflutole","Ametryn","Atrazine","Prometryn","Terbuthylazine","Tebuthiuron","Simazine","Diuron","Hexazinone","Metribuzin"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-16 15:10:00,"0.00000000001","0.00000000001","0.0015","0.00000000001","0.014","0.0001","0.00000000001","0.0012","0.0007","0.00000000001","0.00000000001","0.00000000001","0.0099","0.0011","0.022","0.00000000001","0.00000000001","0.0001","0.0002","0.0047","0.041","0.0018"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-23 12:20:00,"0.00000000001","0.00000000001","0.029","0.001","0.069","1.01446e-09","0.00000000001","0.0089","0.011","0.0033","0.00000000001","0.0003","0.022","0.0034","0.34","0.00000000001","0.00000000001","0.0001","0.0017","0.12","0.44","0.015"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-30 13:10:00,"0.00000000001","0.00000000001","0.0057","1e-04","0.02","1.01446e-09","0.00000000001","0.0034","0.0018","0.0005","0.00000000001","1.05358e-07","0.019","0.0018","0.076","0.00000000001","0.00000000001","0.0001","0.0004","0.013","0.1","5.731504e-07"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 08:18:00,"0.00000000001","0.00000000001","2","0.031","0.82","0.0029","0.00000000001","0.21","0.9","0.46","0.00000000001","0.012","0.26","0.0067","3.5","0.00000000001","0.00000000001","1.2641533e-06","0.026","4","6.6","0.063"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 14:02:00,"0.00000000001","0.00000000001","2.1","0.02","0.7","2.02892e-07","0.00000000001","0.31","0.42","0.27","0.00000000001","2.63395e-05","0.22","2.13405e-06","2.6","0.00000000001","0.00000000001","6.3207665e-05","0.02","3","5.1","0.05"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 02:32:00,"0.00000000001","0.00000000001","1.8","0.02","0.55","2.02892e-07","0.00000000001","0.22","0.22","0.18","0.00000000001","2.63395e-05","0.1","0.02","1.3","0.00000000001","0.00000000001","6.3207665e-05","0.00051769031","2.2","4.1","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 15:02:00,"0.00000000001","0.00000000001","1.3","0.02","0.32","2.02892e-07","0.00000000001","0.24","0.19","0.11","0.00000000001","2.63395e-05","0.1","2.13405e-06","1.2","0.00000000001","0.00000000001","0.00025283066","0.00051769031","1.6","2.6","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 03:32:00,"0.00000000001","0.00000000001","1","0.02","0.19","2.02892e-07","0.00000000001","0.19","0.14","0.06","0.00000000001","2.63395e-05","0.05","2.13405e-06","1.1","0.00000000001","0.00000000001","6.3207665e-05","0.00051769031","1.5","1.5","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 16:02:00,"0.00000000001","0.00000000001","0.98","0.02","0.22","2.02892e-07","0.00000000001","0.17","0.11","0.06","0.00000000001","2.63395e-05","0.04","2.13405e-06","1.2","0.00000000001","0.00000000001","6.3207665e-05","0.00051769031","1.5","1.3","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-09 10:12:00,"0.00000000001","0.0007","0.95","0.0039","0.32","1.01446e-08","0.00000000001","0.16","0.098","0.042","0.00000000001","0.0021","0.041","0.0037","1.1","0.00000000001","0.00000000001","0.0014","0.005","1.5","1.7","0.0032"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-13 15:41:00,"0.00000000001","0.0012","0.69","0.0085","0.32","6.08676e-09","0.00000000001","0.1","0.077","0.019","0.012","0.003","0.041","0.0032","0.85","0.00000000001","0.00000000001","0.036","0.0025","0.8","1.2","0.0062"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-21 09:45:00,"0.00000000001","9.552e-08","0.48","0.02","0.19","2.02892e-07","0.00000000001","0.05","0.04","0.02","0.05","2.63395e-05","0.03","2.13405e-06","0.25","0.00000000001","0.00000000001","0.00012641533","0.00051769031","0.42","0.51","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-27 14:15:00,"0.00000000001","9.552e-08","0.26","0.02","0.17","2.02892e-07","0.00000000001","0.03","0.05","0.01","0.0137253937","2.63395e-05","0.02","2.13405e-06","0.21","0.00000000001","0.00000000001","0.01","0.00051769031","0.39","0.43","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:02:00,"0.00000000001","9.552e-08","0.52","0.04","0.35","0.04","0.00000000001","0.06","0.63","0.12","0.29","2.63395e-05","1.264696e-05","0.02","1.3","0.00000000001","0.00000000001","0.01","0.00051769031","0.52","0.71","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:25:00,"0.00000000001","9.552e-08","0.48","0.03","0.36","0.03","0.00000000001","0.12","0.55","0.12","0.26","2.63395e-05","1.264696e-05","0.02","1.6","0.00000000001","0.00000000001","0.01","0.00051769031","0.66","0.75","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 12:45:00,"0.00000000001","9.552e-08","0.96","0.02","0.3","0.05","0.00000000001","0.32","2.6","0.96","0.46","2.63395e-05","1.264696e-05","0.02","0.92","0.00000000001","0.00000000001","0.16","0.01","1.3","0.74","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 16:35:00,"0.00000000001","9.552e-08","1.1","0.03","0.36","0.05","0.00000000001","0.3","2.4","0.99","0.45","2.63395e-05","1.264696e-05","0.02","0.94","0.00000000001","0.00000000001","0.18","0.00051769031","1.3","0.86","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 00:45:00,"0.00000000001","9.552e-08","0.92","0.02","0.35","0.04","0.00000000001","0.15","2.3","0.96","0.57","2.63395e-05","1.264696e-05","0.01","0.92","0.00000000001","0.00000000001","0.19","0.00051769031","0.91","0.81","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 06:25:00,"0.00000000001","9.552e-08","0.99","0.02","0.42","0.04","0.00000000001","0.2","1.9","0.57","0.6","2.63395e-05","1.264696e-05","2.13405e-06","1.3","0.00000000001","0.00000000001","0.06","0.00051769031","1.3","1.2","0.00011463008"
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 12:15:00,"0.00000000001","9.552e-08","1","0.02","0.43","0.04","0.00000000001","0.23","1.6","0.7","0.66","2.63395e-05","1.264696e-05","0.01","1.1","0.00000000001","0.00000000001","0.07","0.00051769031","1.4","1","0.00011463008"
