"STATION","SITENAME","Sampling.Year","DATE.TIME.SAMPLED","Chlorpyrifos","Fipronil","Imidacloprid","Haloxyfop","Imazapic","Metsulfuron","Pendimethalin","Metolachlor","'2,4-D'","MCPA","Fluroxypyr","Triclopyr","Isoxaflutole","Ametryn","Atrazine","Prometryn","Terbuthylazine","Tebuthiuron","Simazine","Diuron","Hexazinone","Metribuzin"
"126001A","Sandy Creek at Homebush","2011-2012",2011-09-29 08:50:00,"","","","","","","","0.00000000001","","","","","","0.00000000001","0.02","0.00000000001","","0.00000000001","0.00000000001","0.02","0.03",""
"126001A","Sandy Creek at Homebush","2011-2012",2011-11-01 09:10:00,"","","","","","","","0.05","","","","","","0.01","0.34","0.00000000001","","0.00000000001","0.00000000001","0.16","0.06",""
"126001A","Sandy Creek at Homebush","2011-2012",2011-12-02 11:30:00,"","","","","","","","1.73108e-07","","","","","","2.13405e-06","0.08","0.00000000001","","0.00000000001","0.00000000001","0.03","0.02",""
"126001A","Sandy Creek at Homebush","2011-2012",2011-12-07 09:30:00,"","","","","","","","0.06","","","","","","0.46","4.5","0.00000000001","","0.00000000001","0.00000000001","5.7","0.84",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-03 09:15:00,"","","","","","","","0.53","","","","","","0.51","6.2","0.00000000001","","0.00000000001","0.02","3.1","1.1",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-16 09:30:00,"","","","","","","","0.19","","","","","","0.13","1.4","0.00000000001","","0.00000000001","0.00051769031","1","0.38",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-17 09:00:00,"","","","","","","","0.07","","","","","","0.06","1.3","0.00000000001","","0.00000000001","0.00051769031","0.89","0.25",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-30 10:00:00,"","","","","","","","0.04","","","","","","0.02","0.56","0.00000000001","","0.00000000001","0.00051769031","0.39","0.16",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-31 09:30:00,"","","","","","","","0.04","","","","","","0.03","0.52","0.00000000001","","0.00000000001","0.00051769031","0.48","0.16",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-02 08:15:00,"","","","","","","","0.02","","","","","","0.04","0.23","0.00000000001","","0.00000000001","0.00051769031","0.49","0.14",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-02 14:00:00,"","","","","","","","0.03","","","","","","0.03","0.17","0.00000000001","","0.00000000001","0.00051769031","0.31","0.13",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-03 09:45:00,"","","","","","","","0.03","","","","","","0.02","0.15","0.00000000001","","0.00000000001","0.00051769031","0.31","0.11",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-03 15:20:00,"","","","","","","","0.03","","","","","","0.02","0.2","0.00000000001","","0.00000000001","0.00051769031","0.28","0.09",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-06 08:30:00,"","","","","","","","0.02","","","","","","0.02","0.34","0.00000000001","","0.00000000001","0.00051769031","0.43","0.14",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-24 11:50:00,"","","0.041","","","","","0.049","","","","","","0.042","0.58","0.00000000001","","0.00000000001","0.00051769031","0.5","0.14",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-27 10:40:00,"","","0.031","","","","","0.016","","","","","","2.13405e-06","0.17","0.00000000001","","0.00000000001","0.00051769031","0.27","0.075",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-28 09:40:00,"","","0.032","","","","","0.014","","","","","","0.01","0.19","0.00000000001","","0.00000000001","0.00051769031","0.29","0.077",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-02 09:30:00,"","","0.04","","","","","0.014","","","","","","0.02","0.17","0.00000000001","","0.00000000001","0.00051769031","0.34","0.098",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-16 08:40:00,"","","0.078","","","","","0.016","","","","","","2.13405e-06","0.12","0.00000000001","","0.00000000001","0.00051769031","0.19","0.073",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-19 08:15:00,"","","0.071","","","","","0.017","","","","","","2.13405e-06","0.047","0.00000000001","","0.00000000001","0.00051769031","0.056","0.016",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-20 10:00:00,"","","0.27","","","","","0.048","","","","","","2.13405e-06","7.68738e-06","0.00000000001","","0.00000000001","0.00051769031","1.97592e-06","4.380853e-05",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-21 09:30:00,"","","0.028","","","","","1.73108e-07","","","","","","2.13405e-06","0.028","0.00000000001","","0.00000000001","0.00051769031","0.052","4.380853e-05",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-22 08:30:00,"","","0.027","","","","","1.73108e-07","","","","","","2.13405e-06","0.051","0.00000000001","","0.00000000001","0.00051769031","0.081","0.019",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-23 08:45:00,"","","0.018","","","","","1.73108e-07","","","","","","2.13405e-06","0.064","0.00000000001","","0.00000000001","0.00051769031","0.06","0.018",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-05-08 09:15:00,"","","1.36913e-06","","","","","1.73108e-07","","","","","","2.13405e-06","0.012","0.00000000001","","0.00000000001","0.00051769031","0.058","0.058",""
"126001A","Sandy Creek at Homebush","2011-2012",2012-06-05 08:45:00,"","","0.028","","","","","0.088","","","","","","2.13405e-06","0.2","0.00000000001","","0.015","0.00051769031","0.24","0.036",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-11 13:30:00,"","","0.00000000001","0.00000000001","","","","0.00000000001","0.15","0.02","0.00000000001","0.00000000001","0.24","0.012","0.03","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.051","0.026",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-13 09:30:00,"","","0.03","0.00000000001","","","","0.043","0.47","0.05","0.00000000001","0.02","0.41","2.13405e-06","0.36","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.34","0.094",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-16 09:20:00,"","","0.021","0.00000000001","","","","0.022","0.04","0.04","0.00000000001","5.2679e-06","0.17","2.13405e-06","0.14","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.24","0.074",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-18 07:45:00,"","","0.018","0.00000000001","","","","0.012","0.02","0.02","0.00000000001","5.2679e-06","0.1","2.13405e-06","0.13","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.15","0.051",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-08-03 09:45:00,"","","1.36913e-06","0.00000000001","","1.01446e-07","","1.73108e-07","8.930644e-05","2.295733e-07","0.00000000001","5.2679e-06","0.03","2.13405e-06","0.045","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.036","0.017",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-08-31 09:25:00,"","","1.36913e-06","0.00000000001","","1.01446e-07","","1.73108e-07","8.930644e-05","2.295733e-07","0.00000000001","5.2679e-06","6.32348e-06","2.13405e-06","0.02","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.03","0.02",""
"126001A","Sandy Creek at Homebush","2012-2013",2012-10-10 09:05:00,"","","1.36913e-06","0.00000000001","","1.01446e-07","","1.73108e-07","8.930644e-05","2.295733e-07","0.00000000001","5.2679e-06","0.05","2.13405e-06","0.02","0.00000000001","0.00000000001","0.00000000001","0.00000000001","0.02","0.01",""
