"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"119101A","Barratta Creek at Northcote","2011-2012",2011-08-01 09:50:00,0.000108672211018845
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-05 13:27:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-10 10:55:00,0.0121595486511139
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-18 10:00:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-11-08 17:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-05 15:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-19 15:15:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 09:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 12:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 16:15:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 09:25:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 12:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-31 09:40:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-03 12:25:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-04 12:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-05 11:10:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-12 12:27:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 10:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 14:00:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 17:10:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 09:15:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 14:10:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-18 09:50:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-19 10:50:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-20 10:40:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-23 10:40:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-25 11:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-27 09:50:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-30 15:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-31 13:40:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-01 09:45:00,0.503572716303613
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-02 11:08:00,0.21617107579055
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-03 09:40:00,0.0422553273278004
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-03 17:30:00,0.0218361415614043
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-04 09:10:00,0.0962315685890114
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-04 13:00:00,0.0509904444496723
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-06 11:55:00,0.0422553273278004
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-08 10:55:00,0.00166830059884493
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-08 15:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-09 08:40:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-09 14:55:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-10 11:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-14 14:40:00,0.0833457498158774
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-15 10:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-15 13:00:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-16 09:35:00,0.00278871761507649
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-17 13:15:00,0.0126435925944413
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-20 15:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-21 15:05:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-22 11:25:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-23 11:10:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-24 14:00:00,0.0168303841820983
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-27 12:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-28 11:40:00,0.00436510640444698
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-29 11:05:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-01 11:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-02 10:05:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-05 11:05:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-06 10:15:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-07 11:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-08 10:00:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-09 10:20:00,0.0277132332139329
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-12 10:00:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-13 09:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-13 10:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-16 09:45:00,0.110181803582676
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-16 14:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-17 10:40:00,0.567404813592709
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-17 17:15:00,0.332708999157805
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-18 10:25:00,1.05310363127817
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-18 16:40:00,0.00166830059884493
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-19 11:00:00,0.00648112659726863
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-19 15:20:00,0.0715180338076604
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-22 16:40:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-23 09:50:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-24 13:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-25 13:55:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-26 10:00:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-28 14:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-30 10:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-30 10:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-05 11:20:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-11 09:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-17 10:15:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-23 09:50:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-26 11:35:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-28 12:05:00,0.503572716303613
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-29 08:30:00,0.0422553273278004
"119101A","Barratta Creek at Northcote","2011-2012",2012-04-30 10:55:00,0.0218361415614043
"119101A","Barratta Creek at Northcote","2011-2012",2012-05-01 11:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-05-22 09:55:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-05-22 10:45:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2012-06-28 11:50:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-10 09:20:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-10 14:45:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-11 09:20:00,0.971269637965855
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-11 14:40:00,0.443076782844054
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-12 10:30:00,0.15842890287181
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-12 14:55:00,0.141282629657935
"119101A","Barratta Creek at Northcote","2012-2013",2012-07-13 09:55:00,0.0715180338076604
"119101A","Barratta Creek at Northcote","2012-2013",2012-10-04 10:35:00,0.283134729202938
"119101A","Barratta Creek at Northcote","2012-2013",2012-11-02 11:45:00,0.176631687379614
"119101A","Barratta Creek at Northcote","2012-2013",2012-11-21 12:34:00,0.0422553273278004
"119101A","Barratta Creek at Northcote","2012-2013",2012-12-20 12:00:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-18 11:00:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-24 15:30:00,0.176631687379614
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-25 07:45:00,0.414128283218707
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-25 16:00:00,0.176631687379614
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-27 08:20:00,0.00166830059884493
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-29 10:45:00,0.0422553273278004
"119101A","Barratta Creek at Northcote","2012-2013",2013-01-31 11:00:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2013-02-09 14:30:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2013-02-15 15:50:00,1e-11
"119101A","Barratta Creek at Northcote","2012-2013",2013-02-19 17:00:00,0.0422553273278004
"119101A","Barratta Creek at Northcote","2012-2013",2013-02-21 09:30:00,0.00166830059884493
