"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"130504B","Comet River at Comet Weir","2011-2012",2011-11-22 09:00:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2011-12-05 16:00:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2011-12-12 09:30:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2011-12-13 09:30:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2011-12-15 09:30:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2011-12-16 11:00:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-02-01 15:00:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-02-06 12:00:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-02-14 09:30:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-02-24 16:15:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-02-28 09:45:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-03-23 09:55:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-03-26 13:15:00,1e-11
"130504B","Comet River at Comet Weir","2011-2012",2012-03-29 10:00:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-01-29 09:30:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-01-30 08:45:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-01-31 08:45:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-02-01 08:45:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-03-05 14:15:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-03-06 11:45:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-03-07 11:40:00,1e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-03-11 11:45:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-01-21 17:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-01-26 10:30:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-01-27 15:40:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-01-29 14:30:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-01-30 11:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-01-31 12:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-02 11:15:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-04 11:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-05 17:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-06 17:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-07 17:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-09 17:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-11 11:00:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-02-13 12:15:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-04-23 11:30:00,1e-11
"130504B","Comet River at Comet Weir","2014-2015",2015-06-18 11:00:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2015-07-24 11:20:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2015-08-29 11:00:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2015-09-29 10:40:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2015-11-10 16:45:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-01-12 11:30:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-02 10:30:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 09:00:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 15:20:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-05 10:40:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-06 13:30:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-07 11:20:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-02-10 09:15:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-03-14 17:30:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-03-22 09:00:00,1e-11
"130504B","Comet River at Comet Weir","2015-2016",2016-03-23 10:00:00,1e-11
