"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1160119,"Herbert River at John Row Bridge","2011-2012",2011-07-14 15:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-08-10 08:30:00,0.0121595486511139
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-13 08:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-19 08:50:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-19 16:45:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-20 10:15:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-21 08:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-22 08:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-23 09:15:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-31 09:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-11-24 09:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-11-26 14:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-11-28 17:05:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-25 15:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-26 10:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-27 14:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-28 13:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-29 13:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-30 17:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-31 13:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-01 11:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-02 10:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-04 11:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-04 18:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-05 09:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-06 10:15:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-07 09:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-09 08:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-11 09:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-13 08:30:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-15 08:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-16 08:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-21 08:15:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-22 10:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-24 15:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-25 16:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-26 13:20:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-27 09:15:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-28 09:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-29 17:00:00,1e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2012-03-01 15:00:00,1e-11
