"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-09 14:00:00,0.000108672211018845
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-15 09:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-23 09:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 09:45:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 13:45:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-12 09:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-20 09:10:00,0.0121595486511139
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-01 09:50:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-10 09:10:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-18 09:15:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-23 10:10:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-02 10:45:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-14 09:45:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-19 09:15:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-28 19:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 01:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 13:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 19:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-03 08:16:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-04 10:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-05 10:59:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-06 11:29:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-07 11:59:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-08 11:29:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-09 07:29:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-10 07:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-11 06:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-12 06:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-13 07:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-14 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-15 08:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-15 20:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 02:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 08:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 14:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 00:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 06:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 12:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-18 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-19 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-20 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-21 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-22 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-23 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-24 03:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-25 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-26 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 16:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 22:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-28 04:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-28 22:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 04:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 10:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 16:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 22:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 04:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 10:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 16:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 22:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-31 04:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-31 10:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-01 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-02 13:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-02 19:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 01:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 07:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 13:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 19:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 01:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 07:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 13:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 19:00:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-07 10:40:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-08 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-09 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-10 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-11 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-12 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-13 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-14 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-15 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-16 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-17 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-18 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-19 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-20 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-21 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-22 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-23 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 03:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 07:30:00,1e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 13:30:00,1e-11
