"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-16 15:10:00,0.000108672252840947
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-23 12:20:00,0.158537402914638
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-30 13:10:00,0.000154941559649124
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 08:18:00,46.2801384013293
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 14:02:00,47.1506297253821
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 02:32:00,44.3841197979761
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 15:02:00,38.4280975342926
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 03:32:00,33.5893479392089
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 16:02:00,33.2180233080694
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-09 10:12:00,32.6791213956844
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-13 15:41:00,26.9757244230596
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-21 09:45:00,20.6642921236372
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-27 14:15:00,11.7093826973657
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:02:00,21.987739862914
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:25:00,20.6642921236372
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 12:45:00,32.8394383306533
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 16:35:00,35.3450800136611
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 00:45:00,32.0594690600533
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 06:25:00,33.4045779199613
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 12:15:00,33.5893479392098
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 17:55:00,35.3450800136611
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 03:15:00,30.4004579521074
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 05:45:00,27.8704804634773
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 14:05:00,25.814654922429
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 15:30:00,25.2679476094972
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-03 08:30:00,23.2377717224214
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-10 12:40:00,0.740672374396223
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-17 10:40:00,0.000108672212451033
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-23 14:40:00,0.414236505388788
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-02 15:30:00,0.0423639536204501
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-20 10:20:00,0.00932477496030648
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-20 18:25:00,10.7240527958896
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-23 06:57:00,14.4778326682519
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-23 18:12:00,21.0024239343414
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-24 06:12:00,21.0024239343414
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-24 11:52:00,19.6191458087438
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-27 16:11:00,5.36047846653205
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-28 04:24:00,3.12939509756879
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-28 13:24:00,0.414236505388788
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-29 06:04:00,6.47985962670179
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-30 06:24:00,9.18670011815752
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-31 06:44:00,4.79794966449703
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-31 18:54:00,4.79794966449703
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-02 00:24:00,5.36047846653205
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-03 10:51:00,2.07586312326675
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-05 14:20:00,0.414236505387366
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-10 14:30:00,0.30754786059568
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-13 17:00:00,0.110290356056697
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-28 07:35:00,0.600631386289874
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-18 23:12:00,2.43534266160828
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 05:22:00,1.4474090112876
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 11:32:00,1.92580608190752
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 17:42:00,1.54007042354127
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 23:52:00,1.68204214881703
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-20 06:02:00,1.68204214881703
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-20 12:12:00,2.07586312326535
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-21 04:32:00,1.92580608190752
"122013A","Proserpine River at Glen Isla","2016-2017",2017-06-16 08:40:00,0.00177697099688068
"122013A","Proserpine River at Glen Isla","2017-2018",2017-07-21 10:35:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2017-08-23 13:45:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2017-10-06 15:30:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2017-10-28 16:45:00,3.67895195026653
"122013A","Proserpine River at Glen Isla","2017-2018",2017-11-03 15:32:00,4.79794966449566
"122013A","Proserpine River at Glen Isla","2017-2018",2017-11-27 08:50:00,0.414236505387366
"122013A","Proserpine River at Glen Isla","2017-2018",2017-11-30 18:32:00,39.7934340141064
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-01 00:12:00,36.9509932786573
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-01 07:22:00,42.2423888581596
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-01 13:02:00,28.1138175228063
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-04 09:32:00,24.1310817602448
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-12 13:56:00,14.9129669688811
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-15 12:00:00,21.0024239343402
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-22 15:10:00,4.23643826565041
"122013A","Proserpine River at Glen Isla","2017-2018",2017-12-29 12:17:00,1.58700958793346
"122013A","Proserpine River at Glen Isla","2017-2018",2018-01-05 15:36:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2018-01-12 12:18:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2018-01-19 15:28:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2018-01-24 09:40:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-02 14:22:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-09 11:25:00,0.414236505387366
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-16 15:37:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-24 09:06:00,31.038914231007
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-24 16:36:00,26.0828496919664
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-25 18:13:00,33.4045779199604
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-26 05:43:00,33.5893479392089
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-26 11:53:00,21.9877398629129
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-27 14:53:00,18.895488999022
"122013A","Proserpine River at Glen Isla","2017-2018",2018-02-28 13:53:00,17.7669887480089
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-01 08:33:00,18.1490762895288
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-02 09:13:00,20.3211174619069
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-06 07:55:00,12.1901367048499
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-09 09:20:00,5.92170862933651
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-22 04:03:00,14.4778326682507
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-23 16:25:00,14.0354040713037
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-24 15:53:00,14.9129669688811
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-24 21:33:00,15.34095000842
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-25 05:03:00,16.583469738475
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-25 14:13:00,10.7240527958884
"122013A","Proserpine River at Glen Isla","2017-2018",2018-03-29 16:20:00,13.1281224560515
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-02 16:43:00,15.7619285994819
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-02 21:53:00,16.583469738475
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-03 04:03:00,17.7669887480089
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-03 16:23:00,14.4778326682507
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-04 04:43:00,14.4778326682507
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-04 17:03:00,13.1281224560515
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-05 08:58:00,13.5855438002886
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-09 11:25:00,2.07586312326535
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-18 15:40:00,2.59283753441765
"122013A","Proserpine River at Glen Isla","2017-2018",2018-04-30 14:10:00,0.414236505387366
"122013A","Proserpine River at Glen Isla","2017-2018",2018-05-28 12:15:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-07-02 15:15:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-08-28 16:35:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-09-25 15:30:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-11-02 10:45:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-11-16 12:20:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-11-22 12:55:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-11-30 08:10:00,0.000108672211018845
"122013A","Proserpine River at Glen Isla","2018-2019",2018-12-05 13:35:00,0.000108672211018845
