"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"126001A","Sandy Creek at Homebush","2011-2012",2011-09-29 08:50:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2011-11-01 09:10:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2011-12-02 11:30:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2011-12-07 09:30:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-03 09:15:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-16 09:30:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-17 09:00:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-30 10:00:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-31 09:30:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-02 08:15:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-02 14:00:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-03 09:45:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-03 15:20:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-06 08:30:00,1e-11
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-24 11:50:00,0.443076782844054
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-27 10:40:00,0.195882544195036
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-28 09:40:00,0.21617107579055
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-02 09:30:00,0.414128283218707
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-16 08:40:00,1.97542296111348
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-19 08:15:00,1.63423067828055
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-20 10:00:00,12.1900412798263
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-21 09:30:00,0.141282629657935
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-22 08:30:00,0.125199056872738
