"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"113006A","Tully River at Euramo","2011-2012",2011-10-19 15:50:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-10-20 09:03:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-10-20 17:05:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-10-24 18:26:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-10-25 16:50:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-10-29 15:02:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-11-25 16:50:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-11-27 17:14:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-11-29 10:06:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-11-30 18:06:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-12-01 16:42:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2011-12-02 17:12:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-01-19 13:52:00,1.09486917131633
"113006A","Tully River at Euramo","2011-2012",2012-01-24 17:46:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-01-27 15:03:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-02 13:41:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-03 17:22:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-04 11:21:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-04 17:58:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-05 17:12:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-06 14:02:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-07 09:46:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-08 12:46:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-10 18:25:00,1e-11
"113006A","Tully River at Euramo","2011-2012",2012-02-14 10:18:00,1.31154925295903
"113006A","Tully River at Euramo","2011-2012",2012-02-17 10:04:00,2.27969983224289
"113006A","Tully River at Euramo","2011-2012",2012-02-18 17:36:00,1.35635012751744
"113006A","Tully River at Euramo","2011-2012",2012-02-27 14:23:00,2.64562860283667
"113006A","Tully River at Euramo","2011-2012",2012-02-28 15:54:00,4.23633419715743
"113006A","Tully River at Euramo","2011-2012",2012-02-29 17:14:00,3.67884727594019
"113006A","Tully River at Euramo","2011-2012",2012-03-01 09:08:00,5.36037561955838
"113006A","Tully River at Euramo","2011-2012",2012-03-01 16:57:00,5.36037561955838
"113006A","Tully River at Euramo","2011-2012",2012-03-02 11:20:00,4.23633419715743
"113006A","Tully River at Euramo","2011-2012",2012-03-03 13:42:00,3.67884727594019
"113006A","Tully River at Euramo","2011-2012",2012-03-04 16:31:00,3.67884727594019
"113006A","Tully River at Euramo","2011-2012",2012-03-06 17:04:00,2.80541225617579
"113006A","Tully River at Euramo","2011-2012",2012-03-08 18:15:00,0.740564506971608
"113006A","Tully River at Euramo","2011-2012",2012-03-10 14:33:00,2.17720738546525
"113006A","Tully River at Euramo","2011-2012",2012-03-11 14:04:00,3.07495357379043
"113006A","Tully River at Euramo","2011-2012",2012-03-12 16:05:00,1.92569950239673
"113006A","Tully River at Euramo","2011-2012",2012-03-13 11:00:00,2.85901453073332
"113006A","Tully River at Euramo","2011-2012",2012-03-14 13:27:00,2.27969983224289
"113006A","Tully River at Euramo","2011-2012",2012-03-16 11:30:00,0.443076782844054
"113006A","Tully River at Euramo","2011-2012",2012-03-17 11:21:00,0.740564506971608
"113006A","Tully River at Euramo","2011-2012",2012-03-18 11:27:00,1.18001697769176
"113006A","Tully River at Euramo","2011-2012",2012-03-19 14:09:00,1.09486917131633
"113006A","Tully River at Euramo","2011-2012",2012-03-20 18:18:00,0.931234299947714
"113006A","Tully River at Euramo","2011-2012",2012-03-22 16:44:00,1.58690264024463
