"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"119101A","Barratta Creek at Northcote","2011-2012",2011-08-01 09:50:00,0.000224507791368733
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-05 13:27:00,6.59025317024617
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-10 10:55:00,2.83197889835615
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-18 10:00:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2011-11-08 17:20:00,1.10216445924938
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-05 15:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-19 15:15:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 09:35:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 12:35:00,1.10216445924938
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 16:15:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 09:25:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 12:45:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-31 09:40:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-03 12:25:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-04 12:45:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-05 11:10:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-12 12:27:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 10:45:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 14:00:00,1.46440686973824
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 17:10:00,1.10216445924938
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 09:15:00,0.0122870931122843
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 14:10:00,0.0122870931122843
