"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"130504B","Comet River at Comet Weir","2011-2012",2011-11-22 09:00:00,0.000224507770885118
"130504B","Comet River at Comet Weir","2011-2012",2011-12-05 16:00:00,0.000224507770885118
"130504B","Comet River at Comet Weir","2011-2012",2011-12-12 09:30:00,0.000224507770885118
"130504B","Comet River at Comet Weir","2011-2012",2011-12-13 09:30:00,1.46440686973824
"130504B","Comet River at Comet Weir","2011-2012",2011-12-15 09:30:00,2.29722253903374
"130504B","Comet River at Comet Weir","2011-2012",2011-12-16 11:00:00,1.72918950960815
"130504B","Comet River at Comet Weir","2011-2012",2012-02-01 15:00:00,5.68589213463815
"130504B","Comet River at Comet Weir","2011-2012",2012-02-06 12:00:00,2.16640447483364
"130504B","Comet River at Comet Weir","2011-2012",2012-02-14 09:30:00,2.34360397342851
"130504B","Comet River at Comet Weir","2011-2012",2012-02-24 16:15:00,1.57804730394799
"130504B","Comet River at Comet Weir","2011-2012",2012-02-28 09:45:00,3.60223087940651
"130504B","Comet River at Comet Weir","2011-2012",2012-03-23 09:55:00,2.62381662789792
"130504B","Comet River at Comet Weir","2011-2012",2012-03-26 13:15:00,2.72459051817878
"130504B","Comet River at Comet Weir","2011-2012",2012-03-29 10:00:00,1.68097527480717
"130504B","Comet River at Comet Weir","2012-2013",2013-01-29 09:30:00,0.00221431366492775
"130504B","Comet River at Comet Weir","2012-2013",2013-01-30 08:45:00,2.94652086435262
"130504B","Comet River at Comet Weir","2012-2013",2013-01-31 08:45:00,6.23857945885996
"130504B","Comet River at Comet Weir","2012-2013",2013-02-01 08:45:00,3.83863723426411
"130504B","Comet River at Comet Weir","2012-2013",2013-03-05 14:15:00,4.31761294732225
"130504B","Comet River at Comet Weir","2012-2013",2013-03-06 11:45:00,7.40103606736112
"130504B","Comet River at Comet Weir","2012-2013",2013-03-07 11:40:00,2.94652115475971
"130504B","Comet River at Comet Weir","2012-2013",2013-03-11 11:45:00,1.73114520653274
"130504B","Comet River at Comet Weir","2014-2015",2015-01-21 17:00:00,5.20548794567131
"130504B","Comet River at Comet Weir","2014-2015",2015-01-26 10:30:00,4.7874223715593
"130504B","Comet River at Comet Weir","2014-2015",2015-01-27 15:40:00,4.787421939769
"130504B","Comet River at Comet Weir","2014-2015",2015-01-29 14:30:00,9.10213602095559
"130504B","Comet River at Comet Weir","2014-2015",2015-01-30 11:00:00,6.35065248499832
"130504B","Comet River at Comet Weir","2014-2015",2015-01-31 12:00:00,4.8942193495616
"130504B","Comet River at Comet Weir","2014-2015",2015-02-02 11:15:00,5.38354142494979
"130504B","Comet River at Comet Weir","2014-2015",2015-02-04 11:00:00,4.38299317057859
"130504B","Comet River at Comet Weir","2014-2015",2015-02-05 17:00:00,8.20125693463917
"130504B","Comet River at Comet Weir","2014-2015",2015-02-06 17:00:00,9.21314492420261
"130504B","Comet River at Comet Weir","2014-2015",2015-02-07 17:00:00,6.12989468570372
"130504B","Comet River at Comet Weir","2014-2015",2015-02-09 17:00:00,5.14768833170232
"130504B","Comet River at Comet Weir","2014-2015",2015-02-11 11:00:00,4.25727182256539
"130504B","Comet River at Comet Weir","2014-2015",2015-02-13 12:15:00,3.84199667596115
"130504B","Comet River at Comet Weir","2014-2015",2015-04-23 11:30:00,1.95094983909678
"130504B","Comet River at Comet Weir","2014-2015",2015-06-18 11:00:00,3.36632756370563
"130504B","Comet River at Comet Weir","2015-2016",2015-07-24 11:20:00,0.0022834339511113
"130504B","Comet River at Comet Weir","2015-2016",2015-08-29 11:00:00,0.00221436803394814
"130504B","Comet River at Comet Weir","2015-2016",2015-09-29 10:40:00,0.00221436803394814
"130504B","Comet River at Comet Weir","2015-2016",2015-11-10 16:45:00,0.00221436803394814
"130504B","Comet River at Comet Weir","2015-2016",2016-01-12 11:30:00,9.20992924404491
"130504B","Comet River at Comet Weir","2015-2016",2016-02-02 10:30:00,12.1793538788216
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 09:00:00,3.52088270279092
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 15:20:00,6.62596838296359
"130504B","Comet River at Comet Weir","2015-2016",2016-02-05 10:40:00,7.54229833100262
"130504B","Comet River at Comet Weir","2015-2016",2016-02-06 13:30:00,9.2099274863325
"130504B","Comet River at Comet Weir","2015-2016",2016-02-07 11:20:00,10.7900299851426
"130504B","Comet River at Comet Weir","2015-2016",2016-02-10 09:15:00,9.87694049027552
"130504B","Comet River at Comet Weir","2015-2016",2016-03-14 17:30:00,3.83895137234243
"130504B","Comet River at Comet Weir","2015-2016",2016-03-22 09:00:00,6.76380673597113
"130504B","Comet River at Comet Weir","2015-2016",2016-03-23 10:00:00,3.83895944964731
"130504B","Comet River at Comet Weir","2015-2016",2016-04-28 16:00:00,2.83413900808429
"130504B","Comet River at Comet Weir","2015-2016",2016-05-31 11:30:00,2.44923959403498
"130504B","Comet River at Comet Weir","2015-2016",2016-06-04 16:45:00,2.44924242176628
"130504B","Comet River at Comet Weir","2015-2016",2016-06-17 11:00:00,2.56048769665632
"130504B","Comet River at Comet Weir","2015-2016",2016-06-19 16:45:00,3.4225629595224
"130504B","Comet River at Comet Weir","2015-2016",2016-06-21 15:30:00,2.58922722232372
"130504B","Comet River at Comet Weir","2016-2017",2016-07-16 11:00:00,4.25392901972955
