"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1110056,"Mulgrave River at Deeral","2013-2014",2013-11-25 18:00:00,0.000224507770885118
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-10 16:00:00,0.000224507770885118
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-13 12:00:00,2.54317142505941
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-23 09:10:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-24 14:43:00,1.53977264578901
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-28 10:43:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-29 10:40:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-30 08:51:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-31 11:20:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-03 09:28:00,0.0591167251788871
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-03 12:32:00,2.33914385403672
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-04 08:40:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-04 11:30:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-06 08:43:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-07 15:45:00,0.05911549978449
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-10 11:30:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-11 13:20:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-12 13:42:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-24 13:22:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-27 11:15:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-07 13:30:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-13 09:37:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 11:40:00,2.97663854944203
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 12:00:00,3.10536814300161
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 14:16:00,2.88193549680675
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 17:35:00,1.98778877107605
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 23:10:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 04:45:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 09:30:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 10:20:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 10:58:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 15:55:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 18:05:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 21:30:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 03:05:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 08:40:00,1.53977283981367
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 09:40:00,1.67912654089672
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 12:30:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 15:26:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 16:24:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-22 23:01:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 04:36:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 09:55:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 10:11:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 15:00:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-23 20:53:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 02:28:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 08:03:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 08:58:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 13:38:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-24 19:13:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-25 10:06:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-29 10:25:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-11 23:34:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-12 01:11:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-12 07:12:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-12 12:47:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-12 17:21:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-12 22:56:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-13 04:31:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-13 10:06:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-13 15:41:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-13 21:16:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-14 02:51:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-14 08:26:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-14 12:55:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-15 12:15:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-15 17:11:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-15 22:46:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-16 04:21:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-16 09:56:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-16 15:31:00,1.36297131788051
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-16 22:41:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-04-17 04:16:00,1.10694870773471
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-20 10:13:00,0.0576720786315765
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-20 19:36:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-21 10:15:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-21 15:50:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-21 21:25:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-22 05:32:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-22 11:07:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-22 18:32:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-05-23 06:22:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-06-09 19:41:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-06-10 09:26:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-06-11 06:36:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2013-2014",2014-06-12 13:00:00,0.059115517352526
1110056,"Mulgrave River at Deeral","2014-2015",2014-08-26 12:20:00,0.00221431366492775
1110056,"Mulgrave River at Deeral","2014-2015",2014-08-28 14:05:00,0.00221431366492775
1110056,"Mulgrave River at Deeral","2014-2015",2014-10-15 12:40:00,0.00221431366492775
1110056,"Mulgrave River at Deeral","2014-2015",2014-11-10 13:20:00,0.00221431366492775
1110056,"Mulgrave River at Deeral","2014-2015",2014-11-24 11:20:00,0.00221431366492775
1110056,"Mulgrave River at Deeral","2014-2015",2014-12-08 13:42:00,0.00221431366492775
1110056,"Mulgrave River at Deeral","2014-2015",2014-12-18 13:30:00,1.10413253462635
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-08 09:51:00,0.0142773863760604
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-08 13:58:00,0.014276998714724
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-08 18:53:00,0.014276676559688
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-09 00:03:00,0.014276676559688
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-09 05:13:00,0.014276676559688
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-09 13:33:00,0.0142769757407457
1110056,"Mulgrave River at Deeral","2014-2015",2015-01-23 14:00:00,0.0146036928547977
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-08 12:13:00,1.10239072516308
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-08 17:53:00,0.0545093759136805
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-08 23:33:00,0.054508925814345
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-09 05:13:00,0.0545089027775947
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-09 10:53:00,0.054508925814345
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-09 16:33:00,0.0545089931884069
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-09 22:13:00,0.054508925814345
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-10 03:53:00,0.054508925814345
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-10 09:33:00,0.0545089931884069
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-10 16:34:00,1.10239058513102
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-10 22:04:00,1.10239058513102
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-11 03:44:00,1.10239048081086
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-11 09:24:00,1.35842489167612
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-11 17:54:00,1.35874723172853
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-11 23:34:00,1.10271365753021
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-12 05:14:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-12 10:54:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-12 16:34:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-12 22:14:00,0.054835526791619
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-13 03:54:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-13 09:34:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-14 08:44:00,0.0548371985578444
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-14 14:24:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-14 20:04:00,0.054835526791619
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-15 01:44:00,0.054835976889489
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-15 07:24:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-15 13:04:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-15 18:44:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-16 00:24:00,0.0548365496658154
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-16 06:04:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-16 15:34:00,0.0548365496658154
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-17 02:54:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-02-17 12:44:00,0.0548355037549353
1110056,"Mulgrave River at Deeral","2014-2015",2015-03-11 18:34:00,1.89325384914739
1110056,"Mulgrave River at Deeral","2014-2015",2015-03-11 23:04:00,14.1364288554151
