"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1240062,"O'Connell River at Caravan Park","2013-2014",2013-08-09 09:00:00,0.00221431366492775
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-08 14:50:00,0.00221433124298898
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-10 16:30:00,1.77956618130701
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-30 12:30:00,0.0430922630983877
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-30 19:00:00,0.0453950007170412
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-30 22:00:00,0.0514740445904938
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-31 02:00:00,0.0425201478913895
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-31 07:00:00,0.443770235662921
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-31 13:00:00,0.0470585649506639
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-31 17:00:00,0.0470585638541188
1240062,"O'Connell River at Caravan Park","2013-2014",2014-01-31 21:00:00,0.0470585638541188
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-01 08:00:00,0.0470585638541188
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-09 22:21:00,0.0470585638537524
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-10 12:30:00,0.0470585638537524
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-19 09:45:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-19 10:01:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-19 11:01:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-19 15:21:00,1.09501818311764
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-19 17:31:00,1.09501818322343
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-19 20:31:00,0.0470585814240421
1240062,"O'Connell River at Caravan Park","2013-2014",2014-02-20 09:31:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2013-2014",2014-03-27 20:31:00,0.0470589034733293
1240062,"O'Connell River at Caravan Park","2013-2014",2014-03-27 20:53:00,0.0470587619469942
1240062,"O'Connell River at Caravan Park","2013-2014",2014-03-28 02:31:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 17:31:00,0.0470601160570294
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 18:01:00,0.047061655661429
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 18:31:00,0.0470608246403104
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 19:01:00,0.0470608246403104
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 19:31:00,0.0470604548631459
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 20:01:00,0.0470608246403104
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 21:01:00,0.0470604548631459
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-13 23:01:00,0.0470598086369844
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-14 00:31:00,0.0470595330739232
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-14 01:59:00,0.0470612250178748
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-14 03:29:00,0.0470608246403104
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-14 04:59:00,0.0470598086369844
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-14 06:59:00,0.0470595330739232
1240062,"O'Connell River at Caravan Park","2013-2014",2014-04-14 15:17:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2013-2014",2014-05-14 14:50:00,0.0470585814240421
1240062,"O'Connell River at Caravan Park","2013-2014",2014-06-17 15:10:00,0.0470585814239199
1240062,"O'Connell River at Caravan Park","2014-2015",2014-07-28 17:15:00,0.00221431366492775
1240062,"O'Connell River at Caravan Park","2014-2015",2014-08-21 16:24:00,0.00221431366492775
1240062,"O'Connell River at Caravan Park","2014-2015",2014-09-30 08:40:00,0.00221431366492775
1240062,"O'Connell River at Caravan Park","2014-2015",2014-10-28 17:00:00,0.00221431366492775
1240062,"O'Connell River at Caravan Park","2014-2015",2014-11-25 08:10:00,0.00221431366492775
1240062,"O'Connell River at Caravan Park","2014-2015",2014-12-16 09:15:00,1.10413477544417
1240062,"O'Connell River at Caravan Park","2014-2015",2015-01-22 15:16:00,0.0142766589837584
1240062,"O'Connell River at Caravan Park","2014-2015",2015-01-22 17:39:00,0.0142766589837584
1240062,"O'Connell River at Caravan Park","2014-2015",2015-01-22 18:12:00,0.0142766589902754
1240062,"O'Connell River at Caravan Park","2014-2015",2015-01-22 20:14:00,0.0142766591906707
