"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-16 15:10:00,0.854175440377125
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-23 12:20:00,3.10918625111292
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-30 13:10:00,1.64908058034778
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 08:18:00,15.0746113280303
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 14:02:00,13.8547591203714
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 02:32:00,11.8832858321982
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 15:02:00,9.93465001843009
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 03:32:00,8.05900795575855
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 16:02:00,8.19137365075815
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-09 10:12:00,8.8862801836062
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-13 15:41:00,7.99781182779394
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-21 09:45:00,6.06955593553384
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-27 14:15:00,5.23300864268839
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:02:00,13.8739698624755
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:25:00,13.5788514008848
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 12:45:00,18.1663808296819
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 16:35:00,18.5408633480209
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 00:45:00,16.6047882115394
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 06:25:00,16.9094908678409
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 12:15:00,17.3738326243052
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 17:55:00,19.0102528052773
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 03:15:00,15.9016827124325
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 05:45:00,15.6554279556589
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 14:05:00,13.7906870662372
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 15:30:00,13.3331586484491
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-03 08:30:00,13.5975225228195
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-10 12:40:00,4.70573169943632
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-17 10:40:00,2.82999253339618
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-23 14:40:00,2.43479143992119
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-02 15:30:00,1.35959993597508
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-20 10:20:00,3.97718044549434
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-20 18:25:00,11.7521242380922
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-23 06:57:00,11.8414340042773
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-23 18:12:00,12.1689068418252
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-24 06:12:00,7.24979149029553
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-24 11:52:00,6.94923507322105
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-27 16:11:00,3.63150032360539
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-28 04:24:00,3.63150032360539
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-28 13:24:00,3.25107032455938
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-29 06:04:00,3.89046005055423
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-30 06:24:00,4.77087071317185
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-31 06:44:00,3.4688169375085
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-31 18:54:00,3.4688169375085
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-02 00:24:00,3.47093168760236
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-03 10:51:00,3.38136591513186
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-05 14:20:00,2.59732273675426
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-10 14:30:00,2.37683985494137
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-13 17:00:00,2.13924048618123
"122013A","Proserpine River at Glen Isla","2016-2017",2017-04-28 07:35:00,3.33713650498543
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-18 23:12:00,11.3029298631911
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 05:22:00,10.5091071316875
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 11:32:00,8.65281426700531
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 17:42:00,7.89118471303493
"122013A","Proserpine River at Glen Isla","2016-2017",2017-05-19 23:52:00,8.63218492528475
