"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"113006A","Tully River at Euramo","2011-2012",2011-10-19 15:50:00,0.000224507770885118
"113006A","Tully River at Euramo","2011-2012",2011-10-20 09:03:00,0.000224507770885118
"113006A","Tully River at Euramo","2011-2012",2011-10-20 17:05:00,0.000224507770885118
"113006A","Tully River at Euramo","2011-2012",2011-10-24 18:26:00,0.000224507770885118
"113006A","Tully River at Euramo","2011-2012",2011-10-25 16:50:00,0.000100589911378179
"113006A","Tully River at Euramo","2011-2012",2011-10-29 15:02:00,0.000100589911378179
"113006A","Tully River at Euramo","2011-2012",2011-11-25 16:50:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2011-11-27 17:14:00,1.10216445924938
"113006A","Tully River at Euramo","2011-2012",2011-11-29 10:06:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2011-11-30 18:06:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2011-12-01 16:42:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2011-12-02 17:12:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-01-19 13:52:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-01-24 17:46:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-01-27 15:03:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-02 13:41:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-03 17:22:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-04 11:21:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-04 17:58:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-05 17:12:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-06 14:02:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-07 09:46:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-08 12:46:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-10 18:25:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-14 10:18:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-17 10:04:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-18 17:36:00,0.0122870931122843
"113006A","Tully River at Euramo","2011-2012",2012-02-27 14:23:00,0.0122870931122843
