"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1160119,"Herbert River at John Row Bridge","2011-2012",2011-07-14 15:00:00,5.50115508701765e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-08-10 08:30:00,1.83256410046795e-07
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-13 08:30:00,5.50115508701765e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-19 08:50:00,5.50115508701765e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-19 16:45:00,5.50115508701765e-11
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-20 10:15:00,0.0103424738725266
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-21 08:30:00,0.143700367083388
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-22 08:30:00,0.113012369881194
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-23 09:15:00,0.113012369881194
1160119,"Herbert River at John Row Bridge","2011-2012",2011-10-31 09:00:00,4.33832683111035e-06
1160119,"Herbert River at John Row Bridge","2011-2012",2011-11-24 09:00:00,26.6133614038672
1160119,"Herbert River at John Row Bridge","2011-2012",2011-11-26 14:00:00,5.99664569068512
1160119,"Herbert River at John Row Bridge","2011-2012",2011-11-28 17:05:00,0.97406949122486
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-25 15:30:00,3.84439053332776
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-26 10:00:00,0.332514474160839
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-27 14:00:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-28 13:00:00,0.116886443674502
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-29 13:30:00,0.0732481114025352
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-30 17:30:00,0.0759383436824357
1160119,"Herbert River at John Row Bridge","2011-2012",2012-01-31 13:30:00,0.0134438118293945
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-01 11:00:00,0.827807292155724
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-02 10:00:00,0.307679216741941
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-04 11:00:00,0.4924577099234
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-04 18:00:00,0.366515061565065
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-05 09:00:00,0.684792049438243
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-06 10:15:00,0.161733832392097
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-07 09:00:00,0.0134438118293945
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-09 08:30:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-11 09:30:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-13 08:30:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-15 08:00:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-16 08:00:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-21 08:15:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-22 10:00:00,1.58859238541531e-05
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-24 15:00:00,3.0910018210889
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-25 16:00:00,2.766176045808
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-26 13:20:00,1.6462959294504
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-27 09:15:00,3.96478874842674
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-28 09:00:00,0.848120824354481
1160119,"Herbert River at John Row Bridge","2011-2012",2012-02-29 17:00:00,0.550470232392597
1160119,"Herbert River at John Row Bridge","2011-2012",2012-03-01 15:00:00,0.333172676237237
1160119,"Herbert River at John Row Bridge","2011-2012",2012-03-02 17:30:00,0.138471918332117
1160119,"Herbert River at John Row Bridge","2011-2012",2012-03-03 12:30:00,0.0360113639100379
