"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1120049,"North Johnstone River at Goondi","2011-2012",2012-02-29 14:12:00,0.0169811976648671
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-06 12:52:00,0.0255207586835615
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-10 17:01:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-13 15:45:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-14 09:18:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-16 10:15:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-18 09:46:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-18 13:12:00,0.0614046881965202
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-18 15:28:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-19 11:12:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-20 10:00:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-21 12:09:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-23 13:31:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-26 11:22:00,0.13078296884228
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-26 16:54:00,0.0359998204696232
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-27 08:37:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-27 14:56:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-29 09:11:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-02 08:58:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-13 14:55:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-16 09:47:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-27 09:41:00,4.33832683111035e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-25 11:35:00,4.3700667196056e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-26 17:40:00,4.33833463597821e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-28 10:28:00,4.33833463597821e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-31 10:21:00,4.33833463597821e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-01 09:16:00,4.33833463597821e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-04 14:42:00,4.33833463597821e-06
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-13 10:51:00,3.80145451783775e-05
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-25 10:22:00,4.34035012375489e-06
1120049,"North Johnstone River at Goondi","2012-2013",2013-03-23 15:12:00,0.0103424738725266
1120049,"North Johnstone River at Goondi","2012-2013",2013-03-27 15:42:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2013-2014",2013-07-23 14:45:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2013-2014",2013-08-15 14:02:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-21 12:00:00,0.16171797221356
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-22 09:40:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-22 16:15:00,0.0627411834813296
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-23 12:25:00,5.50115508701765e-11
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-24 09:30:00,1.27732196029278
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-24 17:00:00,0.161722303469614
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-25 10:45:00,4.33832683111035e-06
