"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"119101A","Barratta Creek at Northcote","2011-2012",2011-08-01 09:50:00,35.245963564309
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-05 13:27:00,58.8142063843076
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-10 10:55:00,34.1561251474295
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-18 10:00:00,45.2268697835609
"119101A","Barratta Creek at Northcote","2011-2012",2011-11-08 17:20:00,62.8007519549632
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-05 15:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-19 15:15:00,35.2006721089498
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 09:35:00,52.2624757854539
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 12:35:00,56.4693399610003
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 16:15:00,55.3145440345475
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 09:25:00,52.857018116809
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 12:45:00,44.9116928157505
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-31 09:40:00,43.7619694546238
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-03 12:25:00,30.5090235380989
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-04 12:45:00,25.2527883437064
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-05 11:10:00,21.4009322567759
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-12 12:27:00,38.3267614342075
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 10:45:00,16.7044786694507
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 14:00:00,17.3341270894416
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 17:10:00,19.8204663508176
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 09:15:00,30.7727664936138
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 14:10:00,26.9365791508809
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-18 09:50:00,35.0896074714699
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-19 10:50:00,26.5185006317609
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-20 10:40:00,21.2389347832418
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-23 10:40:00,12.0748122651001
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-25 11:30:00,13.7854635297109
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-27 09:50:00,11.4015895439903
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-30 15:35:00,8.63590015580276
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-31 13:40:00,8.96069895039274
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-01 09:45:00,12.7824292131426
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-02 11:08:00,10.0960059789219
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-03 09:40:00,9.63342385761089
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-03 17:30:00,12.9870130237581
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-04 09:10:00,10.2927121179249
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-04 13:00:00,11.0101292947514
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-06 11:55:00,4.48276705908511
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-08 10:55:00,3.23253515601399
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-08 15:35:00,5.86840689861535
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-09 08:40:00,0.608835478477021
