"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-10-05 08:50:00,0.328145891878229
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-19 14:25:00,0.192251989261549
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-30 10:50:00,0.492265979846107
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-05 12:00:00,1.50016683744795
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-16 16:05:00,0.113447493607299
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 10:05:00,2.51861694883573
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 15:15:00,1.3883553077203
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-18 10:45:00,1.50328666130063
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-19 11:35:00,0.544423626367785
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-20 09:55:00,0.0810215485389953
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-24 13:00:00,0.0325432385783864
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-27 10:40:00,0.0325432385783864
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-31 14:15:00,0.0103583580983835
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-03 10:25:00,0.404341306148404
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-06 12:50:00,3.14606740547951e-05
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-07 11:45:00,1.58879393419298e-05
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-08 11:35:00,1.58879393419298e-05
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-09 15:40:00,1.58879393419298e-05
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-13 11:40:00,2.9413192392802e-05
