"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"130504B","Comet River at Comet Weir","2011-2012",2011-11-22 09:00:00,0.192318224678656
"130504B","Comet River at Comet Weir","2011-2012",2011-12-05 16:00:00,0.0103468137109486
"130504B","Comet River at Comet Weir","2011-2012",2011-12-12 09:30:00,0.000179666756372487
"130504B","Comet River at Comet Weir","2011-2012",2011-12-13 09:30:00,0.0503037208787749
"130504B","Comet River at Comet Weir","2011-2012",2011-12-15 09:30:00,0.366209021934139
"130504B","Comet River at Comet Weir","2011-2012",2011-12-16 11:00:00,1.84449790181029
"130504B","Comet River at Comet Weir","2011-2012",2012-02-01 15:00:00,1.4797169718784
"130504B","Comet River at Comet Weir","2011-2012",2012-02-06 12:00:00,0.103024754125602
"130504B","Comet River at Comet Weir","2011-2012",2012-02-14 09:30:00,1.71965768362591
"130504B","Comet River at Comet Weir","2011-2012",2012-02-24 16:15:00,0.36624338224478
"130504B","Comet River at Comet Weir","2011-2012",2012-02-28 09:45:00,9.27804230118133
"130504B","Comet River at Comet Weir","2011-2012",2012-03-23 09:55:00,0.443004397149549
"130504B","Comet River at Comet Weir","2011-2012",2012-03-26 13:15:00,0.0593293296851649
"130504B","Comet River at Comet Weir","2011-2012",2012-03-29 10:00:00,0.0473636415578849
"130504B","Comet River at Comet Weir","2012-2013",2013-01-29 09:30:00,5.50115508701765e-11
"130504B","Comet River at Comet Weir","2012-2013",2013-01-30 08:45:00,2.2228392135684
"130504B","Comet River at Comet Weir","2012-2013",2013-01-31 08:45:00,3.6770883372073
"130504B","Comet River at Comet Weir","2012-2013",2013-02-01 08:45:00,2.09677276429715
"130504B","Comet River at Comet Weir","2012-2013",2013-03-05 14:15:00,1.63419783366794
"130504B","Comet River at Comet Weir","2012-2013",2013-03-06 11:45:00,0.217519349728668
"130504B","Comet River at Comet Weir","2012-2013",2013-03-07 11:40:00,0.0504173838271837
"130504B","Comet River at Comet Weir","2012-2013",2013-03-11 11:45:00,0.0222222011858175
"130504B","Comet River at Comet Weir","2014-2015",2015-01-21 17:00:00,0.147207301285324
"130504B","Comet River at Comet Weir","2014-2015",2015-01-26 10:30:00,1.55022170513076
"130504B","Comet River at Comet Weir","2014-2015",2015-01-27 15:40:00,0.650880875789195
"130504B","Comet River at Comet Weir","2014-2015",2015-01-29 14:30:00,19.6338840426611
"130504B","Comet River at Comet Weir","2014-2015",2015-01-30 11:00:00,7.86794704386939
"130504B","Comet River at Comet Weir","2014-2015",2015-01-31 12:00:00,1.21537808149336
"130504B","Comet River at Comet Weir","2014-2015",2015-02-02 11:15:00,0.680961362813937
"130504B","Comet River at Comet Weir","2014-2015",2015-02-04 11:00:00,4.84619633009998
"130504B","Comet River at Comet Weir","2014-2015",2015-02-05 17:00:00,10.6186770936102
"130504B","Comet River at Comet Weir","2014-2015",2015-02-06 17:00:00,14.3770951916974
"130504B","Comet River at Comet Weir","2014-2015",2015-02-07 17:00:00,8.33300106392425
"130504B","Comet River at Comet Weir","2014-2015",2015-02-09 17:00:00,7.87259757808162
"130504B","Comet River at Comet Weir","2014-2015",2015-02-11 11:00:00,3.84079868744097
"130504B","Comet River at Comet Weir","2014-2015",2015-02-13 12:15:00,3.22461441336902
"130504B","Comet River at Comet Weir","2014-2015",2015-04-23 11:30:00,0.802581325725493
"130504B","Comet River at Comet Weir","2014-2015",2015-06-18 11:00:00,0.600919780080234
"130504B","Comet River at Comet Weir","2015-2016",2015-07-24 11:20:00,1.2295860273164
"130504B","Comet River at Comet Weir","2015-2016",2015-08-29 11:00:00,0.228340213725087
"130504B","Comet River at Comet Weir","2015-2016",2015-09-29 10:40:00,0.284188340882208
"130504B","Comet River at Comet Weir","2015-2016",2015-11-10 16:45:00,0.193329108266338
"130504B","Comet River at Comet Weir","2015-2016",2016-01-12 11:30:00,0.560967010114621
"130504B","Comet River at Comet Weir","2015-2016",2016-02-02 10:30:00,1.35288272530313
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 09:00:00,0.721265555143102
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 15:20:00,0.522486694951951
"130504B","Comet River at Comet Weir","2015-2016",2016-02-05 10:40:00,1.63876482454516
"130504B","Comet River at Comet Weir","2015-2016",2016-02-06 13:30:00,2.04497401391037
"130504B","Comet River at Comet Weir","2015-2016",2016-02-07 11:20:00,6.4635691547156
"130504B","Comet River at Comet Weir","2015-2016",2016-02-10 09:15:00,0.821996978287631
"130504B","Comet River at Comet Weir","2015-2016",2016-03-14 17:30:00,1.15314239680744
"130504B","Comet River at Comet Weir","2015-2016",2016-03-22 09:00:00,7.89216162064752
"130504B","Comet River at Comet Weir","2015-2016",2016-03-23 10:00:00,0.641808665545451
"130504B","Comet River at Comet Weir","2015-2016",2016-04-28 16:00:00,2.63382745947174
"130504B","Comet River at Comet Weir","2015-2016",2016-05-31 11:30:00,1.86537216198509
"130504B","Comet River at Comet Weir","2015-2016",2016-06-04 16:45:00,1.75254933067719
"130504B","Comet River at Comet Weir","2015-2016",2016-06-17 11:00:00,1.58292028096383
"130504B","Comet River at Comet Weir","2015-2016",2016-06-19 16:45:00,1.65732183334802
"130504B","Comet River at Comet Weir","2015-2016",2016-06-21 15:30:00,1.35565383153381
"130504B","Comet River at Comet Weir","2016-2017",2016-07-16 11:00:00,0.0565625918066526
"130504B","Comet River at Comet Weir","2016-2017",2016-07-16 17:30:00,0.596189550200388
"130504B","Comet River at Comet Weir","2016-2017",2016-07-17 16:45:00,0.878514495264127
"130504B","Comet River at Comet Weir","2016-2017",2016-08-19 09:00:00,0.0225048911557169
"130504B","Comet River at Comet Weir","2016-2017",2016-10-07 13:15:00,0.010544320723227
"130504B","Comet River at Comet Weir","2016-2017",2016-10-29 11:45:00,0.0148758686000727
"130504B","Comet River at Comet Weir","2016-2017",2016-12-07 11:00:00,0.150685767570868
"130504B","Comet River at Comet Weir","2016-2017",2016-12-09 10:30:00,0.151054111421389
"130504B","Comet River at Comet Weir","2016-2017",2017-02-22 07:20:00,0.830785406463186
"130504B","Comet River at Comet Weir","2016-2017",2017-03-16 11:00:00,30.055777195119
"130504B","Comet River at Comet Weir","2016-2017",2017-03-24 16:20:00,5.30947983355911
"130504B","Comet River at Comet Weir","2016-2017",2017-03-28 15:30:00,5.71725130759257
"130504B","Comet River at Comet Weir","2016-2017",2017-03-30 09:30:00,0.892699505084071
"130504B","Comet River at Comet Weir","2016-2017",2017-03-31 09:15:00,0.481271785831716
"130504B","Comet River at Comet Weir","2016-2017",2017-03-31 16:30:00,1.0647553898132
"130504B","Comet River at Comet Weir","2016-2017",2017-04-01 16:40:00,0.964353625569148
"130504B","Comet River at Comet Weir","2016-2017",2017-04-03 16:10:00,0.183918623463197
"130504B","Comet River at Comet Weir","2016-2017",2017-04-04 16:15:00,0.0743455223873868
"130504B","Comet River at Comet Weir","2016-2017",2017-04-05 16:10:00,0.0635500018857926
"130504B","Comet River at Comet Weir","2016-2017",2017-04-10 15:50:00,0.120023852316975
"130504B","Comet River at Comet Weir","2016-2017",2017-05-02 11:30:00,0.0533908121256865
"130504B","Comet River at Comet Weir","2016-2017",2017-06-09 11:00:00,0.0616880669512598
"130504B","Comet River at Comet Weir","2017-2018",2017-07-18 12:55:00,12.3042620716525
"130504B","Comet River at Comet Weir","2017-2018",2017-08-08 10:55:00,2.63419856155226
"130504B","Comet River at Comet Weir","2017-2018",2017-09-11 10:50:00,0.776190144543898
"130504B","Comet River at Comet Weir","2017-2018",2017-10-10 08:15:00,0.283611427262487
"130504B","Comet River at Comet Weir","2017-2018",2017-10-14 11:40:00,0.284715409860214
"130504B","Comet River at Comet Weir","2017-2018",2017-10-15 14:40:00,0.88510730473661
"130504B","Comet River at Comet Weir","2017-2018",2017-10-16 13:50:00,1.29905302177244
"130504B","Comet River at Comet Weir","2017-2018",2017-10-17 15:50:00,0.482399898487018
"130504B","Comet River at Comet Weir","2017-2018",2017-11-07 07:15:00,0.00830856743688768
"130504B","Comet River at Comet Weir","2017-2018",2017-12-04 16:45:00,14.0418500353654
"130504B","Comet River at Comet Weir","2017-2018",2018-01-22 10:20:00,1.08677982541524
"130504B","Comet River at Comet Weir","2017-2018",2018-02-12 10:10:00,0.774425662483813
"130504B","Comet River at Comet Weir","2017-2018",2018-02-21 15:25:00,0.782588637633486
"130504B","Comet River at Comet Weir","2017-2018",2018-02-22 12:10:00,10.969754690249
"130504B","Comet River at Comet Weir","2017-2018",2018-02-23 10:15:00,16.7784281922199
"130504B","Comet River at Comet Weir","2017-2018",2018-02-24 14:40:00,6.84688598983011
"130504B","Comet River at Comet Weir","2017-2018",2018-02-25 15:00:00,8.36775482991964
"130504B","Comet River at Comet Weir","2017-2018",2018-02-26 15:10:00,11.6991535517404
"130504B","Comet River at Comet Weir","2017-2018",2018-03-02 16:00:00,1.02536209399384
"130504B","Comet River at Comet Weir","2017-2018",2018-03-13 12:00:00,0.405925005840302
"130504B","Comet River at Comet Weir","2017-2018",2018-04-20 10:30:00,0.483209829071274
"130504B","Comet River at Comet Weir","2017-2018",2018-05-21 13:35:00,0.722741811666616
"130504B","Comet River at Comet Weir","2017-2018",2018-06-11 11:20:00,0.343330643379613
"130504B","Comet River at Comet Weir","2018-2019",2018-07-16 09:35:00,0.311786887183885
"130504B","Comet River at Comet Weir","2018-2019",2018-08-21 13:00:00,0.34372357296385
"130504B","Comet River at Comet Weir","2018-2019",2018-09-03 10:15:00,0.199249165208093
"130504B","Comet River at Comet Weir","2018-2019",2018-10-15 15:00:00,0.291371907446536
"130504B","Comet River at Comet Weir","2018-2019",2018-10-19 10:30:00,0.815553555293025
"130504B","Comet River at Comet Weir","2018-2019",2018-11-03 11:15:00,1.87512550237111
"130504B","Comet River at Comet Weir","2018-2019",2018-12-17 10:20:00,0.503486753517524
"130504B","Comet River at Comet Weir","2018-2019",2019-01-17 11:15:00,0.20628438190966
"130504B","Comet River at Comet Weir","2018-2019",2019-02-25 10:45:00,0.210597279830194
"130504B","Comet River at Comet Weir","2018-2019",2019-03-16 10:25:00,0.000438527470270067
"130504B","Comet River at Comet Weir","2018-2019",2019-03-18 09:15:00,0.40578943434787
"130504B","Comet River at Comet Weir","2018-2019",2019-03-29 09:45:00,0.742900335700136
"130504B","Comet River at Comet Weir","2018-2019",2019-04-03 09:55:00,0.0839425922210979
"130504B","Comet River at Comet Weir","2018-2019",2019-04-28 16:25:00,0.00749769717085513
"130504B","Comet River at Comet Weir","2018-2019",2019-04-29 15:35:00,0.00959871028096693
"130504B","Comet River at Comet Weir","2018-2019",2019-05-21 10:35:00,0.12015676647501
"130504B","Comet River at Comet Weir","2018-2019",2019-06-18 10:15:00,0.150107651339759
"130504B","Comet River at Comet Weir","2019-2020",2019-07-23 11:20:00,0.140658893164747
"130504B","Comet River at Comet Weir","2019-2020",2019-08-20 14:20:00,0.140658630958568
"130504B","Comet River at Comet Weir","2019-2020",2019-09-24 09:55:00,0.103354841096348
"130504B","Comet River at Comet Weir","2019-2020",2019-10-15 08:40:00,0.107505681311915
"130504B","Comet River at Comet Weir","2019-2020",2019-11-18 09:30:00,0.144417655443307
"130504B","Comet River at Comet Weir","2019-2020",2019-12-16 05:55:00,0.108963798034545
"130504B","Comet River at Comet Weir","2019-2020",2020-01-17 09:25:00,0.00161160316615172
"130504B","Comet River at Comet Weir","2019-2020",2020-01-17 16:10:00,0.0628174158046946
"130504B","Comet River at Comet Weir","2019-2020",2020-01-18 16:10:00,0.161975468038988
"130504B","Comet River at Comet Weir","2019-2020",2020-01-20 09:45:00,0.106790283145686
"130504B","Comet River at Comet Weir","2019-2020",2020-01-20 17:00:00,0.0682355896331144
"130504B","Comet River at Comet Weir","2019-2020",2020-01-21 10:30:00,0.0694509672454324
"130504B","Comet River at Comet Weir","2019-2020",2020-01-21 16:45:00,0.0150777149978909
"130504B","Comet River at Comet Weir","2019-2020",2020-01-22 14:10:00,0.00599505532833389
"130504B","Comet River at Comet Weir","2019-2020",2020-01-28 18:15:00,0.0504779872435357
"130504B","Comet River at Comet Weir","2019-2020",2020-01-29 09:55:00,0.0505506296586078
"130504B","Comet River at Comet Weir","2019-2020",2020-01-30 11:10:00,0.0990303750912691
"130504B","Comet River at Comet Weir","2019-2020",2020-02-03 16:35:00,0.0522509982768371
"130504B","Comet River at Comet Weir","2019-2020",2020-02-06 14:15:00,1.00529035653266
"130504B","Comet River at Comet Weir","2019-2020",2020-02-07 15:45:00,0.000342398926211906
"130504B","Comet River at Comet Weir","2019-2020",2020-02-08 16:25:00,0.136273752545713
"130504B","Comet River at Comet Weir","2019-2020",2020-02-10 16:10:00,0.00672646166560709
"130504B","Comet River at Comet Weir","2019-2020",2020-02-11 07:20:00,0.00180739318419443
"130504B","Comet River at Comet Weir","2019-2020",2020-02-11 16:30:00,0.00710717013726603
"130504B","Comet River at Comet Weir","2019-2020",2020-02-12 07:45:00,0.00749769494811092
"130504B","Comet River at Comet Weir","2019-2020",2020-02-12 16:25:00,0.0105077403893317
"130504B","Comet River at Comet Weir","2019-2020",2020-02-13 16:15:00,0.0302436018953078
"130504B","Comet River at Comet Weir","2019-2020",2020-02-14 16:00:00,0.0210624455732611
"130504B","Comet River at Comet Weir","2019-2020",2020-02-15 16:15:00,0.0217127909347137
"130504B","Comet River at Comet Weir","2019-2020",2020-02-25 09:45:00,0.0859692843804938
"130504B","Comet River at Comet Weir","2019-2020",2020-02-26 08:45:00,0.061264193346533
"130504B","Comet River at Comet Weir","2019-2020",2020-02-27 08:35:00,0.0914993418504984
"130504B","Comet River at Comet Weir","2019-2020",2020-02-28 08:35:00,0.113557984816759
"130504B","Comet River at Comet Weir","2019-2020",2020-02-29 10:20:00,0.131242181341107
"130504B","Comet River at Comet Weir","2019-2020",2020-03-01 16:25:00,0.0230415721577892
"130504B","Comet River at Comet Weir","2019-2020",2020-03-02 16:20:00,0.0204214837643657
"130504B","Comet River at Comet Weir","2019-2020",2020-03-05 08:45:00,0.236024136027868
"130504B","Comet River at Comet Weir","2019-2020",2020-03-07 09:30:00,2.30692789464427
"130504B","Comet River at Comet Weir","2019-2020",2020-03-07 16:55:00,2.39104761989677
"130504B","Comet River at Comet Weir","2019-2020",2020-03-08 07:10:00,1.40773688765191
"130504B","Comet River at Comet Weir","2019-2020",2020-03-08 18:45:00,1.34800445306335
"130504B","Comet River at Comet Weir","2019-2020",2020-03-09 10:10:00,0.331876308964896
"130504B","Comet River at Comet Weir","2019-2020",2020-03-11 09:40:00,0.258447620330349
"130504B","Comet River at Comet Weir","2019-2020",2020-03-13 17:20:00,0.084466234239089
"130504B","Comet River at Comet Weir","2019-2020",2020-04-30 09:15:00,0.0392286451189938
"130504B","Comet River at Comet Weir","2019-2020",2020-05-29 10:50:00,0.0436767392988369
"130504B","Comet River at Comet Weir","2019-2020",2020-06-26 10:50:00,0.101593794769983
"130504B","Comet River at Comet Weir","2020-2021",2020-07-27 11:20:00,0.061675546967288
"130504B","Comet River at Comet Weir","2020-2021",2020-09-22 11:40:00,0.011387532102769
"130504B","Comet River at Comet Weir","2020-2021",2020-11-08 06:25:00,0.00710710780338353
"130504B","Comet River at Comet Weir","2020-2021",2020-11-17 10:50:00,0.0557747986572932
"130504B","Comet River at Comet Weir","2020-2021",2020-12-15 16:20:00,0.0723228315268276
"130504B","Comet River at Comet Weir","2020-2021",2021-01-11 18:40:00,0.00201373503018187
"130504B","Comet River at Comet Weir","2020-2021",2021-01-12 09:00:00,0.000257915194878944
"130504B","Comet River at Comet Weir","2020-2021",2021-01-13 17:05:00,0.601355127990155
"130504B","Comet River at Comet Weir","2020-2021",2021-01-14 08:34:00,0.184145120444945
"130504B","Comet River at Comet Weir","2020-2021",2021-01-15 08:12:00,0.15940607243039
"130504B","Comet River at Comet Weir","2020-2021",2021-01-16 08:11:00,0.137838802319212
"130504B","Comet River at Comet Weir","2020-2021",2021-01-18 08:46:00,0.0905912119207319
"130504B","Comet River at Comet Weir","2020-2021",2021-01-21 10:16:00,0.0888920717287633
"130504B","Comet River at Comet Weir","2020-2021",2021-02-22 09:20:00,2.81472809669547
"130504B","Comet River at Comet Weir","2020-2021",2021-03-16 13:35:00,0.254063897315915
"130504B","Comet River at Comet Weir","2020-2021",2021-04-19 10:40:00,4.06113799256147e-05
"130504B","Comet River at Comet Weir","2020-2021",2021-05-07 10:55:00,4.06113799256147e-05
"130504B","Comet River at Comet Weir","2020-2021",2021-06-21 10:10:00,0.00789819266502345
"130504B","Comet River at Comet Weir","2021-2022",2021-07-20 11:10:00,0.0566454066773581
"130504B","Comet River at Comet Weir","2021-2022",2021-11-13 17:25:00,0.312995111643366
"130504B","Comet River at Comet Weir","2021-2022",2021-11-14 07:39:00,1.52156970515496
"130504B","Comet River at Comet Weir","2021-2022",2021-11-15 11:00:00,1.03189010036789
"130504B","Comet River at Comet Weir","2021-2022",2021-11-17 09:15:00,0.426296358286993
"130504B","Comet River at Comet Weir","2021-2022",2021-11-28 17:05:00,0.149315878754408
"130504B","Comet River at Comet Weir","2021-2022",2021-11-29 07:50:00,0.248634727376473
"130504B","Comet River at Comet Weir","2021-2022",2021-11-29 17:00:00,0.143113202429468
"130504B","Comet River at Comet Weir","2021-2022",2021-11-30 10:25:00,0.400140318301945
"130504B","Comet River at Comet Weir","2021-2022",2021-12-02 10:25:00,1.38245326654622
"130504B","Comet River at Comet Weir","2021-2022",2021-12-03 16:25:00,3.93876085225278
"130504B","Comet River at Comet Weir","2021-2022",2021-12-05 15:35:00,3.30942592879184
"130504B","Comet River at Comet Weir","2021-2022",2021-12-07 16:40:00,2.625555065741
