"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-09 14:00:00,5.50115508701765e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-15 09:00:00,5.50115508701765e-11
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-23 09:30:00,0.113447493607299
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 09:45:00,0.0221915160717123
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 13:45:00,4.33832683111035e-06
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-12 09:00:00,4.33832683111035e-06
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-20 09:10:00,4.52152821850405e-06
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-01 09:50:00,0.14717665453936
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-10 09:10:00,0.731419574422942
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-18 09:15:00,0.78344040985423
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-23 10:10:00,0.531539271483505
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-02 10:45:00,0.583664852447574
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-14 09:45:00,14.3170859434823
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-19 09:15:00,17.4106916252377
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-28 19:30:00,22.3699030442887
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 01:30:00,22.598730143764
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 07:30:00,45.5074279603357
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 13:30:00,37.0884663511507
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 19:30:00,33.3580637488716
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-03 08:16:00,41.0371537970417
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-04 10:30:00,46.3751483184799
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-05 10:59:00,43.5323287192694
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-06 11:29:00,41.3960536436144
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-07 11:59:00,40.4126402913959
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-08 11:29:00,39.410921920058
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-09 07:29:00,39.3247858255534
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-10 07:00:00,30.296754526258
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-11 06:30:00,32.1071622597901
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-12 06:30:00,27.4736319857123
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-13 07:00:00,27.4736319857123
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-14 07:30:00,26.979109588091
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-15 08:00:00,29.3227441423728
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-15 20:30:00,24.0550810733934
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 02:30:00,23.7702382580254
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 08:30:00,20.7516292075305
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 14:30:00,14.7228580220615
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 00:30:00,11.4120997412534
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 06:30:00,11.2258652537804
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 12:30:00,7.95381414279279
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-18 07:30:00,7.99123652042543
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-19 07:30:00,10.6460594178389
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-20 07:30:00,10.093799527314
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-21 07:30:00,8.57704707136634
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-22 07:30:00,17.4584922067844
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-23 07:30:00,16.1544439094585
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-24 03:00:00,6.32003757202193
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-25 07:30:00,6.75613517956088
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-26 07:30:00,8.76567618217644
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 07:30:00,8.80031972409305
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 16:30:00,7.57588090560184
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 22:30:00,3.68832606106904
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-28 04:30:00,14.24450436667
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-28 22:30:00,5.27643606165431
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 04:30:00,10.9456656294744
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 10:30:00,11.3748143694417
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 16:30:00,9.4943587646556
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 22:30:00,3.08524064015079
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 04:30:00,7.47201482161273
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 10:30:00,7.47201482161273
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 16:30:00,10.0191192277579
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 22:30:00,9.98193289332298
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-31 04:30:00,10.132369883416
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-31 10:30:00,8.26656635803968
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-01 07:30:00,7.11490808406899
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-02 13:00:00,11.4034759347001
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-02 19:00:00,8.06652823177515
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 01:00:00,6.50823954279836
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 07:00:00,7.5131065095853
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 13:00:00,8.8105792816497
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 19:00:00,14.9929912243877
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 01:00:00,0.785639211830014
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 07:00:00,3.73366249798824
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 13:00:00,3.89882560392865
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 19:00:00,2.79642696699119
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-07 10:40:00,0.785639211830014
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-08 07:30:00,0.863025830841935
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-09 07:30:00,0.820069974610127
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-10 07:30:00,0.866369292635327
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-11 07:30:00,0.566993772167934
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-12 07:30:00,0.716873500396986
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-13 07:30:00,0.693326630232216
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-14 07:30:00,0.646977141708471
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-15 07:30:00,0.643756862006251
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-16 07:30:00,0.734127559978537
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-17 07:30:00,0.627406808790021
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-18 07:30:00,0.624185894764417
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-19 07:30:00,0.624185894764417
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-20 07:30:00,0.538877075940825
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-21 07:30:00,0.475480836140107
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-22 07:30:00,0.407630835420547
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-23 07:30:00,0.502620736468684
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 03:30:00,0.458065931961105
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 07:30:00,0.320511875225371
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 13:30:00,0.266206541072678
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 19:30:00,0.279981807384555
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-25 01:30:00,0.338675640241526
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-25 07:30:00,0.890411622147536
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-25 13:30:00,3.14096906916975
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-25 19:30:00,1.33334522967793
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-26 01:30:00,3.36784405747044
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-26 07:30:00,9.53824537184439
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-26 13:30:00,10.8713888351308
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-26 19:30:00,5.88533683793834
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-27 01:30:00,4.76302525428195
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-27 07:30:00,4.31640668400097
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-27 13:30:00,7.5000724440219
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-27 19:30:00,5.69710496755859
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-28 01:30:00,5.67282199185578
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-28 07:30:00,4.84888330551888
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-28 13:30:00,14.0186130427247
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-29 03:00:00,13.9598120683047
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-01 07:30:00,3.99367217325357
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-02 07:30:00,4.11438969392992
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-07 04:30:00,0.934246308194875
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-15 17:00:00,0.746784260887123
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-15 23:00:00,0.779082018522481
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-16 05:00:00,0.779082018522481
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-16 11:00:00,2.70548724902985
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-16 17:00:00,1.92513340626478
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-16 23:00:00,1.64863724603453
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-17 05:00:00,1.3791492532677
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-17 11:00:00,2.9669639197323
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-17 17:00:00,1.05494467213254
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-17 23:00:00,1.2951520204697
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-03-18 05:00:00,0.598773103192496
