"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-16 15:10:00,0.0673540180442633
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-23 12:20:00,3.49850897052976
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-30 13:10:00,0.277080191410883
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 08:18:00,72.7184882741147
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 14:02:00,62.6480668896207
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 02:32:00,51.1823481904953
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 15:02:00,36.766772473732
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 03:32:00,31.7516957810816
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 16:02:00,31.8937473816794
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-09 10:12:00,32.0631245842027
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-13 15:41:00,21.3983659274008
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-21 09:45:00,11.3712921495792
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-27 14:15:00,10.4735984899088
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:02:00,17.6724675139141
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:25:00,21.4618202005258
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 12:45:00,28.9112074017473
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 16:35:00,28.9722560154471
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 00:45:00,23.4649695745933
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 06:25:00,29.9042834509628
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 12:15:00,30.528164822297
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 17:55:00,32.120543699342
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 03:15:00,25.4921519035754
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 05:45:00,26.5811899993897
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 14:05:00,22.6277613826089
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 15:30:00,24.5643109749322
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-03 08:30:00,20.9958363834455
