"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1111019,"Russell River at East Russell","2013-2014",2014-01-04 12:00:00,0.473619258245428
1111019,"Russell River at East Russell","2013-2014",2014-01-23 08:05:00,0.30108339471081
1111019,"Russell River at East Russell","2013-2014",2014-01-24 15:35:00,5.79661194075783
1111019,"Russell River at East Russell","2013-2014",2014-01-28 09:55:00,2.21737451645074
1111019,"Russell River at East Russell","2013-2014",2014-01-29 09:58:00,32.1409004611149
1111019,"Russell River at East Russell","2013-2014",2014-01-30 10:04:00,7.68447154897638
1111019,"Russell River at East Russell","2013-2014",2014-01-31 12:30:00,3.34834644943514
1111019,"Russell River at East Russell","2013-2014",2014-02-03 11:22:00,11.3517898341154
1111019,"Russell River at East Russell","2013-2014",2014-02-03 14:40:00,7.68447154897638
1111019,"Russell River at East Russell","2013-2014",2014-02-04 10:15:00,1.91760456544666
1111019,"Russell River at East Russell","2013-2014",2014-02-04 13:00:00,1.13181535884107
1111019,"Russell River at East Russell","2013-2014",2014-02-06 09:52:00,0.301087719920812
1111019,"Russell River at East Russell","2013-2014",2014-02-11 12:25:00,1.64628457414551
1111019,"Russell River at East Russell","2013-2014",2014-02-12 13:05:00,1.13181535884107
1111019,"Russell River at East Russell","2013-2014",2014-02-24 14:30:00,0.161722305688927
1111019,"Russell River at East Russell","2013-2014",2014-02-27 10:15:00,0.161722305688927
1111019,"Russell River at East Russell","2013-2014",2014-03-13 11:32:00,0.961705943621971
1111019,"Russell River at East Russell","2013-2014",2014-03-20 11:01:00,14.047819619939
1111019,"Russell River at East Russell","2013-2014",2014-03-20 11:59:00,1.91760456544666
1111019,"Russell River at East Russell","2013-2014",2014-03-20 15:00:00,6.33961230286584
1111019,"Russell River at East Russell","2013-2014",2014-03-21 08:33:00,1.82521358828172
1111019,"Russell River at East Russell","2013-2014",2014-03-21 09:09:00,1.2773219624873
1111019,"Russell River at East Russell","2013-2014",2014-03-21 11:30:00,1.46347530809335
1111019,"Russell River at East Russell","2013-2014",2014-03-21 14:44:00,2.33961539341251
1111019,"Russell River at East Russell","2013-2014",2014-03-21 17:14:00,1.56299733722753
1111019,"Russell River at East Russell","2013-2014",2014-03-21 20:19:00,2.33961539341251
1111019,"Russell River at East Russell","2013-2014",2014-03-22 01:54:00,3.19893019765223
1111019,"Russell River at East Russell","2013-2014",2014-03-22 07:29:00,2.33961539341251
1111019,"Russell River at East Russell","2013-2014",2014-03-22 08:47:00,0.351234688431312
1111019,"Russell River at East Russell","2013-2014",2014-03-22 10:15:00,1.52872647981676
1111019,"Russell River at East Russell","2013-2014",2014-03-22 13:04:00,2.13094849492517
1111019,"Russell River at East Russell","2013-2014",2014-03-22 17:05:00,0.586529444830186
1111019,"Russell River at East Russell","2013-2014",2014-03-22 18:39:00,2.16654965255916
1111019,"Russell River at East Russell","2013-2014",2014-03-23 00:14:00,2.37360403797745
1111019,"Russell River at East Russell","2013-2014",2014-03-23 05:49:00,1.79103402149852
1111019,"Russell River at East Russell","2013-2014",2014-03-23 10:40:00,0.161722305688927
1111019,"Russell River at East Russell","2013-2014",2014-03-23 11:24:00,1.82521358828172
1111019,"Russell River at East Russell","2013-2014",2014-03-23 13:15:00,1.52872647981676
1111019,"Russell River at East Russell","2013-2014",2014-03-23 16:59:00,1.82521358828172
1111019,"Russell River at East Russell","2013-2014",2014-03-24 10:11:00,0.211939372788061
1111019,"Russell River at East Russell","2013-2014",2014-03-24 10:30:00,1.24397455193236
1111019,"Russell River at East Russell","2013-2014",2014-03-29 09:50:00,1.43319290623012
1111019,"Russell River at East Russell","2013-2014",2014-04-11 22:34:00,0.0627455212527828
1111019,"Russell River at East Russell","2013-2014",2014-04-12 05:54:00,0.0103468139183494
1111019,"Russell River at East Russell","2013-2014",2014-04-12 11:29:00,0.0103468139183494
1111019,"Russell River at East Russell","2013-2014",2014-04-12 17:04:00,0.161722305688927
1111019,"Russell River at East Russell","2013-2014",2014-04-12 22:39:00,0.0627455212527828
