"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"126001A","Sandy Creek at Homebush","2011-2012",2011-09-29 08:50:00,0.113012369881194
"126001A","Sandy Creek at Homebush","2011-2012",2011-11-01 09:10:00,4.70694296709077
"126001A","Sandy Creek at Homebush","2011-2012",2011-12-02 11:30:00,0.415135533667221
"126001A","Sandy Creek at Homebush","2011-2012",2011-12-07 09:30:00,61.5886376810473
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-03 09:15:00,56.0377215737941
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-16 09:30:00,27.503435217663
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-17 09:00:00,24.8453728041217
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-30 10:00:00,11.9936374902979
"126001A","Sandy Creek at Homebush","2011-2012",2012-01-31 09:30:00,14.1097506095143
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-02 08:15:00,13.3908825004992
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-02 14:00:00,8.54385891921486
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-03 09:45:00,8.35553723071697
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-03 15:20:00,7.71376175027612
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-06 08:30:00,12.1515040299328
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-24 11:50:00,14.9172025708254
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-27 10:40:00,7.10917235195646
"126001A","Sandy Creek at Homebush","2011-2012",2012-02-28 09:40:00,7.84252079668773
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-02 09:30:00,9.23538197010958
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-16 08:40:00,4.61708683124455
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-19 08:15:00,0.726504910508807
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-20 10:00:00,1.5885931659021e-05
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-21 09:30:00,0.585866437983407
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-22 08:30:00,1.30530065945608
"126001A","Sandy Creek at Homebush","2011-2012",2012-03-23 08:45:00,0.867708031936876
"126001A","Sandy Creek at Homebush","2011-2012",2012-05-08 09:15:00,0.65857402227385
"126001A","Sandy Creek at Homebush","2011-2012",2012-06-05 08:45:00,6.36976751576929
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-11 13:30:00,0.704140372118867
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-13 09:30:00,9.7427639793892
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-16 09:20:00,6.14418091912746
"126001A","Sandy Creek at Homebush","2012-2013",2012-07-18 07:45:00,3.48571279346586
"126001A","Sandy Creek at Homebush","2012-2013",2012-08-03 09:45:00,0.370831726469556
