"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"113006A","Tully River at Euramo","2011-2012",2011-10-19 15:50:00,0.351234686216217
"113006A","Tully River at Euramo","2011-2012",2011-10-20 09:03:00,0.75340855564231
"113006A","Tully River at Euramo","2011-2012",2011-10-20 17:05:00,0.943625245754265
"113006A","Tully River at Euramo","2011-2012",2011-10-24 18:26:00,0.52368376168711
"113006A","Tully River at Euramo","2011-2012",2011-10-25 16:50:00,0.0221916992324545
"113006A","Tully River at Euramo","2011-2012",2011-10-29 15:02:00,1.85251758377802e-07
"113006A","Tully River at Euramo","2011-2012",2011-11-25 16:50:00,26.7170339335752
"113006A","Tully River at Euramo","2011-2012",2011-11-27 17:14:00,0.6108662791388
"113006A","Tully River at Euramo","2011-2012",2011-11-29 10:06:00,2.52801516747511
"113006A","Tully River at Euramo","2011-2012",2011-11-30 18:06:00,4.18094128775692
"113006A","Tully River at Euramo","2011-2012",2011-12-01 16:42:00,2.27491283520029
"113006A","Tully River at Euramo","2011-2012",2011-12-02 17:12:00,0.69499734612003
"113006A","Tully River at Euramo","2011-2012",2012-01-19 13:52:00,3.31299661662426
"113006A","Tully River at Euramo","2011-2012",2012-01-24 17:46:00,0.0627570614052164
"113006A","Tully River at Euramo","2011-2012",2012-01-27 15:03:00,0.0627570614052164
"113006A","Tully River at Euramo","2011-2012",2012-02-02 13:41:00,3.26713419996775
"113006A","Tully River at Euramo","2011-2012",2012-02-03 17:22:00,1.21191560710255
"113006A","Tully River at Euramo","2011-2012",2012-02-04 11:21:00,1.75787148151147
"113006A","Tully River at Euramo","2011-2012",2012-02-04 17:58:00,1.46348668649793
"113006A","Tully River at Euramo","2011-2012",2012-02-05 17:12:00,1.43320428813155
"113006A","Tully River at Euramo","2011-2012",2012-02-06 14:02:00,0.523695250824452
"113006A","Tully River at Euramo","2011-2012",2012-02-07 09:46:00,0.323219605833547
"113006A","Tully River at Euramo","2011-2012",2012-02-08 12:46:00,0.161733834412114
"113006A","Tully River at Euramo","2011-2012",2012-02-10 18:25:00,0.0103583601214652
"113006A","Tully River at Euramo","2011-2012",2012-02-14 10:18:00,1.58879471467976e-05
"113006A","Tully River at Euramo","2011-2012",2012-02-17 10:04:00,3.24290309982629
"113006A","Tully River at Euramo","2011-2012",2012-02-18 17:36:00,0.163273280831489
"113006A","Tully River at Euramo","2011-2012",2012-02-27 14:23:00,5.44643576372499
"113006A","Tully River at Euramo","2011-2012",2012-02-28 15:54:00,1.84263334861177
"113006A","Tully River at Euramo","2011-2012",2012-02-29 17:14:00,1.16360344675248
"113006A","Tully River at Euramo","2011-2012",2012-03-01 09:08:00,2.3296151875208
"113006A","Tully River at Euramo","2011-2012",2012-03-01 16:57:00,2.95682047541698
"113006A","Tully River at Euramo","2011-2012",2012-03-02 11:20:00,2.06870950022446
"113006A","Tully River at Euramo","2011-2012",2012-03-03 13:42:00,0.783546638065713
"113006A","Tully River at Euramo","2011-2012",2012-03-04 16:31:00,0.28241107687077
"113006A","Tully River at Euramo","2011-2012",2012-03-06 17:04:00,0.172050957189207
"113006A","Tully River at Euramo","2011-2012",2012-03-08 18:15:00,1.58879471467976e-05
"113006A","Tully River at Euramo","2011-2012",2012-03-10 14:33:00,0.186612458879032
"113006A","Tully River at Euramo","2011-2012",2012-03-11 14:04:00,0.161733834412114
"113006A","Tully River at Euramo","2011-2012",2012-03-12 16:05:00,0.0627570614052164
"113006A","Tully River at Euramo","2011-2012",2012-03-13 11:00:00,0.0877785429145073
"113006A","Tully River at Euramo","2011-2012",2012-03-14 13:27:00,0.0169970828590493
"113006A","Tully River at Euramo","2011-2012",2012-03-16 11:30:00,1.58879471467976e-05
"113006A","Tully River at Euramo","2011-2012",2012-03-17 11:21:00,0.0305313080529501
"113006A","Tully River at Euramo","2011-2012",2012-03-18 11:27:00,0.0134438138524096
"113006A","Tully River at Euramo","2011-2012",2012-03-19 14:09:00,0.152270028666568
"113006A","Tully River at Euramo","2011-2012",2012-03-20 18:18:00,0.0789755889078814
"113006A","Tully River at Euramo","2011-2012",2012-03-22 16:44:00,0.0169970828590493
"113006A","Tully River at Euramo","2011-2012",2012-03-24 16:15:00,0.0103583601214652
"113006A","Tully River at Euramo","2011-2012",2012-03-26 12:56:00,0.106740698972652
"113006A","Tully River at Euramo","2011-2012",2012-03-26 18:15:00,0.0255366425209846
"113006A","Tully River at Euramo","2011-2012",2012-03-27 10:08:00,0.0210262475287437
"113006A","Tully River at Euramo","2011-2012",2012-03-27 16:21:00,0.0210262475287437
