"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"119101A","Barratta Creek at Northcote","2011-2012",2011-08-01 09:50:00,35.2461793116512
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-05 13:27:00,61.5284544537568
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-10 10:55:00,36.0285893698746
"119101A","Barratta Creek at Northcote","2011-2012",2011-10-18 10:00:00,45.2335998090711
"119101A","Barratta Creek at Northcote","2011-2012",2011-11-08 17:20:00,63.2107488460236
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-05 15:30:00,1e-11
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-19 15:15:00,35.2086340627039
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 09:35:00,52.2683413395037
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 12:35:00,56.9491194248268
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-29 16:15:00,55.3200345781297
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 09:25:00,52.8628106188889
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-30 12:45:00,44.9184615673483
"119101A","Barratta Creek at Northcote","2011-2012",2011-12-31 09:40:00,43.7688794738015
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-03 12:25:00,30.5175619590814
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-04 12:45:00,25.2619726032015
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-05 11:10:00,21.4105897974149
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-12 12:27:00,38.3343392824555
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 10:45:00,16.7147132677149
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 14:00:00,18.5446918112729
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-16 17:10:00,20.7041766742908
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 09:15:00,30.7812725082538
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-17 14:10:00,26.9455565214316
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-18 09:50:00,35.0975830718394
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-19 10:50:00,26.5275293720086
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-20 10:40:00,21.2486122286612
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-23 10:40:00,12.0856157147862
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-25 11:30:00,13.7960567900834
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-27 09:50:00,11.412475713179
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-30 15:35:00,8.64712614782182
"119101A","Barratta Creek at Northcote","2011-2012",2012-01-31 13:40:00,8.97188503408148
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-01 09:45:00,13.2322956421899
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-02 11:08:00,10.301375117906
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-03 09:40:00,9.68270728371905
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-03 17:30:00,13.1003232285623
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-04 09:10:00,10.4761918994702
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-04 13:00:00,11.151925356971
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-06 11:55:00,4.626629293712
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-08 10:55:00,3.33904795277433
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-08 15:35:00,5.97044967269291
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-09 08:40:00,0.71657985857746
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-09 14:55:00,1.54143635094132
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-10 11:20:00,2.77697440941517
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-14 14:40:00,2.79619828075667
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-15 10:30:00,0.907159303527982
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-15 13:00:00,2.3663069775165
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-16 09:35:00,3.35530181176338
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-17 13:15:00,4.50531637629145
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-20 15:20:00,4.01814030121589
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-21 15:05:00,4.64021872532164
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-22 11:25:00,3.594838940533
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-23 11:10:00,4.59293814656608
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-24 14:00:00,3.49409279824539
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-27 12:35:00,4.28525866858139
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-28 11:40:00,5.77040538565528
"119101A","Barratta Creek at Northcote","2011-2012",2012-02-29 11:05:00,3.75741197510556
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-01 11:45:00,4.26324814947521
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-02 10:05:00,3.59431317871175
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-05 11:05:00,4.82303377961679
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-06 10:15:00,2.76654283494915
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-07 11:35:00,4.53454405587092
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-08 10:00:00,44.3080642421898
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-09 10:20:00,21.6359231267229
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-12 10:00:00,9.61074497056257
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-13 09:45:00,5.14137282890268
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-13 10:20:00,6.20644841108134
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-16 09:45:00,5.29370081891867
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-16 14:35:00,4.04199506530268
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-17 10:40:00,2.73974148346195
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-17 17:15:00,2.1547179360786
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-18 10:25:00,2.05386631088227
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-18 16:40:00,1.09007152526508
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-19 11:00:00,0.417250457397589
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-19 15:20:00,0.725012848171103
"119101A","Barratta Creek at Northcote","2011-2012",2012-03-22 16:40:00,0.0993623195860049
