"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-10-05 08:50:00,0.32836966293609
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-19 14:25:00,0.192476065411784
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2011-12-30 10:50:00,0.492489382441619
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-05 12:00:00,3.6000523368192
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-16 16:05:00,0.125720647320415
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 10:05:00,2.53059457713837
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-17 15:15:00,2.47521780819988
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-18 10:45:00,2.58888242924852
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-19 11:35:00,1.64058764189958
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-20 09:55:00,0.0932986864581653
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-24 13:00:00,0.044826333072645
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-27 10:40:00,0.044826333072645
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-01-31 14:15:00,0.0226441784695663
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-03 10:25:00,0.416578717467908
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-06 12:50:00,0.0123185499207312
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-07 11:45:00,0.0123029790994655
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-08 11:35:00,0.0123029790994655
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-09 15:40:00,0.0123029790994655
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-13 11:40:00,0.0123165026906458
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-15 13:35:00,0.0123165026906458
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-17 14:00:00,0.0123207334376541
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-21 16:00:00,0.0123255057153604
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-24 14:38:00,0.0870376060621014
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-02-27 13:08:00,0.106125081000663
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-01 12:25:00,0.0426373577384731
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-06 11:30:00,0.0124288083064417
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-08 15:10:00,0.139259910347411
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-09 11:10:00,0.0840746102909851
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-12 10:40:00,0.0124782839507454
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-15 09:50:00,0.0123779974973259
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-16 13:55:00,0.080855268671165
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-19 09:55:00,0.0123572831042584
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-20 09:55:00,0.0510104434310432
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-20 13:40:00,0.045414745522343
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-20 16:05:00,0.0426160174252788
"120001A","Burdekin River at Home Hill Inkerman Bridge","2011-2012",2012-03-21 09:40:00,0.0123029790994655
