"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"130504B","Comet River at Comet Weir","2011-2012",2011-11-22 09:00:00,0.192542300680176
"130504B","Comet River at Comet Weir","2011-2012",2011-12-05 16:00:00,0.0105712982524375
"130504B","Comet River at Comet Weir","2011-2012",2011-12-12 09:30:00,0.000404174123891377
"130504B","Comet River at Comet Weir","2011-2012",2011-12-13 09:30:00,1.51397393947273
"130504B","Comet River at Comet Weir","2011-2012",2011-12-15 09:30:00,2.65501892477603
"130504B","Comet River at Comet Weir","2011-2012",2011-12-16 11:00:00,3.5417925471954
"130504B","Comet River at Comet Weir","2011-2012",2012-02-01 15:00:00,7.08147399559761
"130504B","Comet River at Comet Weir","2011-2012",2012-02-06 12:00:00,2.26719729607567
"130504B","Comet River at Comet Weir","2011-2012",2012-02-14 09:30:00,4.02295969125159
"130504B","Comet River at Comet Weir","2011-2012",2012-02-24 16:15:00,1.93851119237337
"130504B","Comet River at Comet Weir","2011-2012",2012-02-28 09:45:00,12.5460566758103
"130504B","Comet River at Comet Weir","2011-2012",2012-03-23 09:55:00,3.05519740201274
"130504B","Comet River at Comet Weir","2011-2012",2012-03-26 13:15:00,2.78230336657285
"130504B","Comet River at Comet Weir","2011-2012",2012-03-29 10:00:00,1.72754274526122
"130504B","Comet River at Comet Weir","2012-2013",2013-01-29 09:30:00,0.0022143137199393
"130504B","Comet River at Comet Weir","2012-2013",2013-01-30 08:45:00,5.10386365671222
"130504B","Comet River at Comet Weir","2012-2013",2013-01-31 08:45:00,9.68626971837812
"130504B","Comet River at Comet Weir","2012-2013",2013-02-01 08:45:00,5.85492249851305
"130504B","Comet River at Comet Weir","2012-2013",2013-03-05 14:15:00,5.88125244373889
"130504B","Comet River at Comet Weir","2012-2013",2013-03-06 11:45:00,7.60245673156289
"130504B","Comet River at Comet Weir","2012-2013",2013-03-07 11:40:00,2.99545297970676
"130504B","Comet River at Comet Weir","2012-2013",2013-03-11 11:45:00,1.75298270914794
"130504B","Comet River at Comet Weir","2014-2015",2015-01-21 17:00:00,5.34503238863309
"130504B","Comet River at Comet Weir","2014-2015",2015-01-26 10:30:00,6.26342841596987
"130504B","Comet River at Comet Weir","2014-2015",2015-01-27 15:40:00,5.40714240170889
"130504B","Comet River at Comet Weir","2014-2015",2015-01-29 14:30:00,26.948917231857
"130504B","Comet River at Comet Weir","2014-2015",2015-01-30 11:00:00,13.7189335544079
"130504B","Comet River at Comet Weir","2014-2015",2015-01-31 12:00:00,6.05011416182017
"130504B","Comet River at Comet Weir","2014-2015",2015-02-02 11:15:00,6.02784295070875
"130504B","Comet River at Comet Weir","2014-2015",2015-02-04 11:00:00,9.01678104649745
"130504B","Comet River at Comet Weir","2014-2015",2015-02-05 17:00:00,17.9490690367427
"130504B","Comet River at Comet Weir","2014-2015",2015-02-06 17:00:00,22.2656574999984
"130504B","Comet River at Comet Weir","2014-2015",2015-02-07 17:00:00,13.9520915602508
"130504B","Comet River at Comet Weir","2014-2015",2015-02-09 17:00:00,12.6150291228551
"130504B","Comet River at Comet Weir","2014-2015",2015-02-11 11:00:00,7.93455726972447
"130504B","Comet River at Comet Weir","2014-2015",2015-02-13 12:15:00,6.94272151075596
"130504B","Comet River at Comet Weir","2014-2015",2015-04-23 11:30:00,2.73787320573942
"130504B","Comet River at Comet Weir","2014-2015",2015-06-18 11:00:00,3.94701841559327
"130504B","Comet River at Comet Weir","2015-2016",2015-07-24 11:20:00,1.23184138448269
"130504B","Comet River at Comet Weir","2015-2016",2015-08-29 11:00:00,0.230549525466339
"130504B","Comet River at Comet Weir","2015-2016",2015-09-29 10:40:00,0.286396415940382
"130504B","Comet River at Comet Weir","2015-2016",2015-11-10 16:45:00,0.195539195282302
"130504B","Comet River at Comet Weir","2015-2016",2016-01-12 11:30:00,9.71923158944553
"130504B","Comet River at Comet Weir","2015-2016",2016-02-02 10:30:00,13.3674642294446
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 09:00:00,4.2167533437618
"130504B","Comet River at Comet Weir","2015-2016",2016-02-04 15:20:00,7.11383527470284
"130504B","Comet River at Comet Weir","2015-2016",2016-02-05 10:40:00,9.05746262353704
"130504B","Comet River at Comet Weir","2015-2016",2016-02-06 13:30:00,11.0665608764474
"130504B","Comet River at Comet Weir","2015-2016",2016-02-07 11:20:00,16.5561780899539
"130504B","Comet River at Comet Weir","2015-2016",2016-02-10 09:15:00,10.6177493161858
"130504B","Comet River at Comet Weir","2015-2016",2016-03-14 17:30:00,4.94782519328256
"130504B","Comet River at Comet Weir","2015-2016",2016-03-22 09:00:00,14.1221577973076
"130504B","Comet River at Comet Weir","2015-2016",2016-03-23 10:00:00,4.45612934077816
"130504B","Comet River at Comet Weir","2015-2016",2016-04-28 16:00:00,5.3933201361215
"130504B","Comet River at Comet Weir","2015-2016",2016-05-31 11:30:00,4.26892432245263
"130504B","Comet River at Comet Weir","2015-2016",2016-06-04 16:45:00,4.15886757077415
"130504B","Comet River at Comet Weir","2015-2016",2016-06-17 11:00:00,4.10287750042856
"130504B","Comet River at Comet Weir","2015-2016",2016-06-19 16:45:00,5.02316208173381
"130504B","Comet River at Comet Weir","2015-2016",2016-06-21 15:30:00,3.90978009766508
"130504B","Comet River at Comet Weir","2016-2017",2016-07-16 11:00:00,4.30808547902902
"130504B","Comet River at Comet Weir","2016-2017",2016-07-16 17:30:00,2.31702170873607
"130504B","Comet River at Comet Weir","2016-2017",2016-07-17 16:45:00,19.0869725199792
"130504B","Comet River at Comet Weir","2016-2017",2016-08-19 09:00:00,4.83349189103689
"130504B","Comet River at Comet Weir","2016-2017",2016-10-07 13:15:00,3.45460039458972
"130504B","Comet River at Comet Weir","2016-2017",2016-10-29 11:45:00,2.77936847539231
"130504B","Comet River at Comet Weir","2016-2017",2016-12-07 11:00:00,1.52110188261113
"130504B","Comet River at Comet Weir","2016-2017",2016-12-09 10:30:00,1.56912272057745
"130504B","Comet River at Comet Weir","2016-2017",2017-02-22 07:20:00,3.93533415675483
"130504B","Comet River at Comet Weir","2016-2017",2017-03-16 11:00:00,43.7316171351091
"130504B","Comet River at Comet Weir","2016-2017",2017-03-24 16:20:00,16.6527856451961
"130504B","Comet River at Comet Weir","2016-2017",2017-03-28 15:30:00,15.3697487958716
"130504B","Comet River at Comet Weir","2016-2017",2017-03-30 09:30:00,8.94112288650912
"130504B","Comet River at Comet Weir","2016-2017",2017-03-31 09:15:00,9.23375979727528
"130504B","Comet River at Comet Weir","2016-2017",2017-03-31 16:30:00,8.11458313879206
"130504B","Comet River at Comet Weir","2016-2017",2017-04-01 16:40:00,5.52401945621324
"130504B","Comet River at Comet Weir","2016-2017",2017-04-03 16:10:00,2.53099473362811
"130504B","Comet River at Comet Weir","2016-2017",2017-04-04 16:15:00,2.90365660289136
"130504B","Comet River at Comet Weir","2016-2017",2017-04-05 16:10:00,2.65019279683176
"130504B","Comet River at Comet Weir","2016-2017",2017-04-10 15:50:00,2.91248037623887
"130504B","Comet River at Comet Weir","2016-2017",2017-05-02 11:30:00,2.4945454586128
"130504B","Comet River at Comet Weir","2016-2017",2017-06-09 11:00:00,2.75349538867973
"130504B","Comet River at Comet Weir","2017-2018",2017-07-18 12:55:00,13.5902978580668
"130504B","Comet River at Comet Weir","2017-2018",2017-08-08 10:55:00,3.70935055566326
"130504B","Comet River at Comet Weir","2017-2018",2017-09-11 10:50:00,1.87185900828583
"130504B","Comet River at Comet Weir","2017-2018",2017-10-10 08:15:00,1.38471954156587
"130504B","Comet River at Comet Weir","2017-2018",2017-10-14 11:40:00,1.38581133354766
"130504B","Comet River at Comet Weir","2017-2018",2017-10-15 14:40:00,1.97957346177613
"130504B","Comet River at Comet Weir","2017-2018",2017-10-16 13:50:00,2.38894822518605
"130504B","Comet River at Comet Weir","2017-2018",2017-10-17 15:50:00,0.496715873539333
"130504B","Comet River at Comet Weir","2017-2018",2017-11-07 07:15:00,0.0226927422816048
"130504B","Comet River at Comet Weir","2017-2018",2017-12-04 16:45:00,14.054215433337
"130504B","Comet River at Comet Weir","2017-2018",2018-01-22 10:20:00,8.46176678409588
"130504B","Comet River at Comet Weir","2017-2018",2018-02-12 10:10:00,8.86101247981627
"130504B","Comet River at Comet Weir","2017-2018",2018-02-21 15:25:00,6.42313301219982
"130504B","Comet River at Comet Weir","2017-2018",2018-02-22 12:10:00,24.2397617395606
"130504B","Comet River at Comet Weir","2017-2018",2018-02-23 10:15:00,25.0397071127958
"130504B","Comet River at Comet Weir","2017-2018",2018-02-24 14:40:00,14.8682126494674
"130504B","Comet River at Comet Weir","2017-2018",2018-02-25 15:00:00,17.1367529140625
"130504B","Comet River at Comet Weir","2017-2018",2018-02-26 15:10:00,23.1165932307025
"130504B","Comet River at Comet Weir","2017-2018",2018-03-02 16:00:00,5.66672921347534
"130504B","Comet River at Comet Weir","2017-2018",2018-03-13 12:00:00,2.13788424388169
"130504B","Comet River at Comet Weir","2017-2018",2018-04-20 10:30:00,2.21720421160939
"130504B","Comet River at Comet Weir","2017-2018",2018-05-21 13:35:00,2.18634913185757
"130504B","Comet River at Comet Weir","2017-2018",2018-06-11 11:20:00,1.45156795531866
"130504B","Comet River at Comet Weir","2018-2019",2018-07-16 09:35:00,2.4854799698302
"130504B","Comet River at Comet Weir","2018-2019",2018-08-21 13:00:00,1.48382449231659
"130504B","Comet River at Comet Weir","2018-2019",2018-09-03 10:15:00,0.253757609566996
"130504B","Comet River at Comet Weir","2018-2019",2018-10-15 15:00:00,0.345830036879691
"130504B","Comet River at Comet Weir","2018-2019",2018-10-19 10:30:00,3.16092953157515
"130504B","Comet River at Comet Weir","2018-2019",2018-11-03 11:15:00,6.92215914609685
"130504B","Comet River at Comet Weir","2018-2019",2018-12-17 10:20:00,0.558153979307996
"130504B","Comet River at Comet Weir","2018-2019",2019-01-17 11:15:00,1.35806772894079
