"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1110056,"Mulgrave River at Deeral","2013-2014",2013-11-25 18:00:00,0.974280377042513
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-10 16:00:00,0.113236623930524
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-13 12:00:00,18.7996489071499
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-23 09:10:00,0.123505122915457
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-24 14:43:00,17.0355622732713
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-28 10:43:00,0.624513730937282
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-29 10:40:00,0.411818895172722
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-30 08:51:00,1.44470593402694
1110056,"Mulgrave River at Deeral","2013-2014",2014-01-31 11:20:00,0.0591347733852499
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-03 09:28:00,44.2225636403649
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-03 12:32:00,17.2753788341336
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-04 08:40:00,1.28171903844287
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-04 11:30:00,2.46063562316299
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-06 08:43:00,0.822598595106727
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-07 15:45:00,0.12351665625111
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-10 11:30:00,0.145676447650112
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-11 13:20:00,0.0694826883458122
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-12 13:42:00,0.0694826883458122
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-24 13:22:00,1.64898083281392
1110056,"Mulgrave River at Deeral","2013-2014",2014-02-27 11:15:00,0.0591463317221708
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-07 13:30:00,0.0591463317221708
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-13 09:37:00,0.123516673807833
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 11:40:00,4.50015415072627
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 12:00:00,4.70420712344966
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 14:16:00,4.29213785535304
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 17:35:00,2.93551085453573
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-20 23:10:00,1.57204809339325
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 04:45:00,0.0694826883458122
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 09:30:00,3.21817017993615
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 10:20:00,0.144010549580131
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 10:58:00,2.93464409807623
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 15:55:00,2.89872051835998
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 18:05:00,0.303258763056458
1110056,"Mulgrave River at Deeral","2013-2014",2014-03-21 21:30:00,1.78116258296606
