"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1120049,"North Johnstone River at Goondi","2011-2012",2012-02-29 14:12:00,1.28420472769718
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-06 12:52:00,3.15422939297231
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-10 17:01:00,2.02566532788246
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-13 15:45:00,0.815082895830332
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-14 09:18:00,1.09509122107525
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-16 10:15:00,0.815082895830332
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-18 09:46:00,3.67906352446605
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-18 13:12:00,4.29535244240248
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-18 15:28:00,3.12951151085545
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-19 11:12:00,1.44752744588574
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-20 10:00:00,0.332937083854257
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-21 12:09:00,3.12951151085545
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-23 13:31:00,3.12951151085545
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-26 11:22:00,1.715830866794
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-26 16:54:00,0.319256413196223
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-27 08:37:00,0.332937083854257
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-27 14:56:00,0.853238993492489
1120049,"North Johnstone River at Goondi","2011-2012",2012-03-29 09:11:00,2.3833860472986
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-02 08:58:00,3.02097381363406
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-13 14:55:00,0.237713492591651
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-16 09:47:00,0.535309079351565
1120049,"North Johnstone River at Goondi","2011-2012",2012-04-27 09:41:00,1.09509551183904
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-25 11:35:00,0.237713524256078
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-26 17:40:00,2.12657119785347
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-28 10:28:00,3.12951151086301
1120049,"North Johnstone River at Goondi","2011-2012",2012-05-31 10:21:00,2.27992346133461
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-01 09:16:00,1.63445578450323
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-04 14:42:00,1.44752744589344
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-13 10:51:00,0.386333151640672
1120049,"North Johnstone River at Goondi","2011-2012",2012-06-25 10:22:00,0.000228848111261115
1120049,"North Johnstone River at Goondi","2012-2013",2013-03-23 15:12:00,0.189166067041069
1120049,"North Johnstone River at Goondi","2012-2013",2013-03-27 15:42:00,0.74276242227006
1120049,"North Johnstone River at Goondi","2013-2014",2013-07-23 14:45:00,0.0444687053822279
1120049,"North Johnstone River at Goondi","2013-2014",2013-08-15 14:02:00,0.0444687053822279
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-21 12:00:00,1.29924342826522
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-22 09:40:00,0.742762439717948
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-22 16:15:00,2.13936254263681
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-23 12:25:00,0.416333444344519
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-24 09:30:00,3.83906547772882
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-24 17:00:00,3.28809293930071
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-25 10:45:00,1.5890861015939
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-26 08:00:00,2.59489282511288
1120049,"North Johnstone River at Goondi","2013-2014",2014-03-28 12:30:00,2.59489282511288
1120049,"North Johnstone River at Goondi","2013-2014",2014-04-09 15:00:00,1.5890861015939
1120049,"North Johnstone River at Goondi","2013-2014",2014-04-14 14:55:00,0.416337764554631
1120049,"North Johnstone River at Goondi","2013-2014",2014-04-15 08:30:00,0.742766745766688
1120049,"North Johnstone River at Goondi","2013-2014",2014-04-15 18:00:00,0.742766745766688
1120049,"North Johnstone River at Goondi","2013-2014",2014-04-16 12:00:00,1.1393723078052
1120049,"North Johnstone River at Goondi","2013-2014",2014-04-17 09:15:00,1.1393723078052
1120049,"North Johnstone River at Goondi","2013-2014",2014-06-12 09:00:00,1.1393723078052
1120049,"North Johnstone River at Goondi","2014-2015",2014-08-28 12:25:00,0.178842089919862
1120049,"North Johnstone River at Goondi","2014-2015",2014-11-05 11:25:00,0.00388257737737874
1120049,"North Johnstone River at Goondi","2014-2015",2015-01-03 10:20:00,0.0022143137199393
1120049,"North Johnstone River at Goondi","2014-2015",2015-01-08 11:15:00,3.3249095793765
1120049,"North Johnstone River at Goondi","2014-2015",2015-01-09 12:40:00,1.61545584651519
1120049,"North Johnstone River at Goondi","2014-2015",2015-01-10 11:25:00,2.08244293544179
1120049,"North Johnstone River at Goondi","2014-2015",2015-01-22 13:15:00,0.756498039784681
1120049,"North Johnstone River at Goondi","2014-2015",2015-01-23 11:00:00,0.745908403265128
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-07 16:30:00,2.81758209559293
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-08 16:00:00,0.19194683719177
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-10 14:15:00,0.430114216916966
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-13 11:00:00,1.75166512477799
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-14 13:15:00,1.65426456372333
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-15 12:05:00,1.60270031537979
1120049,"North Johnstone River at Goondi","2014-2015",2015-02-26 16:30:00,2.59829414918105
1120049,"North Johnstone River at Goondi","2014-2015",2015-03-03 13:40:00,1.59252254778981
1120049,"North Johnstone River at Goondi","2014-2015",2015-03-11 07:05:00,2.26170091144379
1120049,"North Johnstone River at Goondi","2014-2015",2015-03-11 11:00:00,3.69336445777799
1120049,"North Johnstone River at Goondi","2014-2015",2015-03-12 12:15:00,1.80807788348007
1120049,"North Johnstone River at Goondi","2014-2015",2015-03-31 16:45:00,1.14282475352344
1120049,"North Johnstone River at Goondi","2014-2015",2015-05-02 17:50:00,0.182332427521559
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-10 11:55:00,0.419815460340289
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-11 12:15:00,0.0479637414715683
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-11 18:15:00,0.0479637414715683
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-12 13:15:00,0.00737903259759864
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-13 18:15:00,0.746233041884292
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-14 15:45:00,0.0479637414715683
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-15 17:55:00,0.0479637414715683
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-16 18:00:00,0.0479637414715683
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-17 17:45:00,0.182332427521559
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-18 16:35:00,0.182332427521559
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-21 18:00:00,1.59252284224838
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-24 17:10:00,0.746233041884292
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-29 17:30:00,2.08134899121744
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-30 12:05:00,0.182332427521559
1120049,"North Johnstone River at Goondi","2014-2015",2015-06-30 23:30:00,0.182332427521559
1120049,"North Johnstone River at Goondi","2015-2016",2015-07-01 16:05:00,0.416333480983111
1120049,"North Johnstone River at Goondi","2015-2016",2015-07-03 15:15:00,0.742762476236447
1120049,"North Johnstone River at Goondi","2015-2016",2015-09-30 13:30:00,0.0444687597282778
1120049,"North Johnstone River at Goondi","2015-2016",2015-10-11 14:30:00,0.0444687597282778
1120049,"North Johnstone River at Goondi","2015-2016",2015-10-20 17:00:00,0.416333480983111
1120049,"North Johnstone River at Goondi","2015-2016",2015-11-26 10:45:00,0.178842144192848
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-06 16:30:00,0.0444687597282778
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-23 13:50:00,0.742762476236447
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-24 12:30:00,0.426632895619383
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-24 23:00:00,0.178842144192848
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-25 18:00:00,0.742762568251376
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-26 17:00:00,0.742762478463166
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-28 17:00:00,2.65600175702325
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-29 13:00:00,0.416333483217157
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-30 15:30:00,2.07792511221664
1120049,"North Johnstone River at Goondi","2015-2016",2015-12-31 16:00:00,1.13936805755268
1120049,"North Johnstone River at Goondi","2015-2016",2016-01-03 15:30:00,1.58908187067565
