"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-09 14:00:00,0.000333179813416518
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-15 09:00:00,0.000224507825896669
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-23 09:30:00,0.113671746679744
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 09:45:00,0.0224159740209173
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-09-29 13:45:00,0.000228846087979573
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-12 09:00:00,0.000228846087979573
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-10-20 09:10:00,0.0124891275408823
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-01 09:50:00,0.147400831887223
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-10 09:10:00,1.82552258707503
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-18 09:15:00,1.87697006734679
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-11-23 10:10:00,1.62784529379564
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-02 10:45:00,0.595880230115975
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-14 09:45:00,14.3276138829137
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-19 09:15:00,18.838817281712
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-28 19:30:00,24.153239128629
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 01:30:00,23.9371447824215
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 07:30:00,46.3054209287816
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 13:30:00,38.0097471717621
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2011-12-29 19:30:00,34.0925674851872
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-03 08:16:00,42.0567331481496
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-04 10:30:00,47.3024236282997
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-05 10:59:00,44.5087617673758
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-06 11:29:00,42.4094269362254
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-07 11:59:00,41.6829635861717
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-08 11:29:00,40.7026005188469
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-09 07:29:00,40.6183007313695
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-10 07:00:00,31.7827350576959
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-11 06:30:00,33.6668118307478
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-12 06:30:00,28.8846864799219
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-13 07:00:00,28.8846864799219
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-14 07:30:00,28.399785383777
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-15 08:00:00,30.697822782691
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-15 20:30:00,25.3683126445527
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 02:30:00,24.88655212576
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 08:30:00,21.9121477935711
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-16 14:30:00,14.7333361038998
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 00:30:00,11.4229846190444
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 06:30:00,11.2367730143763
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-17 12:30:00,7.96512394335538
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-18 07:30:00,9.00532441089212
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-19 07:30:00,12.3845068664821
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-20 07:30:00,11.8429916033504
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-21 07:30:00,10.1579231827823
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-22 07:30:00,19.3546543278684
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-23 07:30:00,17.9419197027493
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-24 03:00:00,7.69189337738545
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-25 07:30:00,8.12160474160084
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-26 07:30:00,10.1017178877239
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 07:30:00,9.80549018704316
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 16:30:00,7.58723714317318
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-27 22:30:00,3.70015996612392
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-28 04:30:00,15.5003137359025
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-28 22:30:00,5.28807483415469
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 04:30:00,11.9271908523274
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 10:30:00,12.3516096674055
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 16:30:00,10.8197295924066
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-29 22:30:00,3.09714864687288
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 04:30:00,7.48338382130651
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 10:30:00,7.48338382130651
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 16:30:00,10.0301752623616
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-30 22:30:00,9.99299349704625
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-31 04:30:00,10.1434120028063
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-01-31 10:30:00,8.27783773044637
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-01 07:30:00,7.12632096180014
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-02 13:00:00,11.4143618721062
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-02 19:00:00,8.07782418305266
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 01:00:00,6.51972696245805
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 07:00:00,7.52447046030512
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 13:00:00,8.82178381068192
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-03 19:00:00,15.0034361147079
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 01:00:00,0.797829772720815
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 07:00:00,3.7454908325129
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 13:00:00,3.91063364470869
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-04 19:00:00,2.80837046051823
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-07 10:40:00,0.797829772720815
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-08 07:30:00,0.875206883166801
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-09 07:30:00,0.832256304961043
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-10 07:30:00,0.878549934145934
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-11 07:30:00,0.579211198227492
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-12 07:30:00,0.729072510594775
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-13 07:30:00,0.705528533655875
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-14 07:30:00,0.659184740136942
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-15 07:30:00,0.655964856113489
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-16 07:30:00,0.746324450153968
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-17 07:30:00,0.639616811843513
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-18 07:30:00,0.636396293574615
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-19 07:30:00,0.636396293574615
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-20 07:30:00,0.551097956725022
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-21 07:30:00,0.487709506479328
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-22 07:30:00,0.419867842552524
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-23 07:30:00,0.514846072103081
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 03:30:00,0.470296742085818
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 07:30:00,0.332759586745113
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 13:30:00,0.27846092513939
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-24 19:30:00,0.292234498871469
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-25 01:30:00,0.350921119962544
"125013A","Pioneer River at Dumbleton Pump Station Headwater","2011-2012",2012-02-25 07:30:00,0.902589309554724
