"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-16 15:10:00,0.92106180837237
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-23 12:20:00,6.64715424556826
"122013A","Proserpine River at Glen Isla","2016-2017",2016-12-30 13:10:00,1.92174346034594
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 08:18:00,87.5536829405891
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-06 14:02:00,82.9947042372125
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 02:32:00,76.0759889373177
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-07 15:02:00,64.9340456422022
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 03:32:00,58.3285325067134
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-08 16:02:00,58.242956297432
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-09 10:12:00,58.3285011464387
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-13 15:41:00,47.1923320636235
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-21 09:45:00,33.9535477189783
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-27 14:15:00,25.0929360677092
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:02:00,44.6850672528652
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 11:25:00,46.1520013021404
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 12:45:00,60.929657689482
"122013A","Proserpine River at Glen Isla","2016-2017",2017-01-31 16:35:00,62.5915768484616
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 00:45:00,56.6359025631461
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 06:25:00,61.2129030643384
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 12:15:00,61.8790140773766
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-01 17:55:00,64.4556990822344
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 03:15:00,56.3890337906836
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 05:45:00,55.3339529220879
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 14:05:00,50.5168352547606
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-02 15:30:00,51.1418813644573
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-03 08:30:00,47.6009095746842
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-10 12:40:00,14.7135466253157
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-17 10:40:00,6.96852142676415
"122013A","Proserpine River at Glen Isla","2016-2017",2017-02-23 14:40:00,7.18635377616854
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-02 15:30:00,4.89806618541472
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-20 10:20:00,4.48510603377082
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-20 18:25:00,25.2011503666494
"122013A","Proserpine River at Glen Isla","2016-2017",2017-03-23 06:57:00,30.0267169528862
