"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
1111019,"Russell River at East Russell","2013-2014",2014-01-04 12:00:00,0.475503098182473
1111019,"Russell River at East Russell","2013-2014",2014-01-23 08:05:00,0.760687388705372
1111019,"Russell River at East Russell","2013-2014",2014-01-24 15:35:00,6.23088198976207
1111019,"Russell River at East Russell","2013-2014",2014-01-28 09:55:00,2.30468854033878
1111019,"Russell River at East Russell","2013-2014",2014-01-29 09:58:00,35.52569573645
1111019,"Russell River at East Russell","2013-2014",2014-01-30 10:04:00,8.12112304677554
1111019,"Russell River at East Russell","2013-2014",2014-01-31 12:30:00,3.80550777424962
1111019,"Russell River at East Russell","2013-2014",2014-02-03 11:22:00,12.8101238405866
1111019,"Russell River at East Russell","2013-2014",2014-02-03 14:40:00,8.78821642676376
1111019,"Russell River at East Russell","2013-2014",2014-02-04 10:15:00,6.12822821590933
1111019,"Russell River at East Russell","2013-2014",2014-02-04 13:00:00,3.75213316585429
1111019,"Russell River at East Russell","2013-2014",2014-02-06 09:52:00,1.49310996792746
1111019,"Russell River at East Russell","2013-2014",2014-02-11 12:25:00,2.1114966512891
1111019,"Russell River at East Russell","2013-2014",2014-02-12 13:05:00,1.92201164824665
1111019,"Russell River at East Russell","2013-2014",2014-02-24 14:30:00,0.633956347316189
1111019,"Russell River at East Russell","2013-2014",2014-02-27 10:15:00,0.633956347316189
1111019,"Russell River at East Russell","2013-2014",2014-03-13 11:32:00,1.19508254092044
1111019,"Russell River at East Russell","2013-2014",2014-03-20 11:01:00,16.9649279059821
1111019,"Russell River at East Russell","2013-2014",2014-03-20 11:59:00,3.59842749381147
1111019,"Russell River at East Russell","2013-2014",2014-03-20 15:00:00,8.01012902866907
1111019,"Russell River at East Russell","2013-2014",2014-03-21 08:33:00,1.92470967500346
1111019,"Russell River at East Russell","2013-2014",2014-03-21 09:09:00,1.33732840175508
1111019,"Russell River at East Russell","2013-2014",2014-03-21 11:30:00,1.52336859808633
1111019,"Russell River at East Russell","2013-2014",2014-03-21 14:44:00,3.42227699239537
1111019,"Russell River at East Russell","2013-2014",2014-03-21 17:14:00,1.66275916927766
1111019,"Russell River at East Russell","2013-2014",2014-03-21 20:19:00,2.39897614065172
1111019,"Russell River at East Russell","2013-2014",2014-03-22 01:54:00,3.29703407939045
1111019,"Russell River at East Russell","2013-2014",2014-03-22 07:29:00,2.43859015517409
1111019,"Russell River at East Russell","2013-2014",2014-03-22 08:47:00,0.822572338408933
1111019,"Russell River at East Russell","2013-2014",2014-03-22 10:15:00,1.62852304396385
1111019,"Russell River at East Russell","2013-2014",2014-03-22 13:04:00,3.38526307001938
1111019,"Russell River at East Russell","2013-2014",2014-03-22 17:05:00,0.820790118490311
1111019,"Russell River at East Russell","2013-2014",2014-03-22 18:39:00,3.42040809094172
1111019,"Russell River at East Russell","2013-2014",2014-03-23 00:14:00,3.62480881457625
1111019,"Russell River at East Russell","2013-2014",2014-03-23 05:49:00,3.17052727847208
1111019,"Russell River at East Russell","2013-2014",2014-03-23 10:40:00,0.220742220063774
1111019,"Russell River at East Russell","2013-2014",2014-03-23 11:24:00,3.33435236341278
1111019,"Russell River at East Russell","2013-2014",2014-03-23 13:15:00,2.79075942256872
1111019,"Russell River at East Russell","2013-2014",2014-03-23 16:59:00,3.33435236341278
1111019,"Russell River at East Russell","2013-2014",2014-03-24 10:11:00,0.683935888196907
1111019,"Russell River at East Russell","2013-2014",2014-03-24 10:30:00,2.50965694797821
1111019,"Russell River at East Russell","2013-2014",2014-03-29 09:50:00,2.22098045898778
1111019,"Russell River at East Russell","2013-2014",2014-04-11 22:34:00,0.298240453953491
1111019,"Russell River at East Russell","2013-2014",2014-04-12 05:54:00,0.111682193075235
1111019,"Russell River at East Russell","2013-2014",2014-04-12 11:29:00,0.111682193075235
1111019,"Russell River at East Russell","2013-2014",2014-04-12 17:04:00,0.22240683801884
1111019,"Russell River at East Russell","2013-2014",2014-04-12 22:39:00,0.121823946265798
1111019,"Russell River at East Russell","2013-2014",2014-04-13 04:14:00,0.220742220063774
1111019,"Russell River at East Russell","2013-2014",2014-04-13 09:49:00,0.242880422300373
1111019,"Russell River at East Russell","2013-2014",2014-04-13 15:24:00,0.242880422300373
1111019,"Russell River at East Russell","2013-2014",2014-04-13 20:59:00,0.22240683801884
1111019,"Russell River at East Russell","2013-2014",2014-04-14 02:34:00,0.26290427204394
1111019,"Russell River at East Russell","2013-2014",2014-04-14 08:09:00,0.396984006735335
1111019,"Russell River at East Russell","2013-2014",2014-04-14 13:44:00,0.396984006735335
1111019,"Russell River at East Russell","2013-2014",2014-04-14 13:45:00,0.396984006735335
1111019,"Russell River at East Russell","2013-2014",2014-04-15 10:00:00,0.633956347316189
1111019,"Russell River at East Russell","2013-2014",2014-04-15 15:01:00,0.396984006735335
1111019,"Russell River at East Russell","2013-2014",2014-04-15 20:36:00,0.633956347316189
1111019,"Russell River at East Russell","2013-2014",2014-04-16 02:11:00,0.633956347316189
1111019,"Russell River at East Russell","2013-2014",2014-04-16 07:46:00,0.298240453953491
1111019,"Russell River at East Russell","2013-2014",2014-04-16 13:21:00,0.633956347316189
1111019,"Russell River at East Russell","2013-2014",2014-04-17 11:00:00,0.959671988501687
1111019,"Russell River at East Russell","2013-2014",2014-05-20 09:00:00,0.481859547785957
1111019,"Russell River at East Russell","2013-2014",2014-05-20 19:29:00,0.245965220393907
1111019,"Russell River at East Russell","2013-2014",2014-05-21 10:11:00,0.298240453953491
1111019,"Russell River at East Russell","2013-2014",2014-05-21 15:46:00,0.535447722067284
1111019,"Russell River at East Russell","2013-2014",2014-05-21 21:21:00,0.535447722067284
1111019,"Russell River at East Russell","2013-2014",2014-05-22 02:56:00,0.535447722067284
1111019,"Russell River at East Russell","2013-2014",2014-05-22 08:31:00,0.245965220393907
1111019,"Russell River at East Russell","2013-2014",2014-05-22 14:06:00,0.298240453953491
1111019,"Russell River at East Russell","2013-2014",2014-05-22 19:41:00,0.48329686008749
1111019,"Russell River at East Russell","2013-2014",2014-05-23 01:16:00,0.48329686008749
1111019,"Russell River at East Russell","2013-2014",2014-05-23 06:51:00,1.65525665243806
1111019,"Russell River at East Russell","2013-2014",2014-05-23 12:26:00,1.20584524187374
1111019,"Russell River at East Russell","2013-2014",2014-06-09 19:34:00,0.111682193075235
1111019,"Russell River at East Russell","2013-2014",2014-06-10 09:20:00,0.101350201375738
1111019,"Russell River at East Russell","2013-2014",2014-06-11 06:30:00,0.111682193075235
1111019,"Russell River at East Russell","2013-2014",2014-06-12 11:00:00,0.111682193075235
1111019,"Russell River at East Russell","2014-2015",2014-08-26 14:45:00,0.054806580035538
1111019,"Russell River at East Russell","2014-2015",2014-08-28 13:05:00,0.426632841481112
1111019,"Russell River at East Russell","2014-2015",2014-10-15 12:06:00,0.165594270710601
1111019,"Russell River at East Russell","2014-2015",2014-10-24 11:52:00,0.0649541078596605
1111019,"Russell River at East Russell","2014-2015",2014-11-05 15:40:00,0.0125565585226473
1111019,"Russell River at East Russell","2014-2015",2014-11-10 12:35:00,0.0142246496403486
1111019,"Russell River at East Russell","2014-2015",2014-11-24 10:42:00,0.0125565585226473
1111019,"Russell River at East Russell","2014-2015",2014-12-08 12:00:00,3.20929260560048
1111019,"Russell River at East Russell","2014-2015",2014-12-18 12:30:00,0.0649584433135897
1111019,"Russell River at East Russell","2014-2015",2015-01-08 09:56:00,11.1873548614241
1111019,"Russell River at East Russell","2014-2015",2015-01-08 14:00:00,9.8805335449499
1111019,"Russell River at East Russell","2014-2015",2015-01-08 19:06:00,9.11991226332064
1111019,"Russell River at East Russell","2014-2015",2015-01-09 00:16:00,9.6354842992328
1111019,"Russell River at East Russell","2014-2015",2015-01-09 05:26:00,6.42388150286186
1111019,"Russell River at East Russell","2014-2015",2015-02-08 12:16:00,6.3432599199277
1111019,"Russell River at East Russell","2014-2015",2015-02-08 16:26:00,3.69392007709444
1111019,"Russell River at East Russell","2014-2015",2015-02-08 22:06:00,4.90707252961329
1111019,"Russell River at East Russell","2014-2015",2015-02-09 03:46:00,5.19900915068586
1111019,"Russell River at East Russell","2014-2015",2015-02-09 09:26:00,6.06663316713662
1111019,"Russell River at East Russell","2014-2015",2015-02-09 15:06:00,10.6812483871224
1111019,"Russell River at East Russell","2014-2015",2015-02-09 20:46:00,10.6168754514906
1111019,"Russell River at East Russell","2014-2015",2015-02-10 02:20:00,12.0808662739883
1111019,"Russell River at East Russell","2014-2015",2015-02-10 08:06:00,13.4985051272716
1111019,"Russell River at East Russell","2014-2015",2015-02-10 13:46:00,12.5742772805445
1111019,"Russell River at East Russell","2014-2015",2015-02-10 21:02:00,14.9459515390086
1111019,"Russell River at East Russell","2014-2015",2015-02-11 02:42:00,16.4308969445307
1111019,"Russell River at East Russell","2014-2015",2015-02-11 09:42:00,15.3389818058633
1111019,"Russell River at East Russell","2014-2015",2015-02-11 16:02:00,13.6098442717732
1111019,"Russell River at East Russell","2014-2015",2015-02-11 21:42:00,11.3033258017973
1111019,"Russell River at East Russell","2014-2015",2015-02-12 03:22:00,12.1436157629895
1111019,"Russell River at East Russell","2014-2015",2015-02-12 09:02:00,12.0031688810813
1111019,"Russell River at East Russell","2014-2015",2015-02-12 14:42:00,12.2979911354256
1111019,"Russell River at East Russell","2014-2015",2015-02-12 20:22:00,8.49299459627085
1111019,"Russell River at East Russell","2014-2015",2015-02-13 02:02:00,7.90553072804656
1111019,"Russell River at East Russell","2014-2015",2015-02-13 04:42:00,7.30827144200125
1111019,"Russell River at East Russell","2014-2015",2015-02-14 10:56:00,2.44362585537903
1111019,"Russell River at East Russell","2014-2015",2015-02-14 16:36:00,3.53795399462675
1111019,"Russell River at East Russell","2014-2015",2015-02-14 22:16:00,2.44362578961549
1111019,"Russell River at East Russell","2014-2015",2015-02-15 03:56:00,2.67572882489687
1111019,"Russell River at East Russell","2014-2015",2015-02-15 05:46:00,2.67572928562426
1111019,"Russell River at East Russell","2014-2015",2015-02-15 11:26:00,2.93608060714136
1111019,"Russell River at East Russell","2014-2015",2015-02-15 17:06:00,2.37736404017778
1111019,"Russell River at East Russell","2014-2015",2015-02-15 22:46:00,2.37736404017778
1111019,"Russell River at East Russell","2014-2015",2015-02-16 04:26:00,2.67572882489687
1111019,"Russell River at East Russell","2014-2015",2015-02-16 04:42:00,2.7189536757171
1111019,"Russell River at East Russell","2014-2015",2015-02-16 06:06:00,2.67572889050395
1111019,"Russell River at East Russell","2014-2015",2015-02-16 11:46:00,2.39902374887706
1111019,"Russell River at East Russell","2014-2015",2015-02-16 19:42:00,2.37736410598599
1111019,"Russell River at East Russell","2014-2015",2015-02-17 09:12:00,2.7189536757171
1111019,"Russell River at East Russell","2014-2015",2015-02-17 13:32:00,2.7189536757171
1111019,"Russell River at East Russell","2014-2015",2015-03-11 18:32:00,11.9798724258804
1111019,"Russell River at East Russell","2014-2015",2015-03-11 23:02:00,4.02896842635226
1111019,"Russell River at East Russell","2014-2015",2015-03-12 04:42:00,3.1656670586601
1111019,"Russell River at East Russell","2014-2015",2015-03-12 16:46:00,3.14222498001205
1111019,"Russell River at East Russell","2014-2015",2015-03-12 22:26:00,2.3205932627092
1111019,"Russell River at East Russell","2014-2015",2015-03-13 04:06:00,2.3205932627092
1111019,"Russell River at East Russell","2014-2015",2015-03-13 09:46:00,3.11077061306592
1111019,"Russell River at East Russell","2014-2015",2015-03-13 20:26:00,2.55305965742642
1111019,"Russell River at East Russell","2014-2015",2015-03-14 02:06:00,3.6938383183867
1111019,"Russell River at East Russell","2014-2015",2015-03-14 07:46:00,5.02695650512852
1111019,"Russell River at East Russell","2014-2015",2015-03-14 13:26:00,7.47295972092378
1111019,"Russell River at East Russell","2014-2015",2015-03-14 19:06:00,9.03901155733165
1111019,"Russell River at East Russell","2014-2015",2015-03-15 00:46:00,9.03901155733165
1111019,"Russell River at East Russell","2014-2015",2015-03-15 04:16:00,8.08337476374086
1111019,"Russell River at East Russell","2014-2015",2015-03-15 09:56:00,7.38527989173059
1111019,"Russell River at East Russell","2014-2015",2015-03-15 15:36:00,8.08337476374086
1111019,"Russell River at East Russell","2014-2015",2015-03-15 21:16:00,8.23628125551572
1111019,"Russell River at East Russell","2014-2015",2015-03-16 02:56:00,8.50564910952281
1111019,"Russell River at East Russell","2014-2015",2015-03-16 04:36:00,9.20847985485322
1111019,"Russell River at East Russell","2014-2015",2015-06-11 21:01:00,0.0548513809676687
1111019,"Russell River at East Russell","2014-2015",2015-06-12 02:41:00,0.0548513809676687
1111019,"Russell River at East Russell","2014-2015",2015-06-12 10:11:00,0.0548513809676687
1111019,"Russell River at East Russell","2014-2015",2015-06-12 17:31:00,0.0548513809676687
1111019,"Russell River at East Russell","2014-2015",2015-06-13 04:51:00,0.159763802735202
1111019,"Russell River at East Russell","2014-2015",2015-06-13 16:11:00,0.258644501306438
1111019,"Russell River at East Russell","2014-2015",2015-06-13 23:21:00,0.159763802735202
1111019,"Russell River at East Russell","2014-2015",2015-06-17 02:06:00,0.241704726189618
1111019,"Russell River at East Russell","2014-2015",2015-06-17 19:06:00,0.241704726189618
1111019,"Russell River at East Russell","2014-2015",2015-06-18 01:36:00,0.241704726189618
1111019,"Russell River at East Russell","2014-2015",2015-06-18 14:56:00,0.241704726189618
1111019,"Russell River at East Russell","2014-2015",2015-06-22 14:30:00,0.0548513809676687
1111019,"Russell River at East Russell","2014-2015",2015-06-29 22:56:00,0.0970835306648987
1111019,"Russell River at East Russell","2014-2015",2015-06-30 04:36:00,0.0565187664805955
1111019,"Russell River at East Russell","2014-2015",2015-06-30 10:16:00,0.0548513809676687
1111019,"Russell River at East Russell","2014-2015",2015-06-30 15:56:00,0.0565187664805955
1111019,"Russell River at East Russell","2014-2015",2015-06-30 19:16:00,0.0565187664805955
1111019,"Russell River at East Russell","2015-2016",2015-07-01 15:26:00,0.189166121308448
1111019,"Russell River at East Russell","2015-2016",2015-07-03 13:06:00,0.426632895619383
1111019,"Russell River at East Russell","2015-2016",2015-07-04 19:16:00,0.416333480983111
1111019,"Russell River at East Russell","2015-2016",2015-07-05 10:36:00,0.416333480983111
1111019,"Russell River at East Russell","2015-2016",2015-09-01 14:50:00,0.0444687597282778
1111019,"Russell River at East Russell","2015-2016",2015-10-20 11:30:00,0.517877405309008
1111019,"Russell River at East Russell","2015-2016",2015-11-13 11:20:00,0.0666213791627235
1111019,"Russell River at East Russell","2015-2016",2015-12-21 14:00:00,17.3444903009674
1111019,"Russell River at East Russell","2015-2016",2015-12-23 10:36:00,5.42621997147649
1111019,"Russell River at East Russell","2015-2016",2015-12-23 12:46:00,4.83381912020708
1111019,"Russell River at East Russell","2015-2016",2015-12-23 16:06:00,3.42871196905611
1111019,"Russell River at East Russell","2015-2016",2015-12-23 18:56:00,3.52878032531327
1111019,"Russell River at East Russell","2015-2016",2015-12-24 00:36:00,5.41282510943509
1111019,"Russell River at East Russell","2015-2016",2015-12-24 06:16:00,8.07694735645319
1111019,"Russell River at East Russell","2015-2016",2015-12-24 07:46:00,8.04160175128926
1111019,"Russell River at East Russell","2015-2016",2015-12-24 12:46:00,5.96172962486479
1111019,"Russell River at East Russell","2015-2016",2015-12-24 20:16:00,7.52631350955829
1111019,"Russell River at East Russell","2015-2016",2015-12-25 00:06:00,3.64743395204786
1111019,"Russell River at East Russell","2015-2016",2015-12-25 05:46:00,5.90470368709951
1111019,"Russell River at East Russell","2015-2016",2015-12-25 07:36:00,6.88660936075333
1111019,"Russell River at East Russell","2015-2016",2015-12-25 13:16:00,4.57276079707895
1111019,"Russell River at East Russell","2015-2016",2015-12-25 18:56:00,4.50668246188114
1111019,"Russell River at East Russell","2015-2016",2015-12-26 00:36:00,3.18982538360758
1111019,"Russell River at East Russell","2015-2016",2015-12-28 19:06:00,2.23748395727656
1111019,"Russell River at East Russell","2015-2016",2015-12-29 00:46:00,2.44819127827425
1111019,"Russell River at East Russell","2015-2016",2015-12-29 06:26:00,2.8391481260132
1111019,"Russell River at East Russell","2015-2016",2015-12-29 12:06:00,4.31950003391738
1111019,"Russell River at East Russell","2015-2016",2015-12-29 17:46:00,1.98964230891482
1111019,"Russell River at East Russell","2015-2016",2015-12-29 23:26:00,4.19062172785738
1111019,"Russell River at East Russell","2015-2016",2015-12-30 05:06:00,3.58683250362625
1111019,"Russell River at East Russell","2015-2016",2015-12-30 09:26:00,3.04375694751052
1111019,"Russell River at East Russell","2015-2016",2015-12-30 15:06:00,2.37432228211172
1111019,"Russell River at East Russell","2015-2016",2015-12-30 20:46:00,1.95781364307255
1111019,"Russell River at East Russell","2015-2016",2015-12-31 02:26:00,3.04131563445869
1111019,"Russell River at East Russell","2015-2016",2015-12-31 08:06:00,3.27663196830411
1111019,"Russell River at East Russell","2015-2016",2015-12-31 13:46:00,3.52294509653234
1111019,"Russell River at East Russell","2015-2016",2015-12-31 19:26:00,2.52978980121215
1111019,"Russell River at East Russell","2015-2016",2016-01-01 01:06:00,1.86619929925447
1111019,"Russell River at East Russell","2015-2016",2016-01-01 06:46:00,1.86619929925447
1111019,"Russell River at East Russell","2015-2016",2016-01-01 12:26:00,2.31260678059722
1111019,"Russell River at East Russell","2015-2016",2016-01-01 18:06:00,2.31260678059722
1111019,"Russell River at East Russell","2015-2016",2016-01-01 23:46:00,1.89634866978605
1111019,"Russell River at East Russell","2015-2016",2016-01-04 21:00:00,1.21363942260405
1111019,"Russell River at East Russell","2015-2016",2016-02-01 11:10:00,0.357769390102436
1111019,"Russell River at East Russell","2015-2016",2016-02-09 13:06:00,11.463894355233
1111019,"Russell River at East Russell","2015-2016",2016-02-09 18:46:00,16.9146657945163
1111019,"Russell River at East Russell","2015-2016",2016-02-10 00:26:00,15.9465620651884
