"STATION","SITENAME","Sampling.Year","DATE","Daily.Ave.PAF"
"113006A","Tully River at Euramo","2011-2012",2011-10-19 15:50:00,0.351458405437943
"113006A","Tully River at Euramo","2011-2012",2011-10-20 09:03:00,0.753631371952446
"113006A","Tully River at Euramo","2011-2012",2011-10-20 17:05:00,0.94384763501314
"113006A","Tully River at Euramo","2011-2012",2011-10-24 18:26:00,0.523907093747256
"113006A","Tully River at Euramo","2011-2012",2011-10-25 16:50:00,0.0222922668212222
"113006A","Tully River at Euramo","2011-2012",2011-10-29 15:02:00,0.000100775162947819
"113006A","Tully River at Euramo","2011-2012",2011-11-25 16:50:00,26.7260382798512
"113006A","Tully River at Euramo","2011-2012",2011-11-27 17:14:00,1.70629798736597
"113006A","Tully River at Euramo","2011-2012",2011-11-29 10:06:00,2.53999164100988
"113006A","Tully River at Euramo","2011-2012",2011-11-30 18:06:00,4.19271466472021
"113006A","Tully River at Euramo","2011-2012",2011-12-01 16:42:00,2.28692040765429
"113006A","Tully River at Euramo","2011-2012",2011-12-02 17:12:00,0.707199044261264
"113006A","Tully River at Euramo","2011-2012",2012-01-19 13:52:00,4.38334276077172
"113006A","Tully River at Euramo","2011-2012",2012-01-24 17:46:00,0.0750364434989326
"113006A","Tully River at Euramo","2011-2012",2012-01-27 15:03:00,0.0750364434989326
"113006A","Tully River at Euramo","2011-2012",2012-02-02 13:41:00,3.27901985725878
"113006A","Tully River at Euramo","2011-2012",2012-02-03 17:22:00,1.22405379101576
"113006A","Tully River at Euramo","2011-2012",2012-02-04 11:21:00,1.76994258331803
"113006A","Tully River at Euramo","2011-2012",2012-02-04 17:58:00,1.47559395963835
"113006A","Tully River at Euramo","2011-2012",2012-02-05 17:12:00,1.44531528209846
"113006A","Tully River at Euramo","2011-2012",2012-02-06 14:02:00,0.535917997013646
"113006A","Tully River at Euramo","2011-2012",2012-02-07 09:46:00,0.3354669846519
"113006A","Tully River at Euramo","2011-2012",2012-02-08 12:46:00,0.174001055137574
"113006A","Tully River at Euramo","2011-2012",2012-02-10 18:25:00,0.0226441804923927
"113006A","Tully River at Euramo","2011-2012",2012-02-14 10:18:00,1.32369087243572
"113006A","Tully River at Euramo","2011-2012",2012-02-17 10:04:00,5.46029208494873
"113006A","Tully River at Euramo","2011-2012",2012-02-18 17:36:00,1.52950949867003
"113006A","Tully River at Euramo","2011-2012",2012-02-27 14:23:00,7.9592824225653
"113006A","Tully River at Euramo","2011-2012",2012-02-28 15:54:00,6.01245719512139
"113006A","Tully River at Euramo","2011-2012",2012-02-29 17:14:00,4.81134088543189
"113006A","Tully River at Euramo","2011-2012",2012-03-01 09:08:00,7.57647224296497
"113006A","Tully River at Euramo","2011-2012",2012-03-01 16:57:00,8.16998403721588
"113006A","Tully River at Euramo","2011-2012",2012-03-02 11:20:00,6.22892940400129
"113006A","Tully River at Euramo","2011-2012",2012-03-03 13:42:00,4.44531076628681
"113006A","Tully River at Euramo","2011-2012",2012-03-04 16:31:00,3.96267052677672
"113006A","Tully River at Euramo","2011-2012",2012-03-06 17:04:00,2.98455831722588
"113006A","Tully River at Euramo","2011-2012",2012-03-08 18:15:00,0.752776374582298
"113006A","Tully River at Euramo","2011-2012",2012-03-10 14:33:00,2.37175405169162
"113006A","Tully River at Euramo","2011-2012",2012-03-11 14:04:00,3.24360417726461
"113006A","Tully River at Euramo","2011-2012",2012-03-12 16:05:00,1.99929096947659
"113006A","Tully River at Euramo","2011-2012",2012-03-13 11:00:00,2.95620879861158
"113006A","Tully River at Euramo","2011-2012",2012-03-14 13:27:00,2.30831437606667
"113006A","Tully River at Euramo","2011-2012",2012-03-16 11:30:00,0.455325250307292
"113006A","Tully River at Euramo","2011-2012",2012-03-17 11:21:00,0.783062086626729
"113006A","Tully River at Euramo","2011-2012",2012-03-18 11:27:00,1.20544262322397
"113006A","Tully River at Euramo","2011-2012",2012-03-19 14:09:00,1.25760610318462
"113006A","Tully River at Euramo","2011-2012",2012-03-20 18:18:00,1.02163749913086
"113006A","Tully River at Euramo","2011-2012",2012-03-22 16:44:00,1.61572004954853
"113006A","Tully River at Euramo","2011-2012",2012-03-24 16:15:00,1.15956554422876
"113006A","Tully River at Euramo","2011-2012",2012-03-26 12:56:00,0.621988067618939
"113006A","Tully River at Euramo","2011-2012",2012-03-26 18:15:00,0.297533673801964
"113006A","Tully River at Euramo","2011-2012",2012-03-27 10:08:00,0.340647869179755
"113006A","Tully River at Euramo","2011-2012",2012-03-27 16:21:00,0.536715729545545
"113006A","Tully River at Euramo","2011-2012",2012-03-28 16:49:00,1.17687296956708
"113006A","Tully River at Euramo","2011-2012",2012-03-29 12:58:00,1.1701108228073
"113006A","Tully River at Euramo","2011-2012",2012-03-31 17:10:00,1.10703744889818
"113006A","Tully River at Euramo","2011-2012",2012-04-03 12:06:00,1.0652770472657
"113006A","Tully River at Euramo","2011-2012",2012-04-12 17:20:00,2.0735013052166
"113006A","Tully River at Euramo","2011-2012",2012-04-13 13:15:00,0.344971045146414
"113006A","Tully River at Euramo","2011-2012",2012-04-15 10:13:00,0.319704677373023
"113006A","Tully River at Euramo","2011-2012",2012-04-16 17:44:00,0.436678687755176
"113006A","Tully River at Euramo","2011-2012",2012-04-17 14:14:00,0.515813740964799
"113006A","Tully River at Euramo","2011-2012",2012-04-19 09:58:00,0.752776374582298
"113006A","Tully River at Euramo","2011-2012",2012-04-27 13:19:00,0.407495789656565
"113006A","Tully River at Euramo","2011-2012",2012-05-22 15:45:00,0.398327123727527
"113006A","Tully River at Euramo","2011-2012",2012-05-24 15:41:00,1.74209471747905
"113006A","Tully River at Euramo","2011-2012",2012-05-25 14:32:00,1.29262030313472
"113006A","Tully River at Euramo","2011-2012",2012-05-27 15:31:00,0.455325250307292
"113006A","Tully River at Euramo","2011-2012",2012-05-29 12:08:00,0.547318605923863
"113006A","Tully River at Euramo","2011-2012",2012-06-01 10:38:00,0.638278274894488
"113006A","Tully River at Euramo","2011-2012",2012-06-02 13:24:00,0.646650853905439
"113006A","Tully River at Euramo","2011-2012",2012-06-04 12:56:00,0.455325250307292
"113006A","Tully River at Euramo","2011-2012",2012-06-08 11:43:00,1.10703744889818
"113006A","Tully River at Euramo","2011-2012",2012-06-25 12:05:00,0.426380312209806
"113006A","Tully River at Euramo","2012-2013",2012-07-10 11:47:00,2.28246374873964
"113006A","Tully River at Euramo","2012-2013",2012-07-12 09:45:00,0.496628122374299
"113006A","Tully River at Euramo","2012-2013",2012-07-14 14:23:00,0.540436416797774
"113006A","Tully River at Euramo","2012-2013",2012-09-26 14:16:00,0.0476368189574083
"113006A","Tully River at Euramo","2012-2013",2012-10-26 17:25:00,0.0476368189574083
"113006A","Tully River at Euramo","2012-2013",2012-12-24 12:47:00,0.342203979511424
"113006A","Tully River at Euramo","2012-2013",2012-12-31 14:03:00,14.8386220621514
"113006A","Tully River at Euramo","2012-2013",2012-12-31 18:59:00,36.166298633407
"113006A","Tully River at Euramo","2012-2013",2013-01-01 09:38:00,38.5847691945042
"113006A","Tully River at Euramo","2012-2013",2013-01-01 13:38:00,39.6960650390017
"113006A","Tully River at Euramo","2012-2013",2013-01-01 18:39:00,34.737722801924
"113006A","Tully River at Euramo","2012-2013",2013-01-02 17:43:00,20.0922770669061
"113006A","Tully River at Euramo","2012-2013",2013-01-03 16:19:00,11.6913734991529
"113006A","Tully River at Euramo","2012-2013",2013-01-08 13:05:00,0.918384823513474
"113006A","Tully River at Euramo","2012-2013",2013-01-11 12:12:00,0.441811107524703
"113006A","Tully River at Euramo","2012-2013",2013-01-19 18:06:00,0.20438053085502
"113006A","Tully River at Euramo","2012-2013",2013-01-21 10:29:00,11.5701680779634
"113006A","Tully River at Euramo","2012-2013",2013-01-21 15:32:00,20.5592909553505
"113006A","Tully River at Euramo","2012-2013",2013-01-21 18:19:00,20.1415725795137
